,0
837,"Australian backblocks, Life in, Sorenson (E. S)
39. 60.net..
.Nou. 11"
838,"Austria-Hungary, Baedeker (K.) 1os. net..Oct. 11"
839,"Austria, Peasant art in, Holme (C.) 7s. 6d., 5s. net
Sep. Ir
Authors, Stories of, Chubb (W. E.) 35. 6d. net
Oct. II"
840,"Autobiographic memoirs, Harrison (F.) 305. net
Oct. 11"
841,"Autobiographical memoir, Butler (J.) 28. net
May II"
842,"Autobiography, Austin (A.) 245. net.... June 11"
843,"Autobiography, Gibbon (E.) is., 25. net Mar. II"
844,"Autocar (The) 1911. 8vo., is, 6d. net
ILIFFE, Mar. II"
845,"Autocar Road bk., Harper (C. G.) Vol. 2,
Wales and Midlands, 7s. 6d. net ...... June II"
846,"Autocars of 1911. (The) : an aphabetically
arranged table of cars on the British market for
1911. 8vo., 84 X6, is. 6d. net. .ILIFFE, Apr. II"
847,"Autocars (The) of 1912 : an alphabetically
arranged table of cars on the British market
for 1912. 8vo. is. 6d. net ILIFFE, Nov. 11"
848,"Automobile construction, threads, nuts, &c., for,
Report on British standard, 2s. 6d. net Mar. 11"
849,"Automobiles, Audel's Answers on, Harris (G.),
&c., 75. 6d. net..
..Dec. 11"
850,"Autumn voices, Hayhurst (C.) 39. 6d. net Dec. 10"
851,"Auvergne (Edmund B. d')—The Coburgs: the
story of the rise of a great royal house. 8vo.
9x5), pp. 340, 16s, net......S. PAUL, Oct. II"
852,"Auvergne (Edmund B. d')-Famous castles and
palaces of Italy. 8vo. 91 * 5), pp. 330, 155. net
T. W. LAURIE, J une in
Auvergne (E. B. d'.)--The Night side of Paris, Pop.
edit. Cr. 8vo. pp. 216, is. 6d. net; swd. is. net
T. W. LAURIE, Feb. II"
853,"Auvergne (M. Nelson d')—Tarnished coronets :
studies in the history of the British Peerage.
8vo. 9 X54, pp. 288, 128, 6d, net
T. W. LAURIE, Oct. 11"
854,"Auvergne and its people, Gostling (F. M.) 10s. 60.
net
.May
Ave, Moore (G.) Hail and farewell, vol. 1, 6s.
Oct. II"
855,"Avebury (Lord)-Marriage, totemism and religion :
in answer to critics. Cr. 8vo. 8 X54, pp. 254,
45. 6d. net..
..LONGMANS, May II"
856,"Avebury (Iord)-On Peace and happiness.
Re-issue. Cr. 8vo. 71 x 44, pp. 396, 3s. 6d.
MACMILLAN, Nov. II"
857,"Avebury (Lord)—The Origin of civilisation and
the primitive condition of man: mental and
social condition of savages. 6th edit. (1902)
re-issue with a new pref. 8vo. 88 X54, pp. 610,
75. 6d. net
.LONGMANS, Jan. II"
858,"Aveling (N. C.)-Dates in English furniture :
from Gothic times to the commencement of
the 19th century. Ryl. 8vo. 95 X6, pp. 30,
swd. IS, net..
.BEAZLEY, May ni
Aver (Charles)--Lady Ju. Cr. 8vo. 74 x 41, pp.
136, IS.....
..C. H. KELLY, Nov. II"
859,"Avery (Harold)-Every dog his day. Cr. 8vo.
74x43, pp. 320, 6s.........S. PAUL, Sep. II"
860,"Avery (Harold)—The Forbidden room. Cr. 8vo.,
pp. 144, Is..
. . NELSON, Oct. II"
861,"B. (R.)-Cape Horn calm, verses, Is. 6d. net
July 11"
862,"B. (R.)—Simple architecture, is, net.... May II"
863,"Babe, B. A., Benson (E. F.) is, net...... Aug. II"
864,"Babe unborn (A). Cr. 8vo. 71 X5, pp. 360, 6s.
RICHARDS, Mar, II"
865,"Babes, Book of, Glazier (L. M.) is. 6d. net Oct. II"
866,"Babes in the African wood, Barnes (R. G.) 6s. net
Dec. II"
867,"Babeuf, Gracchus: Last episode in French
revol., Bax (E. B.) 6s. net.
.May 11"
868,"Babington (Percy L.)- Poems.
Cr. 8vo. 71 x 5,
pp. 48, bds. 25. 60. net ....W. HEFFER, Dec. II"
869,"Babis, Hist. of the, Kitab-i Nuqtatu'l-Kaf, 8s. net
Oct. 11"
870,"Baby, Vinding the, Hill (Mrs. L.) 3d. net May II"
871,"Baby mine, Mavo (M.) is. net.
.Dec. II"
872,"Baby o' mine, Charles (C.) 2s. net.
.Nov. II"
873,"Babylon, Antichrist, Pember (G. H.) 35. 61.
May II"
874,"Babylon : 0 King, live for ever, Jenkins (R. W.)
Mar. 11"
875,"Babylonia and Assyria, Religious belief in,
Jastrow (M.) 9s. net..
.Oct. II"
876,"Baccarat, Danby (F.) is. net
..Mar. 11"
877,"Bach, J. Sebastian, Schweitzer (A.) 21s. net
Nov. 11"
878,"Bach, J. Sebastian, Poole (R. L.) 25. net. .Dec. II"
879,"Bacillus of long life, Douglas (L. M.) 5s. net Jan. II"
880,"Bacon (B. W.)- Jesus the Son of God; or,
Primitive Christology. Ryl. 8vo., 6s. net
FROWDE, Nov. II"
881,"Bacon (Edwin M.)-The Boy's Drake: story of
the great sea fighter of the 16th century.
Re-issue. Cr. 8vo. 8 X54, pp. 516, 3s. 6d. net
RICHARDS, Sep. II"
882,"Bacon (Francis, Lord)-Essays ; or Counsels
civil and moral. 12mo., pp. 498, is, net, ithr.,
25. net (Illus. pocket classics)
W. COLLINS, Feb. II"
883,"5S, net"
884,"55. net
..Oct. 11"
885,"30s, net
Bacon (Francis, Lord)—Essays; or, Counsels civil
and moral. Edit. with intro, and notes by A. S.
Gaye. Cr. 8vo., pp. 228, 35. (Clarendon Press)
FROWDE, Oct. II"
886,"Bacon (Prancis, Lord)—Essays 31-45. Edit. by
A. J. F. Collins and S. E. Goggin. Cr. 8vo.,
pp. 80, swd. is. 6d. (University Tutorial Ser.)
CLIVE, Jan. II"
887,"Bacon, Francis, and his secret society, Pott
(Mrs. H.) 78. 6d. net.
.Oct. II"
888,"Bacon is alive, Sheppard (T.) is. net .. Apr. 11"
889,"Bacon-Shakespeare controversy: Young man from
Stratford, Saint-George (H.) 25. net
Bacon's secret disclosed in contemp. books,
Cunningham (G. C.) 35. 6d. net......Oct. 11"
890,"Bacon (Gertrude)—How men fly. Cr. 8vo.,
pp. 128, bds. Is. net ........ .CASSELL, July 11"
891,"Bacon (J. D.)--While Caroline was Growing,
Cr. 8vo., 6s. .......... MACMILLAN, June II"
892,"Bacon (Roger)–Opera hactenus inedita. Fasc.
III, Liber Primus. Communium Naturalium
Fratris Rogeri Partes Tertia et Quarta. Edidit
Robert Steele. 8vo., swd., Ios. 6d. net
(Clarendon Press), FROWDE, May ni
Bacteriological chemistry, Fowler (G. J.) 7s.' 6d.
net
Feb. 11"
893,"Bacteriology, Aids to, Moor (C. G.) and Partridge
(W.) 3s. 6d., 3s. net
... Mar. 11"
894,"Bacteriology, Lab. guide in, Heinemann (P. G.)
6s. net.
..Oct. 11"
895,"Bacteriology, Manual of, Hewlett (R. T.) 1os. 60.
net.
Oct. II"
896,"Bacteriology, Pract., Stitt (E. R.) 6s. 6d. net
Jan, II"
897,"Bad men, Twelve, Seccombe (T.) 5s. net.. Sep. ii"
898,"Bad women, Twelve, Vincent (A.) 58. net Sep. II"
899,"Baden-Powell (Sir Robert S.)-Sea scouting for
boys. Ryl. 16mo., 6d. net J. BROWN, May 11"
900,"Baden-Powell (Sir Robert S.) and others.--The
Scoutmaster's training course : lectures. 8vo.,
Swd. 6d.
(116, Victoria St., S.W.) HEADQUARTERS, July 11"
901,"Baden-Powell, Sir Robert: Chief scout, Aitken
(W.F.) is.....
.Nov. 11"
902,"Badger (W. Collins) - The Bible, the Empire and
the world. Cr. 8vo., pp. 64, limp, is. net
NISBET, July 11"
903,"Badminton, Massey (S. M.) 25. net.
.Nov. II"
904,"Badminton : Laws of Badminton and the rules
of the Badminton Association, 1912. Official
edit. 12mo. swd. 6d.........H. Cox, Dec. II"
905,"Badsworth—Principles of Bridge, 3s. 6d. net
June 11"
906,"Baedeker (Karl)-Austria-Hungary, with
cursions to Cetinje, Belgrade and Bucharest.
nith edit. rev. and augmented. 12mo., Ios. net
UNWIN, Oct. II"
907,"Baedeker (Karl)—The Eastern Alps. 12th edit.
rev. and augmented. 12mo. Ios, net
UNWIN, Mar. II"
908,"Baedeker (Karl) - London and its environs,
16th rev. edit. 12mo. 6s. net ..UNWIN, May II"
909,"Baedeker (Karl)—— The Rhine, including the
Black Forest and the Vosges. 17th rev. edit.
12mo. pp. 588, 8s. net ... UNWIN, Mar. II"
910,"Baedeker (Karl)—Switzerland and the adjacent
portions of Italy, Savoy, and Tyrol. 24th edit.
12mo., 8s. net.
UNWIN, July 11"
911,"Baganda : customs and beliefs, Roscoe (J.)
.Oct. II"
912,"Baganda, Twilight tales of the black, Fisher
(Mrs. A. B.) 3s. 6d. net
Bagdad, Dido : Visit to Dep. Stores, 5s. net
Oct. II"
913,"Bagehot (Walter)-Literary studies. 2 vols.
12mo. pp. 408, 388, each is. net ; Ithr. 2s. net
(Everyman's library)
.DENT, Sep. II"
914,"Bagge (L. M.) Confirmation : A Manual for
candidates and teachers. Cr. 8vo., 71 X5,
pp. 108, ios. 6d. net........R. SCOTT, Feb. II"
915,"Bagley (W. C.)--Craftsmanship in teaching.
Cr. 8vo., 55. net.... ... MACMILLAN, May is
Bagley (W. C.)- Educational values. Cr. 8vo.
.. MACMILLAN, May 11"
916,"Bagnall (C.) and Michant (J.)-French composi-
tion : Book I. 12mo. Is. 6d. ..NUTT, Feb. II"
917,"Bagnall (C.) and Michant (J.)-French Com-
position. Book 2. 12mo., Is. 60. NUTT, Sep. II"
918,"Bagot (Richard)—My Italian year. 8vo. 83 X5,
Pp. 350, 106. 6d. net.... MILLS & B., Sep. II"
919,"Bagpipe, Story of the, Flood (W. H. G.) 35. 6d. net
Νου. 11"
920,"Bahr (A. W.)—Old Chinese porcelain and works of
art in china. Illus. Ryl, 8vo. 101 x64, pp. 166,
..CASSELL, Mar. ir
Balkie (James)--Peeps at the heavens. Cr. 8vo.
71x5}, pp. 96, is. 6d. net....BLACK, Sep. II"
921,"Bailey (B. F.)—The Induction motor. Ryl. 8vo.,
Ios. 6d. net .HILL PUB. Co., Dec. II"
922,"Balley (G. H.) and Bausor (H. W.)-Senior
Chemistry. Cr. 8vo., pp. 520, 49. 6d.
CLIVE, Oct. 11"
923,"Bailey (H. C.)-Beaujeu. 12mo. 7d. net
NELSON, Jan. II"
924,"Bailey (H. C.)—The Lonely Queen. Cr. 8vo.
7{ X5, PP. 332, 65.... .METHUEN, Sep. II"
925,"Bailey (H. J. S.)-The Night wind, and other
poems. Ryl. iomo., swd. is. 6d. net
ALLENSON, Nov. II"
926,"Bailey (John)—Poets and poetry : being articles
reprinted from the Literary Supplement of
The Times. 8vo. 5s. net
(Clarendon Press) PROWDE, Nov. II"
927,"Bailey (L. 11.)—The Country life movement in
the United States. Cr. 8vo., 5s. 6d. net
MACMILLAN, May II"
928,"Bailey (L. H.)-Farm and garden rule book :
a manual of ready rules and reference. Cr. 8vo.,
8s. 6d. net
. MACMILLAN, Dec. II"
929,"Bailey (L. H.)—The Training of Farmers. Cr.
8vo. 73 X 41, pp. 272, 35. 6d. net
T. W. LAURIE, Feb. II"
930,"Bailey (Philip J.)-Festus : a poem. New edit.
8vo. 83 X51, pp. 798. 39. 6d.
ROUTLEDGE, July 11"
931,"Baily's Hunting directory, 1911-12. With diary.
8vo., 5s. net...... .VINTON, Nov. II"
932,"Bain (F. W.)—The Ashes of a god. Trans, from
the original MS. 4to. 9} x64, pp. 138, bds.
5s, net ; 12mo. 35. 6d. net METHUEN, Feb. II"
933,"Bain (F. W.)—An Incarnation of the snow.
Trans, from the original MS., 2nd edit. 12mo.
7 X 41, pp. 102, 3s. 6d. net ..METHUEN, Feb. II"
934,"Bain (F. W.)- A Mine of faults. 2nd edit. 12mo.
7 X 41, pp. 126, 3s. 6d. net METHUEN, A pr. II"
935,"Bairnies ; By“ Chanticleer.” Cr. 8vo, 25. 6d. net
J. OUSELEY, Dec. II"
936,"Baker (A. L.)-Quaternions as the result of
algebraic operations. Cr. 8vo., 6s. net
CONSTABLE, June II"
937,"Baker (Amy J.)-“I too have known.” Čr. 8vo.
74 X5, pp. 320, 6s..
.LONG, Sep. II"
938,"Baker (B. Granville) The Danube with pen and
pencil. Ryl. 8vo. 91 X6, pp. 208, 155.
SONNENSCHEIN, Mar. II"
939,"Baker (E. K.)-Out of the Northland. 16mo. Is.
net
. MACMILLAN, Mar. II"
940,"Baker (Elizabeth)-Chains : a play in four acts.
Cr. 8vo., pp. 84, swd., is. net
SIDGWICK & J., Feb. II"
941,"Baker (Frederick Charles)-Our immortal herit-
age: an estimate of life and death. 12m0., pp.
140, swd., is. net........ GAY & H., July is
Baker (Hatty)—Women in the Ministry. 8vo.
71 X5, pp. 66, 6d. net ..C. W. DANIEL, June II"
942,":
ex-
158. net
Dec. II"
943,
944,"Balfour (Lady Frances)--Lady Victoria Campbell,
a memoir. 8vo. 8} X5), pp. 380, 65. net
HODDER & S., Nov. II"
945,"Balfour (Graham)—The Life of Robert Louis
Stevenson. Cheap edit. 12mo. 7 X4, pp. 288,
IS, net
METHUEN, Sep. II"
946,"Balfour of Burleigh (Lord)—An Historical
account of the rise and development of Presby-
terianism in Scotland. Ryl. 16mo., pp. 810,
IS, net
..CAMB. UNIV. PRESS, Apr. 11"
947,"Balkan tour, My, Trevor (R.) 21S. ..Apr. II"
948,"Ball (C. R.)-Character, its signification and its
outcome. 12mo. 64x4), pp. 92, Is. 6d.
S.P.C.K., Oct. II"
949,"Ball (C. R.)-
The Chosen people and the promised
Christ. Cr. 8vo. 71 X 41, pp. 254, 25. 60.
SKEFFINGTON, Sep. II"
950,"Ball (E. Reynolds-) see Reynolds-Ball.
Ball (J. Dyer)— The Chinese at home; or, The
Man of Tong and his land. 8vo. 81x54,
pp. 382, 5s, net....
..R.T.S., Sep. II"
951,"Ball (John)—The Alpine guide: the Central
Alps, pt. 2. New edit. Cr. 8vo. 78 X4), pp. 452,
75. 6d. net
....LONGMANS, Aug. II"
952,"Ball (Sir Robert S.)-A Primer of astronomy.
Reissue, with an additional chapter and 2 maps.
Illus. 12mo., pp. 236, is. 6d. net
CAMB. UNIV. PRESS, Nov. II"
953,"Ball (W. Valentine)—Bankruptcy and bills of
sale: an ABC of the law. 2nd edit., rev.
and enlarged. 8vo. 81x55, pp. 388, 5s. net
PITMAN, June 11"
954,"Ballad of Robin Hood (The). From the original
version in the famous old Percy Ballads.
12mo., pp. 36, is. net, swd. 6d. net
DE LA MORE PRESS, Jan. II"
955,"Ballad of the White Horse, Chesterton (G. K.) 5s.
Sep. 11"
956,"Ballads, etc., Thackeray (W. M.) 6s. net May 11"
957,"Ballads and lyrics of love, Sidgwick (F.) 25., 3s. net
Feb. II"
958,"Ballads and rhymes, Lang (A.) 29., 3s. net May II"
959,"Ballads and verses of spiritual life, Nesbit (E.)
4s. 6d. net....
. Dec, II"
960,"Ballads, Legendary, Sidgwick (F.) 25., 38. net
Oct. II"
961,"Ballads of the boards, Garden (H. E.) 2s. 6d. net
Mar. 11"
962,"Ballads of the brave, Langbridge (F.) 38. 6d.
Mar. II"
963,"Ballantyne (J. W.) ed.--Quinquennium of medicine
and surgery, 1906–1910. Imp. 8vo. IIX7},
pp. 416, Ios. 6d. net...
...W. GREEN, Juiy II"
964,"Ballantyne (R. M.)-Deep down : a tale of the
Cornish mines. New edit. Cr. 8vo., pp. 320,
IS., Is. 6d., 25.
WARD, L., Mar. II"
965,"Ballantyne (R. M.)- Deep down : a tale of the
Cornish mines. Cr. 8vo. 71 X41, pp. 428, is. 6d.
NISBET, July in
Ballantyne (R. M.)— The Dog Crusoe. 8vo.
77 X5ł, pp. 318, is; limp, 8d, net (Chambers'
Standard authors). ..CHAMBERS, June 11"
966,"Ballantyne (R. M.)-Erling the Bold : a tale of
the Norse sea-kings. Cr. 8vo. 7} X 41, pp. 444,
IS. 6d.
.NISBET, July it
Ballantyne (R. M.) Fighting the flames. Re-issue.
Cr. 8vo., pp. 320, IS., Is. 6d., 25.
WARD, L. Nar. II"
967,"Ballantyne (R. M.)- The Gorilla hunters. Svo.
7* *5), pp. 310, is, ; limp, 8d. net (Chambers'
Standard authors).. ...CHAMBERS, June il"
968,"Ballantyne (R. M.) The Lighthouse. Re-issue.
Cr. 8vo, 71 X5, pp. 414, 2s... NISBET, Feb. II"
969,"Ballantyne (R. M.) Martin Rattler. 8vo. 78 X 51,
pp. 242, is. ; limp 8d, net (Chambers's Standard
authors)
... CHAMBERS, Aug. II"
970,"Ballantyne (R. M.)-The Red Eric. 8vo. 7* *5),
pp. 318, IS. ; limp, 8d, net (Chambers' Standard
authors)
...CHAMBERS, June II"
971,C
972,"302, IS. net
IS.
• • • •
Ballard (Frank)-Determinism : false and
true. À contribution to modern philosophy
and ethics. 8vo. 9 X54, pp. 446, 6s. net
METHODIST BOOK ROOM. Sep. II"
973,"Balleine (G. R.)-A History of the Evangelical
party in The Church of England. New and
cheaper edit. 8vo., pp. 240, limp. is. net
LONGMANS, Nov. II"
974,"Ballenger (W. L.)—Diseases of the nose, throat
and ear. 3rd edit. 8vo., 28s, net
H. KIMPTON, May II"
975,"Ballet (G.)-Neurasthenia. 3rd edit. 8vo., 7s. 60.
net
.H. KIMPTON, May II"
976,"Ballin (Ada S.)-How to feed our little ones.
3rd. edit., rev. Cr. 8vo. 71 X5, pp. 64, 6d.
(Mothers' guide ser.)....F. L. BALLIN, Aug. II"
977,"Ballinger (John)-Aberystwyth and district.
Cr. 8vo. 77X5, pp. 286, 28. 6d. net
(Aberystwyth) GALLOWAY, June 11"
978,"Balm in Gilead, Kingsley (F. M.) 25....... Apr. II"
979,"Balzac (Honoré De)—The Country doctor. Izmo.
pp. 304, Is. net; Ithr. 25, net (Everyman's
library)
.DENT, Sep. II"
980,"Balzac (Honoré de)-Eugénie Grandet.
12mo.,
pp. 272, Is, net..
...NELSON, May 11"
981,"Balzac (Honoré de)-Les Paysans. 12mo., PP.
.DENT, Nov. II"
982,"Balzac (Honore de)-Le Père Goriot. I 2mo.,
pp. 252, IS. net...
.DENT, May 11"
983,"Balzac (Honoré de)-Ursule Mirouët. 16mo.
6X4, pp. 352, is. net ; Ithr. 25. net
A. PERCHE, Mar. II"
984,"Balzac (Honoré de)-La Vendetta. 12mo. limp
(Siepmann's Ser.) .. MACMILLAN, Mar. 11"
985,"Bancrofts (The)—Recollections of sixty years.
12mo., pp. 476, is. net NELSON, June 11"
986,"Band of Hope annual (The)—1911. Ryl. 8vo.,
IS. 6d., bds. IS. ...PARTRIDGE, Od. II"
987,"Banerjea (Pramathanah)-A Study of Indian
economics. Cr. 8vo. 74 x 4, pp. 234, 35. 6d. net
MACMILLAN, Sep. II"
988,"Banerjea (S. B.)—Indian detective stories. Cr. 8vo.
pp. 284, swd. Is, net ......GAY & H., Nov. II"
989,"Banfield (E. J.)-The Confessions of a beach-
comber. Illus. 2nd impres. 8vo. 81 x 54,
pp. 348, 5s.
.UNWIN, Jan. II"
990,"Banfield (E. J.)—My tropic isle. 8vo. 9 x 58,
pp. 316, Ios. 6d. net ....... UNWIN, Sep. II"
991,"Bangor, Hughes (W.) (Diocesan hist.) 3s. 6d.
Νου. ΙΙ"
992,"Bank failures, &c., Open letter on, Kitson (A.) 6d.
Dec. 11"
993,"Bank rate, Gibson (A. H.) 25. 6d. net ..Jan. 11"
994,"Bankers (Institute of)-Answers to Questions set
at the Examination held April, 1910. Pre-
liminary. By P. E. Barton 8vo. 81 X55,
pp. 46, Is. 3d. net ...... WATERLOW, Apr. II"
995,"Banking almanack (The) 1912. 8vo., 155. net
WATERLOW, Dec. II"
996,"Banking and currency, Sykes (E.) 25. 6d. net
Νου. ΙΙ"
997,"Banking, Dict. of, Thomson (W.) 21s. net..Feb. II"
998,"Banking, One pound note in, Graham (w.) gs. net
Apr. 11"
999,"Banking system, Rational, Eckardt (H. M. P.)
78. 6d. net
...Apr. II"
1000,"Bankruptcy Act, 1883: Proceedings account,
1910-11 (post free) id..... WYMAN, Nov. II"
1001,"Bankruptcy and bills of sale, Ball (W. V.) 5s, net
June 11"
1002,"Bankruptcy law, Student's guide, Fausset (F. P.)
28. 6d. net
....Nov. II"
1003,"Bankruptcy report for 1910 (post free) 8}d.
WYMAN, Sep. 11"
1004,"Bankruptcy, Time table of matters in connection
with. 6d, net
........ July 11"
1005,"Banks, London, Skinner (T.) 1911-12, ios. net
June 11"
1006,"Bannister (A. T.)— Politics in the pupit : sermons
preached in Hereford Cathedral. 8vo. 8×152,
pp. 96
(Hereford) JAKEMAN & CARVER, Sep. II"
1007,"Bantock (H. F.)-A Woman's love, and other
poems. Cr. 8vo., 35. 6d. net
CONSTABLE, July 11"
1008,"Baptist Church, John Smith and, Burgess (W. H.)
55. net...
.Oct. II"
1009,"Baptist handbook for 1911. 8vo. 35. net, swd.
28. 6d. net ... BAPTIST UNION, Jan. II"
1010,"Baptist pioneers : Peasants and prophets,
Byford (C. T.) is. 6d., is, net..........Oct. II"
1011,"Bar and plate tables, steel, Read (E.) is. net
June 11"
1012,"Bar exam. questions, Sherwood's, Hilary Term,
1911, IS. 6d. net
..Jan. 11"
1013,"Bar exam. questions, Shearwood's, 1911. Vol. 1,
pt. 2, Is. 6d, net....
.. June 11"
1014,"Bar final examination, 1912 Special. Cr. 8vo. swd.
3s. 6d. net
SWEET & M., Nov. II"
1015,"Bar, Guide to the, Bluff (H.) 25. 6d. net Sep. II"
1016,"Barbara's love story, Rowlands (E. A.) 35. 60.
Od. II"
1017,"Barbara's stormy wooing, Clay (B. M.) 6d.
Feb. II"
1018,"Barbary sheep, Hichens (R.) is. net....Sep II"
1019,"Barbauld (Anna Lætitia)-Eighteen hundred and
eleven. Intro. sketch by Arthur Bennett. 8vo.,
Swd. 6d.
(Warrington) SUNRISE PUBL. Co., Dec. II"
1020,"Barber (Evelyn) — Michael : a novel. Cr. 8vo.
71 X 5, pp. 304, 6s. ......MURRAY & E., Dec. II"
1021,"Barbour (A. H. F.)-Maternity primer. I2mo.
6X38, pp. 174, is net ....W. GREEN, Mar, II"
1022,"Barbour (G. P.)-A Philosophical study of
Christian ethics. 8vo. 82X51, pp. 454, 75, 6d.
net
...W. BLACKWOOD, Nov. II"
1023,"Barbour (R. H.)-Finkler's field. Cr. 8vo., 5s.
APPLETON, Nov. II"
1024,"Barbour (R. H.)—Por Yardley. Cr. 8vo., 6s.
APPLETON. Nov. II"
1025,"Barclay (Edgar)—The Ruined temple Stone-
henge : its history, and a short account of
questions associated with it. Cr. 8vo., pp. 102,
swd., is, net ..ST. CATHERINE PRESS, June II"
1026,"Barclay (Florence L.)-The Following of the star :
a romance. Cr. 8vo. 7* X5, pp. 434, 6s.
PUTNAM, Oct. II"
1027,"Barclay (Florence L.)-The Mistress of Shenstone.
Illus. edit. 8vo. 9 x54, pp. 350, Ios. 6d. net
PUTNAM, Nov. II"
1028,"Barclay (Mrs. Hubert)—Trevor Lordship. Cr. 8vo.
7# X5, pp. 400, 6s....... MACMILLAN, Mar, II"
1029,"Bards well (Frances A.)—The Herb-garden. Illus.
8vo. 9 X64, pp. 182, 75. 6d. net BLACK, A pr. II"
1030,"Bargain book, Jerningham (C. E.) and Bettany
(L.) 78. 6d. net..
Oct. II"
1031,"Barham (R. H.)— The Ingoldsby legends. 12mo.,
6d. net.
NELSON, June 11"
1032,"Barham (R. H.)—Ingoldsby legends. 16mo.
31 X2), Ithr. is. net (Langham booklets, 56)
SIEGLE, H., June II"
1033,"Barham (R. H,)-The Ingoldsby legends; or,
Mirth and marvels, With illus. in colour by
H. G. Theaker. 8vo. 81 X54, pp. 562, 5s. net
MACMILLAN, Od. II"
1034,"Baring (Maurice)-Collected poems. Cr. 8vo.
7* X5, pp. 246, 5s. net .LANE, Mar. 11"
1035,"Baring (Maurice)-Desiderio : a play in 3 acts.
Rev. edit. Cr. 8vo., pp. 106, swd. is, net
B. H. BLACKWELL, July 11"
1036,"Baring (Maurice)-Diminutive dramas. Čr. 8vo.
77X5, pp. 232, 4s. 6d. net CONSTABLE, Jan. II"
1037,"Baring (Maurice)—The Russian people. 8vo.
9x5), pp. 386, 15s. net......METHUEN, Oct. II"
1038,"Baring-Gould (Sabine)—Chris of All-Sorts. 8vo.
swd. 6d.
..METHUEN, Mar, II"
1039,
1040,"Baring-Gould (Sabine) ed.—Church songs. Music
arranged by Rev. Fleetwood Sheppard and
R. Vaughan Williams.
Cr. 8vo. 71 X5, pp. 52,
.S.P.C.K., May 11"
1041,"Baring-Gould (Sabine)--Cliff castles and cave
dwellings of Europe. Illus. 8vo. 9 X54, pp. 324,
I2s. 6d. net
...SEELEY, Jan. II"
1042,"Baring-Gould (Sabine)-A Coronation souvenir.
Illus. 16mo., pp. 58, 6d. net
SKEFFINGTON, Jan. II"
1043,"Baring-Gould (Sabine)—The Land of Teck, and
its neighbourhood. Illus. 8vo. 9 X54, pp342,
IOS. 6d. net..
.LANE, May 11"
1044,"Barker (C. F.)-Two years in the Canaries.
Cr. 8vo. 35. 6d. net.......... AUTHOR, Sep. II"
1045,"Barker (Granville)-The Madras house. A
comedy in four acts. Cr. 8vo. 73 X5, pp. 150,
25. net, swd. is. 6d. net
SIDGWICK & J., Jan, II"
1046,"Barker (Granville)—Waste: a tragedy in four
acts. Cr. 8vo. 71 X5, pp. 136, 23. net
SIDGWICK & J., Sep. II"
1047,"Barker (Granville) Anatol, Schnitzler"" (A.) 25.,
IS, 6d. net
.Feb. 11"
1048,"Barker (Granville) see Housman (L.) and Barker.
Barker (I. F.) Lays of love and trust. Cr. 8vo.
35. 6d. net
..E. STOCK, Feb. II"
1049,"Barkley (H. C.)-Studies in the art of rat-catching.
Pop. edit. Cr. 8vo. pp. 194, is, net
MURRAY, Feb. II"
1050,"Barley (F. C.)—The Twins : their visit to the
Queen : a story for parents to read to their
children. 4to., 28. 6d. ..R. SCOTT, Dec. II"
1051,"Barlow (Jane)-Flaws : a novel. Cr. 8vo. 71 x5,
pp. 352, 6s.
.HUTCHINSON, June II"
1052,"Barlow (Jane)-Irish ways, 2nd edit. Illus. by
Warwick Goble. 8vo. 8} X 51, pp. 274, 6s. net
G. ALLEN, Oct. II"
1053,"Barlow (Jane)-Mac's adventures. Cr. 8vo.
74 X5, pp. 328, 6s. ....HUTCHINSON, Jan. II"
1054,"Barlow's Tables of squares, cubes, square roots,
cube roots, reciprocals of all integer numbers
up to 10,000. Cr. 8vo. 7} x 44, pp. 208, 4s. net
SPON, Feb. II"
1055,"Barmouth, Wild flowers of, Salwey (T.) 6d.
Barnaby Rudge, Dickens (C.) 2 v. ea. 35. 60.
Jan. II"
1056,"Barnacles of Japan, &c., Pilsbry (H. A.) 49. net
Sep. 11"
1057,"Barnard (Amy B.)—Talks with children about
themselves. 8vo. 81 X54, pp. 236, 38. 6d. net
CASSELL, Oct. 11"
1058,"Barnard (H. Clive)-Europe in pictures. 4to.,
98 x71, pp. 64, Is. 6d. ...BLACK, July 11"
1059,"Barnard (J. Edwin)-Practical photo-micro-
graphy. Illus. 8vo. 83 X51, pp. 334, 155. net
E. ARNOLD, APY. II"
1060,"Bames (Irene H.)-Doctor Alec's son. Cr. 8vo.
71 x 44, pp. 192, is. 6d.
CHURCH MISS. Soc. Nov. 11,
Bames (R.)—Chrysanthemums for exhibitors
and amateurs. Cr, 8vo. Swd. 6d. net
CABLE PUB, Co., May II"
1061,"Barnes (Hon. R. Gorell)—Babes in the African
wood. Illus. Cr. 8vo. 8 X54, pp. 264, 6s. net
LONGMANS, Dec. II"
1062,"Barnes-Grundy
(Mabel) The Third Miss
Wenderby. Cr. 8vo. 74 X4, pp. 326, 6s.
HUTCHINSON, Oct. II"
1063,"Barnett (Annie) and Dale (I.ucy)-An anthology
of modern English prose, 1741-1892. Cr. 8vo.
74 X5, pp. 464, 4s. 6d. ...LONGMANS, Mar. II"
1064,"Barnett (L. D.) Cata. of Kannada, &c., books,
British Museum, 2is, net
. Jan. 11"
