,0
0,"ACTS
Achard (A.)—Un Aiglon : anecdote extraite de
“La Cape et l'Epée.” Cr. 8vo. Is. 6d.
MURRAY, Sep. 1o"
1,"Acharnians, Aristophanes (Rogers) 1os. 60. jan. 10"
2,"Achorn (John W.)-Nature's Helps to Happiness ;
or, Ground Treatment. 12mo. 7 x 41, pp. 56,
IS. net
.W. RIDER, Feb. 1o"
3,"Ack worth (John)-Old Wenyon's Will. New edit.
Cr. 8vo. 74 x5, pp. 342, 25.
PARTRIDGE, A pr. 10"
4,"Across the Gulf, Stewart (N. V.) 6s. .Oct. 1o"
5,"Across the Spanish Main, Collingwood (H.) 35.
Sep. 10"
6,"Acting : Oxford Amateurs, Mackinnon (A.)
16s. net
. June 10"
7,"Active Service Pocket-Bk (Army) Stewart (B.)
.Feb. 10"
8,"Acton (Lord)—Lectures on the French Revolu-
tion. Edit. by John Neville Figgis and Regi-
nald Vere Laurence. 8vo. 9X51, pp. 388,
Ios. net
MACMILLAN, Nov. 10"
9,"Acts, Lanchester (H. C. O.) (Camb. Bible) is. net
43. net
Oct. 1o"
10,"Acts of the Apostles, Young (I. F.) Pt. 2, is. net
Apr. 10"
11,"Acts-Abertillery and District Water Board Act,
1910, 75.
. WYMAN, Dec. 10"
12,"Acts—Appropriation Act, 1910, 3d. ; Hotels and
Restaurants (Dublin), fd.; Standard Life
Assurance Company, 35..... WYMAN, Aug. 10"
13,"Acts-Assam Railways and Trading Company,
IS.; Provident Association of London, is. 6d.;
City of London Tithes and Rates, 6d.
WYMAN, Sep. 10"
14,"Acts—Bradford Corporation Act, 1910, 45.;
Glasgow Gas Act, 1910, 35. 3d. ; Expiring
Laws Continuance Act, id. .. WYMAN, Dec. 10"
15,"Acts—Bury Corporation, 125. ; Colinton Tram-
ways Order Confirmation, 55. gd.
WYMAN, Jan. 10"
16,"Acts—Caledonian Railway Order,
IS. 9d. ;
Fraserburg Water Order, 2s. 3d. ; Tramways
Order Confirmation, 25. 3d... WYMAN, Sep. 09"
17,"Acts—Cambridge University and Town Water-
works, 25. 9d.; Garnant Gas, is. 3d. ; South
Lincolnshire Water, 6d. ; Thorne and District
Water, IS. 6d.; Nottingham Corporation,
Is. gd.
WYMAN, Nov. 10"
18,"Acts—Cardiff Corporation, 35... WYMAN, Dec. Io"
19,"Acts Central Argentine Railway, Ltd., 9d. ;
Clydebank and District Water Order Confirma-
tion, is. ; Electric Lighting Order Confirmation,
No. 4, 6d.
.WYMAN, Oct. 1o"
20,"Acts-Finance Act, 1909-10, 10 d.
WYMAN, May 10"
21,"Acts—Finance Act, 1910, £d. ..WYMAN, Dec. 10"
22,"Acts-Great Central Railway, 28. 3d.; Great
Grimsby Gas, 28....... .WYMAN, Nov. 10"
