"286, 5s. net...... Ancestor (The). No. 11. Imp. 8vo. 58. net CONSTABLE, Oct. 04- Dec. 04"
"Elliot (W. Scott-)-Lost Lemuria. 8vo. 2s. 6d. net. .THEOSOPHICAL PUB. Co. July 04, Elliott (Mrs. John)-see Howe (Maud) Ellis (A. Lee)-Trustees Acts, incl. Guide to Investments. 6th ed. by L. W. Bryne. Cr. 8vo. pp. 200, 6s. .STEEVENS & S. Mar. 08"
"Spectra of Stars of Secchi's fourth type. 8 Plates. Hadow (W. H.) Oxford Hist. of Music, 15s. net 4to. pp. 135, sd. 7s. 6d. net (Univ. Chicago, Nov. 04 Decennial Publications) ...W. WESLEY, Jan. 04"
"Ingraham (J. H.)—Throne of David. New edit. cr. 8vo. 1s. ………………………..GALL & I. Oct. 04 · Ingram (A. F. W.)-Faith of Church and Nation. Cr. 8vo. 7 × 43, pp. 226, 3s. 6d. GARDNER & D. Dec. 04"
"Illus. 4to. 9 × 71, pp. 356 and Plates, 258. net SIMPKIN, Nov. 04 Low (Chs. Rathbone), Kingston, Africa, Trav. 58. Mar. 04"
"Drawing and Design. Enl. ed., 8th impr., 700 Illus. Love has no Pity, Langbridge (Fred) 2s. 6d. Dec. 04 Cr. 8vo. pp. 414, 7s. 6d. ....LONGMANS, Dec. 02 Low (Frances H.)-Press Work for Women. Love, Honour, Obey, Hardy (Miss D.-) 6d. July 04"
"Mark Rutherford. Revolution in Tanner's Lane. Edit. by his friend Reuben Shapcott. 4th edit. cr. 8vo. 74 × 44, pp. 388, 18. net...UNWIN, July 04- Mark Rutherford's Autobiography. Edit. by his friend Reuben Shapcott. 9th edit. cr. 8vo. 7 x 44, pp. 152, 1s. net …………………………………….UNWIN, July 04"
"New Century Cookery Book &c., Senn (C. H.) 21s. nt. Apr. 04- New Century Geography Readers. Book 6. Geography of Greater Britain. Cr. 8vo. 7 × 43, pp. 288, 1s. 6d. ..BLACKIE, Aug. 04"
"Nield (J.)-Guide to Best Historical Novels and Noble (Margaret E.)-Web of Indian Life. By Tales. 3rd ed. enl. 4to. 8 × 61, pp. 252, 4s. net the Sister Nivedita of Ramakrishna Vive- E. MATHEWS, Mar. 04 Kananda. 8vo. 9 × 53, pp. 810, 7s. 6d. Niemann (A.)-Coming Conquest of England. HEINEMANN, May 04"
"Night Side of Nature, Crowe (C.) 28......... Sep. 04 Nolhac (P. De)-J.-M. Nattier, Peintre de la Nightingale (Florence), Tooley (Sarah A.) 5s. net; Cour de Louis XV. 4 coloured facs., other Illus. 2nd ed. 58. net..... ..Oct., Dec. 04 Roy. 4to. 13 x 104, pp. 172 & plates, swd. 160s.net Nights with Uncle Remus,Harris (Joel C.)6d.Mar.04"
"Watts (G. F.), Chesterton (G.K.) 2s., 2s. 6d. Mar. 04 Webster (A. G.)-Dynamics of Particles and of Rigid, Elastic, and Fluid Bodies. 8vo. 14s. net Watts (W. M.)-Intro. to the Study of Spectrum NUTT, Dec. 04"
"Watts-Dunton (T.), Douglas (Jas.) 10s. 6d. net Dec. 04 Webster (H. K.)-Duke of Cameron Avenue Wauchope (Maj.-Gen.), Douglas (Geo., Sir) 10s. 6d. 12mo. 63x4, pp. 136, 2s. net (Pocket Novels) May 04"
