"Assaying, Fire, Buskett (E. W.) 4s. 6d. net May 07, Assaying Gold, &c., Brown (W. L.) 10s. 6d. net July<PAGE_NUM:14><DOCUMENT_PAGE_NUM:26> 07"
"Tragedy. 4to. DENT, Jan. 07, Beside the Bonnie Brier Bush, 2S., 2s. 6d. net Besier (R.) The Virgin Goddess. 2s. 6d. net Bessie at School, Mathews (Johanna H.), Is. 6d. Aug.<PAGE_NUM:25><DOCUMENT_PAGE_NUM:37> 07"
"May 07 Clerical Directory, Crockford's, 1907, 208. Mar.<PAGE_NUM:55><DOCUMENT_PAGE_NUM:67> 07"
"Edwards (G. M.)-Colloquia Latina. Adapted from Erasmus. With Notes and Vocabulary 12mo. pp. 160, 1s. 6d. (Pitt Press Ser.) CAMB. UNIV. PRESS, Jan. 07, Edwards (Miss Betham-)-A Close Ring; or. Episodes in the Life of a French Family. Cr 8vo. 7×4, pp. 350, 6s. ARROWSMITH, Sep.<PAGE_NUM:82><DOCUMENT_PAGE_NUM:94> 07"
"6d. .... H. MARSHALL, May 07 Green (E. Everett-)-Eleanor's Hero. 8vo. swd. .MELROSE, April<PAGE_NUM:112><DOCUMENT_PAGE_NUM:124> 07"
"England to homes and memorials of the Hudson (A. A.)-The Law of Building, Engineer- Founders of Virginia, the new England States, ing and Ship-Building Contracts. 2 vols. 3rd &c. Illus. by Elizabeth M. Chettle. 4to. edit. Ryl. 8vo. 52s. 6d. SWEET & M., Feb. 07 10 X 71, pp. 402, 20s. net; edit. de luxe, 638. net ..FINE ART Soc., Nov.<PAGE_NUM:132><DOCUMENT_PAGE_NUM:144> 07"
"Imp. 16mo., pp. 40, swd. Is. net RIVERS, July 07 Hulbert (H. H.)-Voice Training in Speech and Hueffer (F. M.)-The Pre-Raphaelite Brotherhood: Song. Illus. Cr. 8vo. 7 X4, pp. 96, Is. 6d. a Critical Monograph. 12mo. 6 × 3, pp. 186, CLIVE, Dec.<PAGE_NUM:132><DOCUMENT_PAGE_NUM:144> 07"
"25. net; lthr. 2s. 6d. net.. DUCKWORTH, Oct. 07 Hull (Eleanor)-A Text Book of Irish Literature. Part 1. Hueffer (F. M.)-Privy Seal: His Last Venture. Cr. 8vo. 7×41, pp. 296, 35. net NUTT, May<PAGE_NUM:132><DOCUMENT_PAGE_NUM:144> 07"
"Vos (George H.)-Birds and their Nests and (Great Operas) Eggs Found in and Near Great Towns. Illus. Wagner (R.)—The Meistersingers. 16mo. pp. 48, Cr. 8vo. 7X41, pp. 160, IS. ROUTLEDGE, June 07 IS. net (The Great Operas)....JACK, Sep.<PAGE_NUM:283><DOCUMENT_PAGE_NUM:295> 07"
"Wickhamses, Ridge (W. Pett) 6d. net.. 11×8, pp. 304, 31s. 6d. net (19th Century Mezzotinters) BELL, Oct. 07 Wickremasinghe (M. de Z.) Epigraphia Zeylanica, Archaeological Survey of Ceylon. Vol. May<PAGE_NUM:291><DOCUMENT_PAGE_NUM:303> 07"
"Whitman (R.)-Orthopedic Surgery. Illus. 3rd Pts. 2 and 3; ea. 5s. net edit. Ryl. 8vo. 285. net; 2 vols. 30s. net H. KIMPTON, Mar. 07 Wickremasinghe (M. de Zilva)-Tamil Self- For Students, Officers, Civil Taught. Whitman (R. B.)-Motor-Car Principles. Illus- trated. Cr. 8vo. 5s. net..APPLETON, April 07 Servants, &c. Cr. 8vo. 7X41, pp. 96, 25. 6d. ; swd. 2s. (Marlborough's ""Self-Taught "" Ser.) of Grass (Wal.)-Leaves (David Whitman MARLBOROUGH, Feb.<PAGE_NUM:291><DOCUMENT_PAGE_NUM:303> 07"
