"Barrett (F.)-Fettered for Life. 8vo. swd. 6d. CHATTO, Apr. 06 15s. net Barrett (G. S.)-Musings for Quiet Hours. 12mo. Bartram (G.)-Lads of the Fancy. Cr. 8vo. 74 × 5, 6 × 4, pp. 128, 1s. net (Quiet Moment Ser.) pp. 318, 6s.....……………………………………………………. REL. TRACT Soc. Feb.<PAGE_NUM:19><DOCUMENT_PAGE_NUM:27> 06"
"Company Committee-Report, Comedies, Shakespeare, 18., 28. net S, Nov. 06 Co., App Lai, mendment ComwYMAN, July<PAGE_NUM:55><DOCUMENT_PAGE_NUM:63> 06"
"Dyke (H. Van)-Fisherman's Luck and some other Uncertain Things. Illus. Cr. 8vo. 73 × 5, pp. 296, 68........... .........HODDER & S. Apr. 06- Dyke (H. Van)-Ideals and Applications. Cr. 8vo. 74 × 5, pp. 292, 3s. 6d. net... HODDER & S. Sep.<PAGE_NUM:74><DOCUMENT_PAGE_NUM:82> 06"
"Herbert (W. V.)-By-Paths in the Balkans. 8vo. 9 × 54, pp. 284, 10s. 6d. net CHAPMAN & H. Apr. 06 | Libretto for Herbert (W. V.)-The Corsair. Grand Opera based on Byron's Corsair and Lara. 8vo. swd. 2s. 6d. net ...EVERETT, Apr.<PAGE_NUM:117><DOCUMENT_PAGE_NUM:125> 06"
"Local Taxation Account, 1905-6. 2 d. Lofthouse (W. F.)- Ethics and Atonement. Local Taxation in London, Lange (M. E.) 1s. net WYMAN, Nov. 06 Front. 8vo. 9 × 53, pp. 814, 5s. net Local Taxation, Ireland. 94d. ...WYMAN, Apr.<PAGE_NUM:152><DOCUMENT_PAGE_NUM:160> 06"
"Maxwell (H.)-Marriage of Eileen. Cr. 8vo. 7 × 43, pp. 318, 6s. ...........DIGBY & L. May 06, Maxwell (Helen)-Eve and the Wood God. Cr. 8vo. 7 x 44, pp. 290, 6s. BROWN & L. Oct.<PAGE_NUM:166><DOCUMENT_PAGE_NUM:174> 06"
"Poems, Humorous, Hood (Ths.) 6d., 8d. net Dec. 06- Poems of Life and Death, ed. by G. K. A. Bell, 18., 2s. net..... ....Dec.<PAGE_NUM:199><DOCUMENT_PAGE_NUM:207> 06"
"Toledo, Artist's Imp. of. Dick (Stewart) 8s. 6d. net Dec. 06- Tolstoy (L.)-A Great Iniquity. Cr. 8vo. swd. 4d. net.........…………………………………………..FREE AGE P. Mar.<PAGE_NUM:255><DOCUMENT_PAGE_NUM:263> 06"
