"DENT Feb. 12 ca Cantlle (James) and Jones (C. S.)-Sun Yat Sen and the awakening of China. Cr. 8vo. 78 X5, pp. 294, 6s, net.......... JARROLD, June<PAGE_NUM:51><DOCUMENT_PAGE_NUM:61> 12"
"net ..Mar. 12 Evans (Christopher J.)—Breconshire. Cr. 8vo., Eucken (Rudolf)-Main currents of modern 71 X4), pp. 184, Is. 6d. (Cambridge county thought : a study of the spiritual and intellec- geographies) .... CAMB. UNIV. PRESS, Mar.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Nobel lecture delivered at Stockholm Evans (Edwin)--Historical, descriptive and ana- March 27th, 1909. 8vo., pp. 44, swd. is. net lytical account of the entire works of Johannes HEFFER, Mar. 12 Brahms. Vol. I. The Vocal works. 8vo., lucken : a philosophy of life, Jones (A. J.) 6d. net 9 X54, pp. 620, 1os. ...W. REEVES, Mar.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Eugenics, Church and, Gerrard (T. J.) 60. Aug. 12 Evans (George)- The Child of his adoption. Eugenics, Darwinism, medical progress and, Cr. 8vo. 71 X5, pp. 444, 6s. Pearson (K.) is. net ..Sep.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Eugenics, Hercdity in relation to, Davenport Evans (Herbert A.)--Castles of Englaud and (C. B.) 8s. 64. net. . May 12 Wales. Illus. 8vo. 9 X 51, pp. 386, 125. 6d. net Eugenics, Intro. to, Whetham (W. C. D. and C. D.) METHUEX, Oct.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
".. Jan. 12 Evans (I.. Worthington)—The National Insurance Eugenics, Problem of practical, Pearson (K.) Act, 1911 Summary, with explanatory chapters Is, net... ...d pr. 12 and full index. 8vo. swd, id. ; superior edit., Eugenics, Problems in, Ios. 6d. net .. July 12 60. net Eugénie, Empress, and her circle, Barthez (E.) NATIONAL CONSERVATIVE UNION, Mar.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Ithr. 6s. 6d. net (Loeb classical library) Everett-Green (Evelynı) —-Aunt Patience : a story HEINEMANN, Oct. 12 for girls. Cr. 8vo. 8 X54, pp. 380, 35. 6d. Europa's childhood, &c. : geog. of Europe, RT.S., Sep.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Berry (A. J.) 25. ..Feb. 12 Everett-Green (Evelyn) ---Co-hciresses. 8vo., Europe and the Turks, Buxton (N.) is, net Nov. 12 swd. 64. ..S. PAUL, May<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"map, 55. net. · July 12 Everett-Green (Evelyn)-Duckworth's diamonds. Europe, Geography of, Smith (T. A.) 25.6d. Cr. 8vo. 71 X5 pp. 304, 6s. S. PAUL, Feb.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12."
"Europe, Satchel guide, Rolie (W. J.) 1912. Everett-Green (Evelyn)-Galbraith of Wynyates 6s. net Mar. 12 Cr. 8vo. 73 X5, pp. 328, 6s. S. PAUL, July<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"7s, 6d. net July 12 Everett-Green (Evelyn)-The Secret of Wold European years, Woodberry (G. E.) 7s, 6d. net Hall. 8vo. swd. 6d. ....HUTCHINSON, Sep.<PAGE_NUM:100><DOCUMENT_PAGE_NUM:110> 12"
"Fetherston (Sir G. R.)—Songs of sunlight : verses from many lands. Cr. 8vo 28. 6d, net NISBET, Dec. 12- Fetish folk of W. Africa, Milligan (R. H.) 6s. net Oct.<PAGE_NUM:104><DOCUMENT_PAGE_NUM:114> 12"
"Gallic war, Cæsar, Bk. 5 (Shuckburgh) is. 6d. Oct. 12, Jan. 13 Gallon (Tom)-Dead man's love. 8vo. swd. 6d. WARD, L., Feb.<PAGE_NUM:114><DOCUMENT_PAGE_NUM:124> 12"
"Hart (David Berry)-Guide to midwifery. Illus. IS. Snurkin, May 12 , Hart (H.)-Should courtship and marriage be raised to a higher plane? Cr. 8vo., Is. 6d. net STOCKWELL, Sep.<PAGE_NUM:134><DOCUMENT_PAGE_NUM:144> 12"
"Herbert (A. P.)--Play hours with Pegasus. I 2mo. pp. 66, swd. Is. net B. H. BLACKWELL, May 12, Herbert (C.)-Lesson light in story form. I 2mo. swd. Is, net ..MACMILLAN, Oct.<PAGE_NUM:139><DOCUMENT_PAGE_NUM:149> 12"
"1: M 55. net : Hicks (Janies A.)—The Laboratory book of Hill (Georges Chatterton-) sce Chatterton-Hill. mineral oil testing. 2nd edit., rev. Cr. 8vo. 71 x 41, pp. 88, limp, 25. 6d. net Hill (Headon)-My lord the felon. Cr. 8vo., C. GRIFFIN, June 12 73 X5, pp. 320, 6s. ... WARD, L., May<PAGE_NUM:141><DOCUMENT_PAGE_NUM:151> 12"
"DULAU, June 12 Hill (Headon)— The Thread of Proof. Cr. 8vo. Hida craftsman, Story of a, ros. 6d. net Nov. 12 7# X41, pp. 330, 6s........ ...S. PAUL, Sep.<PAGE_NUM:141><DOCUMENT_PAGE_NUM:151> 12"
"Hill (Henry Erskine)-The Seven parables of Hidden fear, Blyth (J.) 6s. June 12 the kingdom. 12mo. 64 x 47, pp. 98, is. 6d, net Hidden highway, Bone (F.) 6d.. July<PAGE_NUM:141><DOCUMENT_PAGE_NUM:151> 12"
