"Admiralty-Hydrographic. China Sea pilot. Vol. 1, The Approaches to the China Sea, by Malacca and Singapore Straits, and incl. the whole Island of Sumatra. Ist ed., 3s. Vol. 3, 1912 : Supp., 1915 J. D. POTTER, May 16, Nov.<PAGE_NUM:3><DOCUMENT_PAGE_NUM:11> 15"
"Army-Clothing and necessaries, Priced vocab., 1915: Amend, and additional rates, &c. Pt. I, Jan. 16, id. ; do. Amended rates, &c., Apr., 16, do. : Addendum, Aug. 1916, Additions to Pt. 1, Pimlico sect. 3 and 20, id. WYMAN, Jan., Apr., Aug.<PAGE_NUM:11><DOCUMENT_PAGE_NUM:19> 16"
"Army--Equipment rgns. Pt. 1: Amend., Feb. 16, id. ; Pt. 2, sect. 1, Infantry (Reg. Army), 1913; Pt. 2, sect. 3, A.S.C. (Reg. Army), 1913 : Repr. w. amend. to Dec. 31, 1915, ea. 6d. WYMAN, Jan., Feb.<PAGE_NUM:11><DOCUMENT_PAGE_NUM:19> 16"
"Army-Field service manuals : Divisional ammu- nition column (New Armies), 3d. ; Artillery, Field, Brigade, Q.F. 18-pr. : Amend., Mar.,16, id. ; Artillery (Heavy) (B.L. 60-pr.) Battery and aminunition column, 3d. WYMAN, Jan.-A pr.<PAGE_NUM:11><DOCUMENT_PAGE_NUM:19> 16"
"ARNOLD'S W. * B” 31S. 6d. Army-Guns, Hdbks. for: 18-pr. Q.F., 1913 : Amend., Aug. 15, 2d. ; .303 in. Lewis machine gun (magazine rifle chamber) Pt. I (prov.), 4d. ; 9.45 in. B.L. Howitzer, 1906: Repr. w. amend. 1915, 9d. ; Maxim gun hdbk. : Addenda, id. ; Vickers' gun hdbk. : Addenda, id.; 60-pr. B.L. 1913, Amend. : Care and preserv. of carriage, &c., id. ; 8 in. R.M.L. Howitzer of 70 cwt. for movable armament and armament of works, Land service, 1901 : Repr., 1915, 25.; 4.5 in. Q.F. Howitzer, Land service, 1915, IS.; 13-pr. Q.F. Land service, 1913 (Repr. w. amend., 1914): Amend., Mar. 16, Id. ; 4.5 in. Q.F. Howitzer, Land service, 1915 : Amend., id. ; .303 in. Lewis machine : Addendum; d.; .303 in. Vickers', and .303 in. and .303 in. converted Maxim : Amend., jd.; 18-pr. Q.F land service, 1915, Is. ; 4.7-inch Q.F. on travelling carriages. Land service, 1916, IS, 6d. WYMAN, Nov.15--Aug.<PAGE_NUM:12><DOCUMENT_PAGE_NUM:20> 16"
"Army-Magazines and care of war matériel, Rgns., 1913: Amend. Appen. 6, Rgns. for explosive stores generally, Jan. 16, id.; do. Amend., June, Nov., 1916, ea. id. WYMAN, Jan., June, Oct.,<PAGE_NUM:12><DOCUMENT_PAGE_NUM:20> 16"
"48. od. Askew (Alice and Claude)—The Stricken land : Atherton (Gertrude Franklin)--An Idyll of the Serbia as we saw it. 8vo. 9 X54, pp. 378, 10s. 6d. Redwoods : a romance of the modern time. net .NASH, July 16 Pop. ed. Cr. 8vo. 7X 4, pp. 192, is. net Askew (Alice and Claude)--- Testimony. 18mo. HEINEMANN, June<PAGE_NUM:14><DOCUMENT_PAGE_NUM:22> 16"
"bond investment business, 1915. Attica, Church of Kaisariani in, Hamilton WYMAN, Mar., June 16 (J. A.) Is.. Oct.<PAGE_NUM:14><DOCUMENT_PAGE_NUM:22> 16"
"Astell, Mary, Smith (F. M.) 6s. 6d. net . Aug. 16 Aubertin (C. J.)--A Caravan afloat. Svo. 81x5}, Asthma, Pathology and treatment of so-called pp. 155, 3s. 6d. net ...SIMPKIN, July<PAGE_NUM:14><DOCUMENT_PAGE_NUM:22> 16"
"Astrological birtlıday bk., Ogilvie's, Bernart (L.) Aubrey (W. H. S.)- In memoriam : W. H. S. Sep. 16 Aubrey, LL.D. : sone lectures and extracts Astrology : Stars of destiny, Craig (K. T.) 75. 60. from his writings. Comp. by his daughter. . Aug. 16 65 X 4, pp. 190, 25. 6. net ..i. :. STOCK, Oct.<PAGE_NUM:14><DOCUMENT_PAGE_NUM:22> 16"
