"W.) 3s. net May 17 Belgium, Invasion and War in, Essen (L. van der) Bee-plants and their honey, Grieve (M.) 6d. net ...May<PAGE_NUM:19><DOCUMENT_PAGE_NUM:27> 17"
"Beethoven, Rolland (R.) 25. 6d. net ......Feb. 17 Bell (F. Jeffrey) see under British Museum (N. H.) Before midnight, Mordaunt (E.) 6s. ..Feb.<PAGE_NUM:19><DOCUMENT_PAGE_NUM:27> 17"
"Botanic Garden (Royal), Edinburgh-Notes. Nos. 29-30 (Jan. 17), containing Title to Vol. 6 (Nos. 26–30, 1911-1917). IS. 6d. WYMAN, Mar.<PAGE_NUM:27><DOCUMENT_PAGE_NUM:35> 17"
"2nd ed. Cr. 8vo. swd. 35. net THACKER, Mar. 17 Caetani (Lconc) ed.-The Tujarib al-Uman. 75. Nov. <PAGE_NUM:35><DOCUMENT_PAGE_NUM:43>'17"
"Bywater, Ingram : memoir of an Oxford scholar, Calculus, Infinitesimal, Carey (F. S.) Sect. 1. 1840-1914, Jackson (W. W.) 7s. 6d. net Apr. 17 6s. net .. June<PAGE_NUM:35><DOCUMENT_PAGE_NUM:43>'17"
"“C.L.D."" See D. (C. L.) Calder (George) ed.-Auraicept Na N-Eces : “C. M."" See M. (C.) the scholars' primer : being the texts of the Cabala contained in Coptic guostic bks., Bond Ogham Tract from the Book of Ballyniote and (F. B.) and Lea (T. S.) 3s. 6d. net....Feb. 17 the Yellow Book of Lecan, and the text of the Cabbage, Late, fr. seed until larvest, &c., Reed Trefhocul from the Book of Leinster. With (E. N.) 6s. net .Nov. <PAGE_NUM:35><DOCUMENT_PAGE_NUM:43>'17"
"Cr. 8vo. swd. is. 3d. net HODDER & S., Feb. 17 Calkins (H. A.) see Curran (W. Tees) and Calkins. Cable (Boyd)-Grapes of wrath. Cr. 8vo. 71 x 5}, Call (T. 0.)-In a Belgian garden and other Pp. 276, 5s. net .SMITH, E., Mar.<PAGE_NUM:35><DOCUMENT_PAGE_NUM:43> 17"
"8vo. 8 X5 , pp. 80, 2s. 6d. net Carlisle, Truth about direct control in, Evens BLACKWELL, May 17 (G. B.) id. ..Aug. <PAGE_NUM:37><DOCUMENT_PAGE_NUM:45>'17"
"Education (Scotland)--Regulations, Sept. 17th, 1917, as to grants to school boards in respect of the medical treatment of necessitous school children during 1918. d. H.M. STATIONERY OFF., Sep. <PAGE_NUM:67><DOCUMENT_PAGE_NUM:75>'17"
"(B.) IS. 6d. net... .. June 17 Fitzwilliam Museum, McClean Bequest: Cata. of First Springbok prisoner in Germany, Doilsh (E.) early printed books, Sayle (C. E.) 155. net 28. net July <PAGE_NUM:77><DOCUMENT_PAGE_NUM:85>’17"
