entry,page_num,doc_page_num,main_entry,two_publishers,see,two_parentheses,net,ellipses,floaty_bits,begins_with_numbers
"A B C, Dolly's School, is · Aug. 08",1,13,False,False,False,False,False,False,False,False
"A B C Guide to Practice. Edit. by F. A. Stringer. Cr. 8vo. 58. net .SWEET & M., Oct. 08",1,13,True,False,False,False,False,False,False,False
"A. (J. o.) Resurrection Pie, 6d. net · June 08",1,13,False,False,False,False,False,False,False,False
"A. L. Bright Story Readers. Imp. 161o., ea. 5d., 4d. .E. J. ARNOLD, 08",1,13,False,False,False,False,False,False,False,False
"A. L. Carton Work, Judd (J. H.) 3s. net.. Dec. 08",1,13,False,False,False,False,False,False,False,False
"A.L. General Knowledge Cards, Gardiner (A. IS,.. . . Aug. 08",1,13,False,False,False,False,False,False,False,False
"A. L. Masterpieces of Standard Literature. Cr. Svo., ea. IS... E. J. ARNOLD, OS A. L. Pupils' Atlas, Gardiner (A.) is. 3d. net May 08",1,13,False,False,False,False,False,False,False,False
"A.L.O.E.-Beyond the Black Waters. Re-issue. Cr. 8vo. 71 X 5, pp. 248, IS... NELSON, Sep. os",1,13,True,False,False,False,False,False,False,False
"Aaron's Breastplate, Harris (J. R.) 25. 6d. net May o8",1,13,False,False,False,False,False,False,False,False
"Abattoirs, Public, Ayling (R.S.) 8s. 6d. net.Aug. 08",1,13,False,False,False,False,False,False,False,False
"Abba Father, Lowrie (W.) 45. 6d. net......Oct. 08",1,13,False,False,False,False,False,True,False,False
"Abbassia, Climate of, Keeling (B. F. E.) 35. net April 08",1,13,False,False,False,False,False,False,False,False
"Abbey Mystery, Gilchrist (R. M.) 6s. ....Aug. 08",1,13,False,False,False,False,False,False,False,False
"Abbeys of Eng., Greater, Gasquet (Abbot) 20s. net May 08",1,13,False,False,False,False,False,False,False,False
"Abbeys of Gt. Brit., Dixon (H. C.) 6s, net June 08",1,13,False,False,False,False,False,False,False,False
"Abbeys, Some Old Eng., Lang (E. M.) 28. 60. net .Mar. 08",1,13,False,False,False,False,False,False,False,False
"Abbot (C. G.) and Fowle (F. E.)--Annals of the Astrophysical Observatory of the Smithsonian Institution, Vol. 2. 29 plates. 4to., PP. 256, swd. 128. 6d, net.. WESLEY, May o& Abbot (Mrs. C. L.) — The Wanderer ; or, Leaves from the Life Story of a Physician. Cr. 8vo. 71 X41, pp. 260, 25. ......J. CLARKE, May 08",1,13,True,False,False,True,False,True,False,False
"Abbott (E. A.)- Indices to Diatessarica. With a Specimen of Research. 8vo. 29. 6d. net BLACK, Jan. 08",1,13,True,False,False,False,False,False,False,False
"Abbott (H. V.) Baker (F. T.) Eng. Composition, 38. 6d.... ..Oct, 08",1,13,False,False,False,True,False,False,False,False
"Abbott (J. H. M.)-Letters from Queer Street : Being some of the Correspondence of the late Mr. John Mason. 8vo. 8 X 5), pp. 324, 6s. BLACK, April 08",1,13,True,False,False,False,False,False,False,False
"Abbott (J. H. M.)-The South Seas : Melanesia. Illus. Cr. 8vo. 8 X5, pp. 90, is. 6d. net (Peeps at Many Lands) ...BLACK, Sep.08",1,13,True,False,False,True,False,False,False,False
"Abbott (Jacob)-Rollo at Work and Rollo at Play. 12mo., pp. 314, is. net; ithr., 25. net (Everymans Lib.) .DENT, Feb. 08",1,13,True,False,False,True,True,False,False,False
"Abbott (K. M.)--Old Paths and Legends of the New England Border. Illus. 8vo. 155. net PUTNAM, Jan. 08",1,13,True,False,False,False,False,False,False,False
"Abbott (Lyman)-Tlie Other Room. Cr. 8vo. 78 X 51, pp. 120, 25. 6d. net..MELROSE, May 08",1,13,True,False,False,False,False,False,False,False
