original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"Aborigines of S. America, Church (G. E.) ios, 6d. net. About Edmond)-L'Homine à l'oreille Cassée. Cr. 8vo., IS. 6d..... ...RIVINGTON, May 13",1,9,"Aborigines of S. America, Church (G. E.) ios, 6d. net.",About Edmond),L'Homine à l'oreille Cassée.,Cr. 8vo.,IS. 6d..... ...,RIVINGTONS,May 13,False,1913
"About (Edmond)--Le Nez d'un notaire. 12mo., pp. 252, Is, net. ......NELSON, Feb. 13",1,9,,About (Edmond),Le Nez d'un notaire.,12mo.,"pp. 252, Is, net. ......",NELSON,Feb. 13,False,1913
"Abbott (P.)-Exercises in arithmetic and mensu- ration. With diagrams. Cr. 8vo. 71 X41, pp. 534, 35. 6d. .LONGMANS, Oct. 13",1,9,,Abbott (P.),Exercises in arithmetic and mensu- ration. With diagrams.,Cr. 8vo.,"71 X41, pp. 534, 35. 6d. .",LONGMANS,Oct. 13,False,1913
"A B C fiscal handbook (The). 3rd edit. 8vo. 81 X5, pp. 262, Is, net FREE TRADE UNION, Jan. 13",1,9,,,A B C fiscal handbook (The). 3rd edit.,8vo.,"81 X5, pp. 262, Is, net",FREE TRADE UNION,Jan. 13,False,1913
"A B C guide to patents for inventors. 8vo. 25. 6d. net. BUTTERWORTH, Apr. 13",1,9,,,A B C guide to patents for inventors.,8vo.,25. 6d. net.,BUTTERWORTH,Apr. 13,False,1913
"Abercrombie (Lascelles) --Speculative dialogues Cr. 8vo. 73 X5, pp. 204, 5s. net M. SOCKER, Oct. 13",1,9,,Abercrombie (Lascelles),Speculative dialogues,Cr. 8vo.,"73 X5, pp. 204, 5s. net",M. SECKER,Oct. 13,False,1913
"Abney (Sir William de W.)-Researches in colour vision and the trichromatic theory. 8vo. 9X58, pp. 432, 213, net....LONGMANS, Jan. 13",1,9,,Abney (Sir William de W.),Researches in colour vision and the trichromatic theory.,8vo.,"9X58, pp. 432, 213, net....",LONGMANS,Jan. 13,False,1913
"Abraham (Ashley P.)-Some portraits of the Lake poets and their honies. Illus. Ryl. 8vo. 94 X6, pp. 56, bds. 35. 6d. net SIMPKIN, Aug. 13",1,9,,Abraham (Ashley P.),Some portraits of the Lake poets and their honies. Illus.,Ryl. 8vo.,"94 X6, pp. 56, bds. 35. 6d. net",SIMPKIN,Aug. 13,False,1913
"Abraham (George D.)-Motor ways in lakeland. 8vo. 9 X5), pp. 320, 7s. 6d. net METHUEN, Aug. 13",1,9,,Abraham (George D.),Motor ways in lakeland.,8vo.,"9 X5), pp. 320, 7s. 6d. net",METHUEN,Aug. 13,False,1913
"Abraham (J. Johnston)-The Surgeon's log : impressions of the Far Fast. Re-issue. Cr. 8vo. 74 X5, pp. 316, 25. 6d. net CHAPMAN & H., June 13",1,9,,Abraham (J. Johnston),The Surgeon's log : impressions of the Far Fast. Re-issue.,Cr. 8vo.,"74 X5, pp. 316, 25. 6d. net",CHAPMAN & H.,June 13,False,1913
"Abraham (K.)—Steam economy in the sugar factory. Trans. from the German edit. by E. J. Bayle. Cr. 8vo., 6s. 6d. net CHAPMAN & H., Jan, 13",1,9,,Abraham (K.),Steam economy in the sugar factory. Trans. from the German edit. by E. J. Bayle.,Cr. 8vo.,6s. 6d. net,CHAPMAN & H.,Jan. 13,False,1913
"Abramowski (O. L. M.)— Eating for health. 3rd edit. Cr. 8vo., 38. 6d. net W. SCOTT, Aug. 13",1,9,,Abramowski (O. L. M.),Eating for health. 3rd edit.,Cr. 8vo.,38. 6d. net,W. SCOTT,Aug. 13,False,1913
"Academy Architecture and Architectural Review, 1913. Vol. 43. Edit. by Alex. Koch. 4to. 45. rod. net, swd. 45. net.. SIMPKIN, June 13",1,9,,,"Academy Architecture and Architectural Review, 1913. Vol. 43. Edit. by Alex. Koch.",4to.,"45. rod. net, swd. 45. net..",SIMPKIN,June 13,False,1913
"Accountancy for retail traders, Wood (D.) 25. 6d. net... Accountants' (Incorporated) Year book. 8vo. 71 x 41, pp. 782, 25. ...SOCIETY, Oct. 13",1,9,,,"Accountancy for retail traders, Wood (D.) 25. 6d. net... Accountants' (Incorporated) Year book.",8vo.,"71 x 41, pp. 782, 25. ...",SOCIETY,Oct. 13,False,1913
"Accountants (Institute of Chartered) in England and Wales.-List of members, 1913, Royal Charter, and bye-laws. 8vo. 71 X 5, pp. 780, 25. GEE, Oct. 13",1,9,,,"Accountants (Institute of Chartered) in England and Wales.-List of members, 1913, Royal Charter, and bye-laws.",8vo.,"71 X 5, pp. 780, 25.",GEE,Oct. 13,False,1913
"A. L.-School temperature register, No. 3. 8d, net .E. J. ARNOLD, Jan. 13",1,9,,A. L.,"School temperature register, No. 3.",,"8d, net .",E. ARNOLD,Jan. 13,False,1913
"Abbott (Edwin A.)--The Fourfold gospel. Section 1, Introduction. 8vo. 9 X5), pp. 194, 25. 6d. net CAMB. UNIV. PRESS, July 13",1,9,,Abbott (Edwin A.),"The Fourfold gospel. Section 1, Introduction.",8vo.,"9 X5), pp. 194, 25. 6d. net",CAMB. UNIV. PR.,July 13,False,1913
"Abbott (Edwin A.)-Miscellanea evangelica (1). Demy 8vo., pp. 108, 23. net CAMB, UNIV. PRESS, Oct. 13",1,9,,Abbott (Edwin A.),Miscellanea evangelica (1).,Demy 8vo.,"pp. 108, 23. net",CAMB. UNIV. PR.,Oct. 13,False,1913
"Abelard et Héloise, Lettres amoureuses d'. IS. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",1,9,,,"Abelard et Héloise, Lettres amoureuses d'.",,IS. net,FROWDE,Apr. 13,False,1913
"Abelson (J.)- Jewish mysticism. Cr. 8vo. 7} X41, pp. 194, 2s. 6d. net (The Quest ser.) BELL, Nov. 13",1,9,,Abelson (J.),Jewish mysticism.,Cr. 8vo.,"7} X41, pp. 194, 2s. 6d. net (The Quest ser.)",BELL,Nov. 13,False,1913
"Acheson (Arthur)-Mistress Davenant : the Dark Lady of Shakespeare's Sonnets. 8vo., pp. 332, 1os. 6d. net........ QUARITCH, Feb. 13",2,10,,Acheson (Arthur),Mistress Davenant : the Dark Lady of Shakespeare's Sonnets.,8vo.,"pp. 332, 1os. 6d. net........",QUARITCH,Feb. 13,False,1913
"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id. (post free)..........WYMAN, Mar. 13",2,10,,,"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id.",,(post free)..........,WYMAN,Mar. 13,False,1913
"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 25. id. WYMAN, July 13",2,10,,,"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 25. id.",,,WYMAN,July 13,False,1913
"Achard (Amédée)-Récits d'un soldat. 12mo., pp. 278, is, net.. ...NELSON, Nov. 13",2,10,,Achard (Amédée),Récits d'un soldat.,12mo.,"pp. 278, is, net..",NELSON,Nov. 13,False,1913
"Acker (Paul)-Le Désir de vivre. 12mo., pp. 278, IS. net . . NELSON, Dec. 13",2,10,,Acker (Paul),Le Désir de vivre.,12mo.,"pp. 278, IS. net . .",NELSON,Dec. 13,False,1913
"Ackermann (Jessie) - Australia from a woman's point of view. Cr. 73 X5, pp. 332, 6s. CASSELL, Oct. 13",2,10,,Ackermann (Jessie),Australia from a woman's point of view.,Cr.,"73 X5, pp. 332, 6s.",CASSELL,Oct. 13,False,1913
"Ack worth (John)— The Partners. Cheaper re- issue. Cr. 8vo., pp. 318, 25. net R. CULLEY, May 13",2,10,,Ack worth (John),The Partners. Cheaper re- issue.,Cr. 8vo.,"pp. 318, 25. net",R. CULLEY,May 13,False,1913
"Acland (Hon. Lady)--Plain words to mothers : outline addresses for speakers. 12mo., pp. 64, is. net.. GARDNER, D., May 13",2,10,,Acland (Hon. Lady),Plain words to mothers : outline addresses for speakers.,12mo.,"pp. 64, is. net..","GARDNER, D.",May 13,False,1913
"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",2,10,,Iddesleigh (Earl of),"Acrostics, Anthology and,",,,,Jan. 13,False,1913
"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",2,10,,Jourdain (P.E.B. -,"Action, Principle of least,",,,,,False,1913
"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",2,10,,,"Army’act, rev. to 1913, 1s...",,,,Oct. 13,False,1913
"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",2,10,,Acton (Lord),"Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul.",8vo.,"91 x 51, pp. 288, ios, net..",MACMILLAN,Feb. 13,False,1913
"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id. (post free) WYMAN, Mar. 13",2,10,,,"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id.",,(post free),WYMAN,Mar. 13,False,1913
"Acts, 1913-Appropriation, id. ; Clerks of Session (Scot.) regulations, d.; Pensions (governors of Dominions, &c.), įd.; Pilotage, 4d. ; Railway and canal traffic, įd.; Sheriff Courts (Scot.), i}d.; Shops, įd. ; Trade Union, iļd. ; Tuberculosis prevention (Ireland), id. WYMAN, Mar. 13",2,10,,,"Acts, 1913-Appropriation, id. ; Clerks of Session (Scot.) regulations, d.; Pensions (governors of Dominions, &c.), įd.; Pilotage, 4d. ; Railway and canal traffic, įd.; Sheriff Courts (Scot.), i}d.; Shops, įd. ; Trade Union, iļd. ; Tuberculosis prevention (Ireland), id.",,,WYMAN,Mar. 13,False,1913
"Acts, 1913-Land drainage (Braithwaite Moss) provisional order confirmation, 3d. WYMAN, Mar. 13",2,10,,,"Acts, 1913-Land drainage (Braithwaite Moss) provisional order confirmation, 3d.",,,WYMAN,Mar. 13,False,1913
