. А Oct.'19
55. net
". id. ; Acids, alkalis and salts, Adlam (G. H. J.) 25. 6d. net .Dec. '19"
"8vo. pp. Harbour, 6d.; Plumptre Hospital charity scheme, 9d.; Rotherham Corporation, bd.; Scottish Widows' Fund, 6d.; Stourport gas, 25. 6d. ; Sunderland gas, 3s. 60.; Tramways orders, 35. 3d.; Tyne improvement, 3d. ; Victoria Infirmary of Glasgow Act, 1888 (amend.), 6d.; Wells Parti Baptist and Congregational Chapels charities scheme, gd. H.M. STATIONERY OFF., Oct. '19"
"1919. (Corrected to Jan. 1, 1919) Admiralty-Hydrographic. POTTER, May '19"
"1915: Rev. supp. (2), 1918. Pt. III, 1914 : Rev. Admiralty-Hydrographic. Distance tables. supp. (2), 1918 .POTTER, Nov. '18"
"supp. (3), 1919 .POTTER, Mar. '19"
"net. ..J. D. POTTER, July '19"
"1911: Suppi. no. 5, 1919 J. D. POTTER, July 19"
"1918.) Pt. I, British Islands, Is. 6d. ; Pt. 2, Admiralty—Hydrographic. Tide tables. Abrid- North and Arctic Seas except the British ged ed. Part 1, Tidal predictions for standard Islands. (Eastern Shores of the North Sea, ports in Europe for 1919 with tidal differences Norway, the White Sca, Iceland, and the on the standard ports; Part 2, The Time of Faroes), 25. 6d.; Pt. 3, Baltic Sea, with high water on full and change days with the Kattegat, Belts and Sound, 2s. ; Pt. 4, Eastern rise of the tide at Springs and Neaps for the side of North and South Atlantic Ocean, principal ports, &c., in Europe. 25. South of Dunkerque. (Western Coasts of POTTER, May '19"
"is. 6d. ; Pt. 6, Indian and West Pacific Oceans, (South and East Africa, India, East Indies, Admiralty_Hydrographic. United States (East China, Japan, Australia, New Zealand, and coast) pilot, Pt. 1, 1909 : Rev. suppl. (3), 1918. West Pacific Islands), 25. ; Pt. 7, Western side Pt. 2, 1909 : Rev. suppl. (3), 1918 of South Atlantic Ocean and East Pacific POTTER, Jan., Feb. '19"
"5th ed., 5s. ..POTTER, Mar. '19 Admiralty-Navigation, Admiralty manual of Admiralty-Hydrographic. Mediterranean pilot. H.M. STATIONERY OFFICE, Aug. '19"
"28. Admiralty--Physical training handbook. Vol. 2, 1910. Repr., 1918. H.M. STATIONERY OFF., Jan. ’19"
