"(Orpington : “ The Maples,” Goddington Lane) J. ABBEY, Jan. '18"
"id ; Acts--Public General Acts, 1917-18, w. index, tables, titles of the local and Private Acts, &c. 3s. .H.M. STATIONERY OFF., July '18"
"6d. ; Acts--Consolidated Fund (No. 2), id.; Defence of the Realm (Beans, peas, and pulse Orders), Id.; Horse breeding, id. HM. STATIONERY OFF., July '18"
. 60. ;
".... Pt. I, Adams (Prof. John) ed.--The New teaching. 8vo. 81 x 54, pp. 435, 10s. 6d. net HODDER & S., Aug. '18"
", 3s. 6d. IS. 6d. East Pacific Islands), is. ; Pt. 8, Western side of North Atlantic Ocean (Canada, Newfound- land, and Labrador), is. Áll. ; l't. 9, do. (United States of America, Gulf of Mexico, West Indies, an North coast of South America to Cape Orange), is. 60. POTTER, Jan., Feb. '18"
"id. ........H.M. STATIONERY OFF., Oct. '18"
"35s, not"
"net (A) 55 Aeroplane is built, How an, Blakeney (S.) 5s. net May '18"
"duroplan , Military, Loening (G. C.) 215, nit Jan. '18"
"agn » tici mt, Cliri tianity, my cunver ien iren, 1 hornton (G.) re.net . Jan. 'is Agresti (Antonio) see Zimmern (H.) and Agresti. xriciltural alınanac, dog lin.un's, 191*. 1. od. Jan. '18"
. IS. . IS. IS.
"55. net t ! innan ra i m, 55. net net"
"as ALICE'S Alice's adventures in wonderland, Carroll (L.) Illus. by M. W. Tarrant. 6s. net....Aug. '18"
"murid, ruici law lil, Delciupmunt of, hinney (J. P.) IIS. O. n. t. Mar. '18"
"5s, net . . . . . ."
"25. Vol. 23. . Sep.' * Anne Angell (Norman)-The Political conditions of Allied success : a plea for the protective union of the democracies. 71 X 5, pp. 379, 75. 6d. net . . PUTNAM, Aug. '18"
"'Anna Karenina, Tolstoy (L.) (Maude) 2 vols. ea. IS. 9d., 35 6d. net .Sep.'18"
"i...13. We, as yet tau. Hideratuit. Archaeology, Egyptian, Jl. of. See under Egyptian Archaeology. See also Archaeological. . . Aug '18"
ايده
"a ARCHBISHOPS' Archbishops' ctte. on Church and State, Pop. guide to Report, Austen (W. A. E.) and Kelway (A. C.) id. net .. July '18"
"dr.thmetic, T. (nsvaal. Pupil's ser. Bks. I and 2, ea. 60. Teacher's ser. Bk. 1, Is. 4d. ; Bk. 2, Is. 6d. .Nov. '18"
"i menian MSS. in Bodleian Library, Cata. of : Catalogi Codd. MSS. Bibliothecae Bodlianae tars xiv, Baronian (S.) and Conybeare (F. C.) 305. ntt Feb. '18"
"ea IS. 25. Army-Cooking and dietary, Military, Manual of, 60. H.M. STATIONERY OFF., Oct. '18"
5s. net
"s in a looking glass, Philips (F. C.) is. 3d. net July '18"
45. net 5s. net 8vo. Pp.
.::Apr. '18
"m. Australasia, World and (geog.), Howarth (O. J.R.) 45. . May '18"
2s. . Apr. '18
"a : "" Bachelor of Arts ""--Pedagomania. 4s. 6d. net Nov. '18"
148. pet...
"3s. net Barker (Truest)--Mothers and sons in war time, and other pieces. New and enl. et. Cr. 8vo. 77 x 54, pp. in, 3s. 6a. net HUMPHREYS, Nov. '18"
* • ) an
