original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"A was an archer. Illus. by D. Pailthorpe. 4to. swd. 2s. net .HARRAP, Mar. '20",1,9,,,A was an archer. Illus. by D. Pailthorpe.,4to.,swd. 2s. net .,HARRAP,Mar. 20,False,1920
"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege. Ryl. 8vo. 94 x 61, pp. 1,542, 40s. net EDEN FISHER, Mar. '20",1,9,,,"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege.",Ryl. 8vo.,"94 x 61, pp. 1,542, 40s. net",EDEN FISHER,Mar. 20,False,1920
"Aaland Islands, Question of the : Reference to the League of Nations. 2d. net H.M.S.O., Aug. '20",1,9,,,"Aaland Islands, Question of the : Reference to the League of Nations.",,2d. net,H.M. STATIONERY OFF.,Aug. 20,False,1920
"Abbay (R., Rev. Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes. 8vo. 81 x 54, pp. 35, swd. Is. net HARRISON, June'20",1,9,,"Abbay (R., Rev.","Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes.",8vo.,"81 x 54, pp. 35, swd. Is. net",HARRISON,June 20,False,1920
"Abbott (Anstice) A Girl widow's romance : a tale of Indian life. Forew. by Rev. C. Askwith. Cr. 8vo. 71 X 5, pp. 125, 25. 6d. net R.T.S., Oct. '20",1,9,,Abbott (Anstice),A Girl widow's romance : a tale of Indian life. Forew. by Rev. C. Askwith.,Cr. 8vo.,"71 X 5, pp. 125, 25. 6d. net",R.T.S.,Oct. 20,False,1920
"Abbott (Claude C.) trans.—Nine songs from the 12th century French. 10 X 6, pp. 16, 25. CHELSEA BOOK CLUB, Aug.'20",1,9,,Abbott (Claude C.),trans.—Nine songs from the 12th century French.,,"10 X 6, pp. 16, 25.",CHELSEA BOOK CLUB,Aug. 20,False,1920
"Abbott (E. C.) English composition : based on observation and general reading. Cr. 8vo. 71 x 44, pp. 228, 4s. 6d. net BELL, Aug. '20",1,9,,Abbott (E. C.),English composition : based on observation and general reading.,Cr. 8vo.,"71 x 44, pp. 228, 4s. 6d. net",BELL,Aug. 20,False,1920
"Abbot (E. C.)Scientific history of the world. In 3 parts. Part 1, to 1485. Cr. 8vo. 7.X 44, pp. 415, 4s. 6d. net ..BELL, June'20",1,9,,Abbot (E. C.),"Scientific history of the world. In 3 parts. Part 1, to 1485.",Cr. 8vo.,"7.X 44, pp. 415, 4s. 6d. net ..",BELL,June 20,False,1920
"Abbott (Jane D.)-Happy house. Cr. 8vo. 78. net LIPPINCOTT, Sep. 20",1,9,,Abbott (Jane D.),Happy house.,Cr. 8vo.,78. net,LIPPINCOTT,Sep. 20,False,1920
"Abbott (Jane D.)-Larkspur. Illus. by Harriet R. Richards. Cr. 8vo. 7*5, pp. 261, 6s. net LIPPINCOTT, June'20",1,9,,Abbott (Jane D.),Larkspur. Illus. by Harriet R. Richards.,Cr. 8vo.,"7*5, pp. 261, 6s. net",LIPPINCOTT,June 20,False,1920
"Abbott (Norman)-Let nothing you dismay, and other verses. 18mo. 2s, 6d. net JARROLDS, Sep. '20",1,9,,Abbott (Norman),"Let nothing you dismay, and other verses.",18mo.,"2s, 6d. net",JARROLD,Sep. 20,False,1920
"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation. Cr. 8vo. 7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.) MARLBOROUGH, July'20",1,9,,Abdul Majid,"Malay self-taught by the Natural method, with phonetic pronunciation.",Cr. 8vo.,"7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.)",MARLBOROUGH,July 20,False,1920
"Abott (G. F.)-A Record of Sir John Finch's Embassy, 1674-1681 : under the Turk in Constantinople. With a foreword by Viscount Bryce, O.M. Ryl. 8vo. 97 x6, pp. 433, 18s. net ..MACMILLAN, Oct. '20",1,9,,Abott (G. F.),"A Record of Sir John Finch's Embassy, 1674-1681 : under the Turk in Constantinople. With a foreword by Viscount Bryce, O.M.",Ryl. 8vo.,"97 x6, pp. 433, 18s. net ..",MACMILLAN,Oct. 20,False,1920
"Abrahamian (Abel, Rt. Rev. Dr.)-The Church and faith of Armenia. Pref. by The Lord Bishop of Gloucester. Cr. 8vo. 71 x 5 swd., pp. 75, Is. 6d..... ..FAITH PR., June 20",1,9,,"Abrahamian (Abel, Rt. Rev. Dr.)",The Church and faith of Armenia. Pref. by The Lord Bishop of Gloucester.,Cr. 8vo.,"71 x 5 swd., pp. 75, Is. 6d.",FAITH PR.,June 20,False,1920
"Abrahams (Israel) —Poetry and religion. With foreword by Sir Arthur Quiller-Couch. 18mo. 64 X4, pp. 81, 2s, 6d net; swd. is, net ALLEN & U., Oct. '20",1,9,,Abrahams (Israel),Poetry and religion. With foreword by Sir Arthur Quiller-Couch.,18mo.,"64 X4, pp. 81, 2s, 6d net; swd. is, net",ALLEN & U.,Oct. 20,False,1920
"Abthorne (John)-Opinions on the arts and living. Cr. 8vo. 74 X5, pp. 301, 6s. net HEINEMANN, Oct. '20",1,9,,Abthorne (John),Opinions on the arts and living.,Cr. 8vo.,"74 X5, pp. 301, 6s. net",HEINEMANN,Oct. 20,False,1920
"Acadomy architecture. Vol. 51, 1920. Ryl. 8vo. bds. ios. ; swd. 7s. 6d. net. BATSFORD, Sep. '20",1,9,,,"Acadomy architecture. Vol. 51, 1920.",Ryl. 8vo.,bds. ios. ; swd. 7s. 6d. net.,BATSFORD,Sep. 20,False,1920
"Academy (Royal). See Royal Academy. Accidents, Street, caused by Vehicles : Return, 1919. id... ...H.M.S.O., Mar.'20",1,9,,,"Academy (Royal). See Royal Academy. Accidents, Street, caused by Vehicles : Return, 1919. id...",,,H.M. STATIONERY OFF.,Mar. 20,False,1920
"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws. 77X5, pp. 534, 25. 6d. SOCIETY, Apr. '20",1,9,,,"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws.",,"77X5, pp. 534, 25. 6d.",SOCIETY,Apr. 20,False,1920
"Accounts (Public) Ctte.--First, second, and third reports ; with proceedings, minutes of evidence and appendices. 38. 6d. net H.M.S.O., Sep. '20",1,9,,,"Accounts (Public) Ctte.--First, second, and third reports ; with proceedings, minutes of evidence and appendices.",,38. 6d. net,H.M. STATIONERY OFF.,Sep. 20,False,1920
"Ack worth cousins : a comedietta of a friendly character in two scenes. By D. and M. Cr. 8vo. swd. is. net ....SWARTHMORE PR., Apr. 20",2,10,,,Ack worth cousins : a comedietta of a friendly character in two scenes. By D. and M.,Cr. 8vo.,swd. is. net ....,SWARTHMORE PR.,Apr. 20,False,1920
"Acland (Alice C.)-Hum Esquire: a queer story for children. Cr. 8vo. 74 x5, pp. 167, 45. 60. net SIDGWICK & J., Oct. '20",2,10,,Acland (Alice C.),Hum Esquire: a queer story for children.,Cr. 8vo.,"74 x5, pp. 167, 45. 60. net",SIDGWICK & J.,Oct. 20,False,1920
"Acts-Public General Acts, 1919. 6s. net H.M.S.O., Aug. '20",2,10,,,"Acts-Public General Acts, 1919.",,6s. net,H.M. STATIONERY OFF.,Aug. 20,False,1920
"Acts—Index to the Public General Acts, 1919. gd, net.. ..H.M.S.O., July '20",2,10,,,"Acts—Index to the Public General Acts, 1919.",,"gd, net..",H.M. STATIONERY OFF.,July 20,False,1920
"Acts—Local and private Acts, 1919 : with index. 8vo. 4s. net. .H.M.S.O., Aug. '20",2,10,,,"Acts—Local and private Acts, 1919 : with index.",8vo.,4s. net. .,H.M. STATIONERY OFF.,Aug. 20,False,1920
