original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,flagged,catalogue_year
"A B C Motor, marine, and aircraft guide, 1920 OFFICE, Apr. '19",1,13,,,"A B C Motor, marine, and aircraft guide, 1920",,,OFFICE,Apr. 19,False,1919
"A B C of common birds (An). 18mo. 4×34, pp. 64, swd. 6d. .R.S.P.B., July '19",1,13,,,A B C of common birds (An).,18mo.,"4×34, pp. 64, swd. 6d. .",R.S.P.B.,July 19,False,1919
"A B C of etiquette (The). Cr. 8vo. 4×31, pp. 28, swd. is. net ..HARNDEN, Oct. '19",1,13,,,A B C of etiquette (The).,Cr. 8vo.,"4×31, pp. 28, swd. is. net ..",HARNDEN,Oct. 19,False,1919
"""A. L."" Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring. Cr. 8vo. 7×5, pp. 22, swd. 3d. net...(Leeds) E. J. ARNOLD, July '19",1,13,,A. L.,Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring.,Cr. 8vo.,"7×5, pp. 22, swd. 3d. net...",(Leeds) E. J. ARNOLD,July 19,False,1919
"""A. L."" Print-writing copy books (The), No. 3 4to. 8x64, pp. 24, swd. 3d. net (Leeds) E. J. ARNOLD, July '19",1,13,,,"""A. L."" Print-writing copy books (The), No. 3",4to.,"8x64, pp. 24, swd. 3d. net (Leeds)",E. ARNOLD,July 19,False,1919
"Abbot (Jane)-Keineth. Illus. by Harriet Roose- velt Richards. 5s. net..LIPPINCOTT, Mar. '19",1,13,,Abbot (Jane),Keineth. Illus. by Harriet Roose- velt Richards.,,5s. net.,LIPPINCOTT,Mar. 19,False,1919
"Abbott (Eleanor Hallowell)-Love and Mrs. Kendrur. Cr. 8vo. 7 X4, pp. 116, 2s. net HEINEMANN, Oct. '19",1,13,,Abbott (Eleanor Hallowell),Love and Mrs. Kendrur.,Cr. 8vo.,"7 X4, pp. 116, 2s. net",HEINEMANN,Oct. 19,False,1919
"Abbott (Eleanor Hallowell)-The Ne'er-do-much. Cr. 8vo. 7×5, pp. 156, 5s. net HODDER, July '19",1,13,,Abbott (Eleanor Hallowell),The Ne'er-do-much.,Cr. 8vo.,"7×5, pp. 156, 5s. net",HODDER,July 19,False,1919
"Abbott (Wilbur C.)-Colonel John Scott of Long Island. 8vo. 5s. 6d. net (Yale Univ. Pr.) MILFORD, Oct. '19",1,13,,Abbott (Wilbur C.),Colonel John Scott of Long Island.,8vo.,5s. 6d. net (Yale Univ. Pr.),MILFORD,Oct. 19,False,1919
"Abbott (Wilbur Cortez)-The Expansion of Europe: a history of the foundations of the modern world. 2 vols. 8vo. 9 × 54, pp. 476, 30s. net BELL, Sep.'19",1,13,,Abbott (Wilbur Cortez),The Expansion of Europe: a history of the foundations of the modern world. 2 vols.,8vo.,"9 × 54, pp. 476, 30s. net",BELL,Sep. 19,False,1919
"Abdullah (Achmed)-The Honourable Gentlemen and others. Cr. 8vo. 7× 5, pp. 262, 6s. net PUTNAM, Dec. '19",1,13,,Abdullah (Achmed),The Honourable Gentlemen and others.,Cr. 8vo.,"7× 5, pp. 262, 6s. net",PUTNAM,Dec. 19,False,1919
"About (Edmond)—The Twins. Trans. by C. W. Bell. 16mo. 6×4, pp. 126, swd. Is. 6d. net (""Harrap's Bilingual ser: French) HARRAP, Dec. '19",1,13,,About (Edmond),The Twins. Trans. by C. W. Bell.,16mo.,"6×4, pp. 126, swd. Is. 6d. net (""Harrap's Bilingual ser: French)",HARRAP,Dec. 19,False,1919
