entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",,,A B C guide to the practice of the Supreme Court,SWEET & M.,8s. 6d.,,"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",,,,Oct. '22,1922,net
"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",,,A B C or alphabetical railway guide,OFFICE,,,"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",,,,"Jan., etc., '22",1922,
"A. E. See E. (A.) Aaland 1slands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",,,A. E. See E. (A.) Aaland,H.M.S.O.,6d.,,"A. E. See E. (A.) Aaland Islands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",,,,June '22,1922,net
"Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 7s. 6d. net......LIPPINCOTT, Dec. '22",,,Abbott_(Jane)-Red-Robin,LIPPINCOTT,7s. 6d.,"8vo,","Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 75. 6d. net......LIPPINCOTT, Dec. '22",,,,Dec. '22,1922,net
"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",,,Abhinava Gupta-Malinivijaya Varttikam,PROBSTHAIN,,8vo.,"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",,,,Mar. '22,1922,
"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 12s. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",,,Abhinava Gupta-The Tantraloka,PROBSTHAIN,,8vo.,"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 125. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",,,,Mar.'22,1922,
"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",,,"Abrasive wheels, Use of (Home Office Safety pamphlet",H.M.S.O.,,,"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",,,,Nov. '22,1922,
"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 3s. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",,,Yearbook,OFFICE,3s.,,"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 35. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",,"['Accountants', 'Auditors (Soc. of Incorporated)']",,Mar. '22,1922,
"2d. ; The woman. the AC Acharya (Sri Ananda)—Kalkaram: letters and poems of spiritual love and peace. Portrait. 8vo., pp. 524, 16s. net PROBSTHAIN, May'22",,,,PROBSTHAIN,16s.,8vo.,"2d. ; The woman. the AC Acharya (Sri Ananda)—Kalkaram: letters and poems of spiritual love and peace. Portrait. 8vo., pp. 524, 16s. net PROBSTHAIN, May'22",,,,May'22,1922,net
"Acts of Parliament-Local and private Acts passed in the with and 12th years of the reign of H.M. King George V. ; with index. 3s. 6d. net ...H.M.S.O., 1922 Acts (Public General) —Table showing effect of the Acts passed in the with and 12th years of the reign of H.M. George V. s, 6d. net. H.M.S.O., Apr. '22",,,Acts of Parliament-Local and private Acts passed in the with and,H.M.S.O.,6d.,,"Acts of Parliament-Local and private Acts passed in the with and 12th years of the reign of H.M. King George V. ; with index. 35. 6d. net ...H.M.S.O., 1922 Acts (Public General) —Table showing effect of the Acts passed in the with and 12th years of the reign of H.M. George V. IS, 6d. net. H.M.S.O., Apr. '22",,,,Apr. '22,1922,net
"Acts of Parliament-Local and private. Church of Scotland (general trustees) order, iis. net; Dorward's House of Refuge (Montrose) order, s.; Edinburgh Corporation order, 2s. 3d. ; Greenock Corporation order, 2s.; Perth Cor- poration (waterworks, &c.) order, 2s. 3d. net H.M.S.O., Jan. '22",,,Acts of Parliament-Local and private,H.M.S.O.,2s. 3d.,,"Acts of Parliament-Local and private. Church of Scotland (general trustees) order, iis. net; Dorward's House of Refuge (Montrose) order, IS.; Edinburgh Corporation order, 25. 3d. ; Greenock Corporation order, 25.; Perth Cor- poration (waterworks, &c.) order, 2s. 3d. net H.M.S.O., Jan. '22",,,,Jan. '22,1922,net
"Acts of Parliament-Oban Burgh order, 6d.; East Lothian County buildings order, 6d.; Dundee Corporation order, is. ód. net H.M.S.O., Jan.'22",,,Acts of Parliament-Oban Burgh order,H.M.S.O.,,,"Acts of Parliament-Oban Burgh order, 6d.; East Lothian County buildings order, 6d.; Dundee Corporation order, is. ód. net H.M.S.O., Jan.'22",,,,Jan.'22,1922,
"Acts of Parliament--Local and private. Liverpool Corporation, 378. net......H.M.S.O., Feb. '22",,,Acts of Parliament--Local and private,H.M.S.O.,,,"Acts of Parliament--Local and private. Liverpool Corporation, 378. net......H.M.S.O., Feb. '22",,,,Feb. '22,1922,
"Acts of Parliament-Army and Air Force (annual) 3d. ; East India loans, 2d.; Kenya divorces (validity), 2d... ..H.M.S.O., Apr. '22",,,Acts of Parliament-Army and Air Force (annual),H.M.S.O.,2d.,,"Acts of Parliament-Army and Air Force (annual) 3d. ; East India loans, 2d.; Kenya divorces (validity), 2d... ..H.M.S.O., Apr. '22",,,,Apr. '22,1922,
"Acts of Parliament- Public General Acts, 1921. 8vo, 6s, net .H.M.S.O., A pr. '22",,,Acts of Parliament- Public General Acts,H.M.S.O.,6s.,"8vo,","Acts of Parliament- Public General Acts, 1921. 8vo, 6s, net .H.M.S.O., A pr. '22",,,,A pr. '22,1922,net
"Acts of Parliament-Public general acts passed in the uth and 12th years of the reign of H.M. George V: Table showing the effect on the. s. Od. net. H.M.S.O., May'22",,,Acts of Parliament-Public general acts passed in the uth and,H.M.S.O.,,,"Acts of Parliament-Public general acts passed in the uth and 12th years of the reign of H.M. George V: Table showing the effect on the. IS. Od. net. H.M.S.O., May'22",,,,May'22,1922,
"Acts of Parliament-Empire settlement, 2d, ; Juries, 3d.; Representation of the people, 2d. net.... ....H.M.S.O., June '22",,,Acts of Parliament-Empire settlement,H.M.S.O.,2d.,,"Acts of Parliament-Empire settlement, 2d, ; Juries, 3d.; Representation of the people, 2d. net.... ....H.M.S.O., June '22",,,,June '22,1922,net
"Acts of Parliament: Local and private. Madras Railway annuities. 6d. net H.M.S.O., June '22",,,Acts of Parliament: Local and private,H.M.S.O.,6d.,,"Acts of Parliament: Local and private. Madras Railway annuities. 6d. net H.M.S.O., June '22",,,,June '22,1922,net
"Acts of Parliament-Local and private. Milford docks. ed. net .H.M.S.O., June '22",,,Acts of Parliament-Local and private,H.M.S.O.,,,"Acts of Parliament-Local and private. Milford docks. ed. net .H.M.S.O., June '22",,,,June '22,1922,
