,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
3949,"Lieutenant and others (The) By Sapper. Cr. 8vo. 71 x 5, pp. 184, is. net HODDER & S., Dec. 15",,,Lieutenant and others (The) By Sapper,HODDER & S.,,0.0,8vo.,"Lieutenant and others (The) By Sapper. Cr. 8vo. 71 x 5, pp. 184, is. net HODDER & S., Dec. 15",,,,Dec. 15,
3950,"Light car manual : guide to economical motoring 2nd ed., rev. 74 X5, pp. 208, is. 6d. net TEMPLE PR., Sep. 15",,,Light car manual : guide to economical motoring,TEMPLE PR.,6d.,0.025,,"Light car manual : guide to economical motoring 2nd ed., rev. 74 X5, pp. 208, is. 6d. net TEMPLE PR., Sep. 15",,,,Sep. 15,net
3951,"Light cars and cyclecars of 191s. Cr. 8vo. swd 6d. net . TEMPLE PRESS, Feb. 15",,,Light cars and cyclecars of,TEMPLE PRESS,6d.,0.025,8vo.,"Light cars and cyclecars of 1915. Cr. 8vo. swd 6d. net . TEMPLE PRESS, Feb. 15",,,,Feb. 15,net
3952,"Light in the Home Annual. s. R.T.S., Aug. 15",,,Light in the Home Annual,R.T.S.,,0.0,,"Light in the Home Annual. IS. R.T.S., Aug. 15",,,,Aug. 15,
3964,"Little Animals' Friend, 191s. Cr. 8vo. 8d. net BELL, Oct. 15",,,Little Animals' Friend,BELL,8d.,0.03333333333333333,8vo.,"Little Animals' Friend, 1915. Cr. 8vo. 8d. net BELL, Oct. 15",,,,Oct. 15,net
3965,"Little bk.. for those who mourn, Carnegy (M.) 1s. 6d. 28. 6d. net Little book of life and death. Cheaper edit, 12mo. swd, is net .METHUEN, Feb. 15",,,Little bk,METHUEN,,0.0,12mo.,"Little bk.. for those who mourn, Carnegy (M.) Is. 6d. 28. 6d. net Little book of life and death. Cheaper edit, 12mo. swd, is net .METHUEN, Feb. 15",,,,Feb. 15,
3966,"Little travellers abroad. Cr. 8vo. 71 X 4*, pp. 112, rod. .OLIVER & B., Nov. 15",,,Little travellers abroad,OLIVER & B.,,0.0,8vo.,"Little travellers abroad. Cr. 8vo. 71 X 4*, pp. 112, rod. .OLIVER & B., Nov. 15",,,,Nov. 15,
3967,"Little treasury of leaflets (The) India paper edit. Vols 1, 2, 3, and 4, 5, 6. 32ino. 4 X2), pp. 860, 936, paste grain, ea. 7s. 6d. M. H. GILL, Jan. 15",,,Little treasury of leaflets (The) India paper edit,M. H. GILL,7s. 6d.,0.375,,"Little treasury of leaflets (The) India paper edit. Vols 1, 2, 3, and 4, 5, 6. 32ino. 4 X2), pp. 860, 936, paste grain, ea. 75. 6d. M. H. GILL, Jan. 15",,,,Jan. 15,
3968,"Little treasury of leaflets (The). India paper edit. 6 vols. in 1. 32m10. 4 X2), pp. 1,796, pastegrain, M. H. GILL, Jan, 15",,,Little treasury of leaflets (The),M. H. GILL,,0.0,,"Little treasury of leaflets (The). India paper edit. 6 vols. in 1. 32m10. 4 X2), pp. 1,796, pastegrain, M. H. GILL, Jan, 15",,,,"Jan, 15",
3971,"Live Stock Journal Almanac for 1916. Illus. Ryl. Svo., pp. 256, 2s.; swd. is. VINTON, Dec. 15",,,Live Stock Journal Almanac for,VINTON,,0.0,,"Live Stock Journal Almanac for 1916. Illus. Ryl. Svo., pp. 256, 25.; swd. is. VINTON, Dec. 15",,,,Dec. 15,
3972,"Little Folks. Vol. 81, Jan.-June, 191s. 4to. 5s. bds. 3s, 6d. CASSELL, July 15",,,Little Folks,CASSELL,3s. 6d.,0.175,4to.,"Little Folks. Vol. 81, Jan.-June, 1915. 4to. 5s. bds. 3s, 6d. CASSELL, July 15",,,,July 15,
3973,"Little Folks, 191s. 4to. 101 X7, pp. 482, 5s. CASSELL, Oct. 15",,,Little Folks,CASSELL,5s.,0.25,4to.,"Little Folks, 1915. 4to. 101 X7, pp. 482, 5s. CASSELL, Oct. 15",,,,Oct. 15,
3974,"Little office of the Blessed Virgin Mary, conform- able to recent Pontifical Decrees : fully ex- plained and annotated. By a master of novices. 6X31, pp. 375, 2s. 6d net WASHBOURNE, Feb 15",,,"Little office of the Blessed Virgin Mary, conform- able to recent Pontifical Decrees : fully ex- plained and annotated",WASHBOURNE,2s. 6d,0.125,,"Little office of the Blessed Virgin Mary, conform- able to recent Pontifical Decrees : fully ex- plained and annotated. By a master of novices. 6X31, pp. 375, 25. 6d net WASHBOURNE, Feb 15",,,,Feb 15,net
3977,"Liverpool Diocesan calendar and churchman's year book, 191s. Cr. 8vo. 2s. net ; swd. is, net J. A. THOMPSON, Feb. 15",,,Liverpool Diocesan calendar and churchman's year book,J. A. THOMPSON,,0.0,8vo.,"Liverpool Diocesan calendar and churchman's year book, 1915. Cr. 8vo. 2s. net ; swd. is, net J. A. THOMPSON, Feb. 15",,,,Feb. 15,
3984,"Local Government Board.-Supp. to the Report of the Medical Officer of the Board, for 1914-15 : Maternal mortality in connection with child- bearing and its relation to infant mortality, 7]d. . WYMAN, Oct 15",,,Local Government Board,WYMAN,,0.0,,"Local Government Board.-Supp. to the Report of the Medical Officer of the Board, for 1914-15 : Maternal mortality in connection with child- bearing and its relation to infant mortality, 7]d. . WYMAN, Oct 15",,,,Oct 15,
3987,"Local Government Board--Reports. See also under subjects as Scavenging, &c. Local government directory, almanac and guide, 191s. Cr. 8vo. 8s. 6d. net..C. KNIGHT, Jan. 15",,,Local Government Board--Reports,C. KNIGHT,8s. 6d.,0.42500000000000004,8vo.,"Local Government Board--Reports. See also under subjects as Scavenging, &c. Local government directory, almanac and guide, 1915. Cr. 8vo. 8s. 6d. net..C. KNIGHT, Jan. 15",,,,Jan. 15,net
3988,"Local government, 1914-15, 22s. 6d. net BUTTERWORTH, Dec. 15",,,Local government,BUTTERWORTH,22s. 6d.,1.125,,"Local government, 1914-15, 225. 6d. net BUTTERWORTH, Dec. 15",,,,Dec. 15,net
3989,"Local Government Board-County boroughs, other boroughs, urban districts other than boroughs, and rural districts, in England and Wales (excluding the Metropolis) on Apr. 1, 1914. .WYMAN, July 15",,,"Local Government Board-County boroughs, other boroughs, urban districts other than boroughs, and rural districts, in England and Wales (excluding the Metropolis) on Apr",WYMAN,,0.0,,"Local Government Board-County boroughs, other boroughs, urban districts other than boroughs, and rural districts, in England and Wales (excluding the Metropolis) on Apr. 1, 1914. .WYMAN, July 15",,,,July 15,
3990,"Local Government Board--Inspectors of foods : Report for 1913-14. 20. ....WYMAN, Jan. 15",,,Local Government Board--Inspectors of foods : Report for,WYMAN,,0.0,,"Local Government Board--Inspectors of foods : Report for 1913-14. 20. ....WYMAN, Jan. 15",,,,Jan. 15,
3991,"Local Government Board-Memorandum cerebro-spinal fever, Feb. 1915, id. WYMAN, Mar. 15",,,"Local Government Board-Memorandum cerebro-spinal fever, Feb",WYMAN,,0.0,,"Local Government Board-Memorandum cerebro-spinal fever, Feb. 1915, id. WYMAN, Mar. 15",,,,Mar. 15,
3992,"Local Government Board-Model byelaws. 6, Slaughter houses, 2d....... WYMAN, Feb. 15",,,Local Government Board-Model byelaws,WYMAN,2d.,0.008333333333333333,,"Local Government Board-Model byelaws. 6, Slaughter houses, 2d....... WYMAN, Feb. 15",,,,Feb. 15,
3993,"Local Government Board-Report, 1913-14. Pt. 1, Administration of the Poor Law, Unem- ployed Workmen Act and Old Age Pensions Act. With Appen. and ind. Diag. 8vo., 1s. id. WYMAN, Feb. 15",,,Local Government Board-Report,WYMAN,,0.0,8vo.,"Local Government Board-Report, 1913-14. Pt. 1, Administration of the Poor Law, Unem- ployed Workmen Act and Old Age Pensions Act. With Appen. and ind. Diag. 8vo., Is. id. WYMAN, Feb. 15",,,,Feb. 15,
3994,"Local Government Board-Report on the special work of the L.G.B. arising out of the War (to 31st Dec., 1914). With appendix. 4fd. WYMAN, Jan. 15",,,Local Government Board-Report on the special work of the L.G.B. arising out of the War (to,WYMAN,,0.0,,"Local Government Board-Report on the special work of the L.G.B. arising out of the War (to 31st Dec., 1914). With appendix. 4fd. WYMAN, Jan. 15",,,,Jan. 15,
3995,"Local Government Board-Reports of Food Inspectors. 21, Effects of certain condensing and drying processes used in the preservation of milk upon its bacterial contents, 6d. WYMAN, Feb. 15",,,Local Government Board-Reports of Food Inspectors,WYMAN,6d.,0.025,,"Local Government Board-Reports of Food Inspectors. 21, Effects of certain condensing and drying processes used in the preservation of milk upon its bacterial contents, 6d. WYMAN, Feb. 15",,,,Feb. 15,
3996,"Local Government Board-Reports of Fooris Inspectors : 22, Freezing point of milk con- sidered in its relation to the detection of added water, 4d....... ... WYMAN, Mar. 15",,,Local Government Board-Reports of Fooris Inspectors :,WYMAN,4d.,0.016666666666666666,,"Local Government Board-Reports of Fooris Inspectors : 22, Freezing point of milk con- sidered in its relation to the detection of added water, 4d....... ... WYMAN, Mar. 15",,,,Mar. 15,
3997,"Local Government Board-Reports on public health and medical subjects (New ser.): Flies as carriers of infection, Further rpt. (No. 7) 6d. .WYMAN, Jan. 15",,,Local Government Board-Reports on public health and medical subjects (New ser,WYMAN,6d.,0.025,,"Local Government Board-Reports on public health and medical subjects (New ser.): Flies as carriers of infection, Further rpt. (No. 7) 6d. .WYMAN, Jan. 15",,,,Jan. 15,
3998,"Local Government Board-Reports on public health and medical subjects (New ser) : 104. Plague, cholera and yellow fever, Progress and diffusion of, throughout the world during 1913, s.; 105, Prevalence of congenital syphilis among the newly-born of the East End of London, 2d.; 106, Notifiable infectious diseases, Statistics of the incidence of, in each sanitary district in England and Wales; and Preliminary statement as to small-pox abroad during 1914 (4th yr.). ed. ... WYMAN, June 15",,,Local Government Board-Reports on public health and medical subjects (New ser) :,WYMAN,,0.0,,"Local Government Board-Reports on public health and medical subjects (New ser) : 104. Plague, cholera and yellow fever, Progress and diffusion of, throughout the world during 1913, IS.; 105, Prevalence of congenital syphilis among the newly-born of the East End of London, 2d.; 106, Notifiable infectious diseases, Statistics of the incidence of, in each sanitary district in England and Wales; and Preliminary statement as to small-pox abroad during 1914 (4th yr.). ed. ... WYMAN, June 15",,,,June 15,
