entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"A B C fiscal handbook (The). 3rd edit. 8vo. 81 X5, pp. 262, 1s, net FREE TRADE UNION, Jan. 13",,,A B C fiscal handbook (The),FREE TRADE UNION,1s.,8vo.,"A B C fiscal handbook (The). 3rd edit. 8vo. 81 X5, pp. 262, Is, net FREE TRADE UNION, Jan. 13",,,,Jan. 13,net
"A B C guide to patents for inventors. 8vo. 2s. 6d. net. BUTTERWORTH, Apr. 13",,,A B C guide to patents for inventors,BUTTERWORTH,2s. 6d.,8vo.,"A B C guide to patents for inventors. 8vo. 25. 6d. net. BUTTERWORTH, Apr. 13",,,,Apr. 13,net
"Aborigines of S. America, Church (G. E.) ios, 6d. net. About Edmond)-L'Homine à l'oreille Cassée. Cr. 8vo., s. 6d..... ...RIVINGTON, May 13",,,"Aborigines of S. America, Church (G. E.) ios",RIVINGTON,6d.,8vo.,"Aborigines of S. America, Church (G. E.) ios, 6d. net. About Edmond)-L'Homine à l'oreille Cassée. Cr. 8vo., IS. 6d..... ...RIVINGTON, May 13",,,,May 13,
"Academy Architecture and Architectural Review, 1913. Vol. 43. Edit. by Alex. Koch. 4to. 4s. rod. net, swd. 4s. net.. SIMPKIN, June 13",,,Academy Architecture and Architectural Review,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Review, 1913. Vol. 43. Edit. by Alex. Koch. 4to. 45. rod. net, swd. 45. net.. SIMPKIN, June 13",,,,June 13,net
"Accountancy for retail traders, Wood (D.) 2s. 6d. net... Accountants' (Incorporated) Year book. 8vo. 71 x 41, pp. 782, 2s. ...SOCIETY, Oct. 13",,,"Accountancy for retail traders, Wood (D.)",SOCIETY,2s.,8vo.,"Accountancy for retail traders, Wood (D.) 25. 6d. net... Accountants' (Incorporated) Year book. 8vo. 71 x 41, pp. 782, 25. ...SOCIETY, Oct. 13",,,,Oct. 13,
"A. L.-School temperature register, No. 3. 8d, net .E. J. ARNOLD, Jan. 13",,,A. L.-School temperature register,E. J. ARNOLD,8d.,,"A. L.-School temperature register, No. 3. 8d, net .E. J. ARNOLD, Jan. 13",,,,Jan. 13,net
"Abbott (Edwin A.)-Miscellanea evangelica (1). Demy 8vo., pp. 108, 23. net CAMB, UNIV. PRESS, Oct. 13",,,Demy,"CAMB, UNIV. PRESS",,8vo.,"Abbott (Edwin A.)-Miscellanea evangelica (1). Demy 8vo., pp. 108, 23. net CAMB, UNIV. PRESS, Oct. 13",,['Abbott (Edwin A.)-Miscellanea evangelica (1)'],,Oct. 13,
"Abelard et Héloise, Lettres amoureuses d'. s. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,"Abelard et Héloise, Lettres amoureuses d'",FROWDE,,,"Abelard et Héloise, Lettres amoureuses d'. IS. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,,Apr. 13,
"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 2s. id. WYMAN, July 13",,,"Accounts of executors, &c",WYMAN,,,"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 25. id. WYMAN, July 13",,,,July 13,
"Acrostics, Anthology and, 1ddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",,,"Acrostics, Anthology and",MACMILLAN,,8vo.,"Acrostics, Anthology and, Iddesleigh (Earl of), , .Jan13 Action, Principle of least, Jourdain (P.E.B. - Army’act, rev. to 1913, 1s... . Oct13 Acton (Lord)-Letters, to Mary, daughter of the Rt. Hon. W. E. Gladstone. Edit., with an intro. memoir, by Herbert Paul. 8vo. 91 x 51, pp. 288, ios, net.. ...MACMILLAN, Feb. 13",,,,Feb. 13,
