entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Academy Architecture and Architectural Review. Classified Index to Vols. 1-21, 1889-1902. 4to. 28.; swd. 1s......... SIMPKIN, Jan. 03",,,Academy Architecture and Architectural Review,SIMPKIN,1s.,4to.,"Academy Architecture and Architectural Review. Classified Index to Vols. 1-21, 1889-1902. 4to. 28.; swd. 1s......... SIMPKIN, Jan. 03",,,,Jan. 03,1903,
"Academy Notes, 1908. Originated by Henry Blackburn. 8vo. swd. ls. W. GARDNER, May 03",,,Academy Notes,W. GARDNER,,8vo.,"Academy Notes, 1908. Originated by Henry Blackburn. 8vo. swd. ls. W. GARDNER, May 03",,,,May 03,1903,
"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others. Cr. 8vo. 74 × 44, pp. 216, 3s. 6d. ..RIDER, Apr. 03",,,"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others",RIDER,3s. 6d.,8vo.,"Acorn-English Timber and its Economical Conversion: a Handbook for Timber Merchants, Manufacturers, Growers, and others. Cr. 8vo. 74 × 44, pp. 216, 3s. 6d. ..RIDER, Apr. 03",,,,Apr. 03,1903,
"Action Songs for School and Concert. Music by W. W. Pearson, and Words by Edward Oxen- ford. 8vo. swd. 2s. 6d.......... SIMPKIN, Mar. 03",,,Action Songs for School and Concert,SIMPKIN,2s. 6d.,8vo.,"Action Songs for School and Concert. Music by W. W. Pearson, and Words by Edward Oxen- ford. 8vo. swd. 2s. 6d.......... SIMPKIN, Mar. 03",,,,Mar. 03,1903,
"****..... Acts of the Apostles. Intro., Notes, ed. by A. E. Rubie. 8 Maps. Cr. 8vo. 74 × 44, pp. 210, 2s. METHUEN, Jan. 03",,,Acts of the Apostles,METHUEN,2s.,8vo.,"****..... Acts of the Apostles. Intro., Notes, ed. by A. E. Rubie. 8 Maps. Cr. 8vo. 74 × 44, pp. 210, 2s. METHUEN, Jan. 03",,,,Jan. 03,1903,
"Acts of the Apostles. With Commentary by E. H. Plumptre. Ed. by Charles John Ellicott. 12mo. red. to 28...... ...CASSELL, May 03",,,Acts of the Apostles,CASSELL,,12mo.,"Acts of the Apostles. With Commentary by E. H. Plumptre. Ed. by Charles John Ellicott. 12mo. red. to 28...... ...CASSELL, May 03",,,,May 03,1903,
"6d. net ............ ............. *****..... Adams (Mary N.)- Song at Midnight: Poems. Cr. 8vo. 6s......... .........S. C. BROWN, Oct. 03",,,,S. C. BROWN,6s.,8vo.,"6d. net ............ ............. *****..... Adams (Mary N.)- Song at Midnight: Poems. Cr. 8vo. 6s......... .........S. C. BROWN, Oct. 03",,,,Oct. 03,1903,
"Adderley (J.)-Quis Habitabit (Psalm xv.): Meditation for Christian Socialists, Substance of 8 Addresses to the Christian Social Union at their Annual Retreat, Passiontide, 1901. Cr. 8vo. 7 × 4, pp. 62, 1s. 6d. ......S. C. BROWN, Mar. 03",,,"Meditation for Christian Socialists, Substance of",S. C. BROWN,1s. 6d.,8vo.,"Adderley (J.)-Quis Habitabit (Psalm xv.): Meditation for Christian Socialists, Substance of 8 Addresses to the Christian Social Union at their Annual Retreat, Passiontide, 1901. Cr. 8vo. 7 × 4, pp. 62, 1s. 6d. ......S. C. BROWN, Mar. 03",,['Adderley (J.)-Quis Habitabit (Psalm xv.)'],,Mar. 03,1903,
"Addis (W. E.), Arnold (T.)-Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church. Revised, with Additions, by T. B. Scannell. 6th ed. 8vo. 84 × 4, pp. 970, 12s. net....... ...PAUL, Feb. 03",,,"Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church",PAUL,12s.,8vo.,"Addis (W. E.), Arnold (T.)-Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church. Revised, with Additions, by T. B. Scannell. 6th ed. 8vo. 84 × 4, pp. 970, 12s. net....... ...PAUL, Feb. 03",,"['Addis (W. E.), Arnold (T.)']",,Feb. 03,1903,net
"Adelphe-Christian Problem and its Solution: Five Stories founded on Fact. Cr. 8vo. swd. 1s. 6d. net ...STOCKWELL, May 03",,,Adelphe-Christian Problem and its Solution: Five Stories founded on Fact,STOCKWELL,1s. 6d.,8vo.,"Adelphe-Christian Problem and its Solution: Five Stories founded on Fact. Cr. 8vo. swd. 1s. 6d. net ...STOCKWELL, May 03",,,,May 03,1903,net
