,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
0,"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",,,A B C guide to the practice of the Supreme Court,SWEET & M.,8s. 6d.,,"A B C guide to the practice of the Supreme Court, 1923. By F. R. S. Stringer. 18th ed. 71 x 5, pp. 239, 8s. 6d. net. SWEET & M., Oct. '22",,,,Oct. '22,1922,net
1,"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",,,A B C or alphabetical railway guide,OFFICE,,,"A B C or alphabetical railway guide. (Monthly.) ea. swd. 28. net. (15, Fetter Lane, E.C.) OFFICE, Jan., etc., '22",,,,"Jan., etc., '22",1922,
2,"A. E. See E. (A.) Aaland 1slands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",,,A. E. See E. (A.) Aaland,H.M.S.O.,6d.,,"A. E. See E. (A.) Aaland Islands : Convention respecting non- fortification and neutralisation, Geneva, Oct., 1921. 6d. net........ ...H.M.S.O., June '22",,,,June '22,1922,net
3,"Abbott (G. F.)—Greece and the Allies, 1914–1922. Cr. 8vo, 74 x 5, pp. 253, 78. 6d. net. METHUEN, Dec. '22",Abbott,G. F.,Greece and the Allies,METHUEN,6d.,"8vo,","Abbott (G. F.)—Greece and the Allies, 1914–1922. Cr. 8vo, 74 x 5, pp. 253, 78. 6d. net. METHUEN, Dec. '22",G. F. Abbott,['Abbott (G. F.)'],,Dec. '22,1922,net
4,"Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 7s. 6d. net......LIPPINCOTT, Dec. '22",,,Abbott_(Jane)-Red-Robin,LIPPINCOTT,7s. 6d.,"8vo,","Abbott_(Jane)-Red-Robin. Illus. by Harriet R. Richards. 2nd imp. Cr. 8vo, 78 x 5, pp. 327, 75. 6d. net......LIPPINCOTT, Dec. '22",,,,Dec. '22,1922,net
5,"Abbott (Lyman)-Silhouettes of my contempor- aries. 8vo. 81 x 51, pp. 361, 12s. 6d. net ALLEN & U., May '22",Abbott,Lyman,Silhouettes of my contempor- aries,ALLEN & U.,12s. 6d.,8vo.,"Abbott (Lyman)-Silhouettes of my contempor- aries. 8vo. 81 x 51, pp. 361, I2s. 6d. net ALLEN & U., May '22",Lyman Abbott,['Abbott (Lyman)'],,May '22,1922,net
6,"Abbott (T. K.) and Gwynn (E. W.)–Catalogue of the Irish manuscripts in the library of Trinity College, Dublin. 81x6, pp. 465, 21s. net (Hodges, Figgis) LONGMANS, Apr. '22",Abbott,T. K.,"Catalogue of the Irish manuscripts in the library of Trinity College, Dublin",LONGMANS,21s.,,"Abbott (T. K.) and Gwynn (E. W.)–Catalogue of the Irish manuscripts in the library of Trinity College, Dublin. 81x6, pp. 465, 215. net (Hodges, Figgis) LONGMANS, Apr. '22",T. K. Abbott,"['Abbott (T. K.)', 'Gwynn (E. W.)']",,Apr. '22,1922,net
7,"Abbott-Smith (G.) A Manual Greek lexicon of the New Testament. 9 X 6, pp. 528. 218. net T. & T. CLARK, Mar.'22",Abbott-Smith,G.,A Manual Greek lexicon of the New Testament,T. & T. CLARK,,,"Abbott-Smith (G.) A Manual Greek lexicon of the New Testament. 9 X 6, pp. 528. 218. net T. & T. CLARK, Mar.'22",G. Abbott-Smith,['Abbott-Smith (G.)'],,Mar.'22,1922,
8,"Abdullah (Achmed)—Night drums. Cr. 8vo. 74 x 5, pp. 287, 78. 6d net .. HUTCHINSON, May'22",Abdullah,Achmed,Night drums,HUTCHINSON,6d,8vo.,"Abdullah (Achmed)—Night drums. Cr. 8vo. 74 x 5, pp. 287, 78. 6d net .. HUTCHINSON, May'22",Achmed Abdullah,['Abdullah (Achmed)'],,May'22,1922,net
9,"Abercrombie (Lascelles)-An Essay towards a theory of art. Cr. 8vo. 7 x 5, pp. 115, 58. net M. SECKER, June '22",Abercrombie,Lascelles,An Essay towards a theory of art,M. SECKER,,8vo.,"Abercrombie (Lascelles)-An Essay towards a theory of art. Cr. 8vo. 7 x 5, pp. 115, 58. net M. SECKER, June '22",Lascelles Abercrombie,['Abercrombie (Lascelles)'],,June '22,1922,
10,"Abercrombie (Lascelles)—Four short plays. Cr. 8vo. 7* X 51, PP, 176. 6s. net. M. SECKER, July '22",Abercrombie,Lascelles,Four short plays,M. SECKER,6s.,8vo.,"Abercrombie (Lascelles)—Four short plays. Cr. 8vo. 7* X 51, PP, 176. 6s. net. M. SECKER, July '22",Lascelles Abercrombie,['Abercrombie (Lascelles)'],,July '22,1922,net
11,"Abercrombie (Patrick) and Johnson (T. H.)—The Doncaster regional planning scheme : the report prepared for the Joint Committee. 4to, pp. 93, swd. ros, net.... HODDER & S., Dec. '22",Abercrombie,Patrick,The Doncaster regional planning scheme : the report prepared for the Joint Committee,HODDER & S.,,"4to,","Abercrombie (Patrick) and Johnson (T. H.)—The Doncaster regional planning scheme : the report prepared for the Joint Committee. 4to, pp. 93, swd. ros, net.... HODDER & S., Dec. '22",Patrick Abercrombie,"['Abercrombie (Patrick)', 'Johnson (T. H.)']",,Dec. '22,1922,
12,"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",,,Abhinava Gupta-Malinivijaya Varttikam,PROBSTHAIN,,8vo.,"Abhinava Gupta-Malinivijaya Varttikam. Ed. in Sanskrit with notes by Madhusudan Kaul. 8vo., pp. 138, 6s. 6d., 78. 6d. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar. '22",,,,Mar. '22,1922,
13,"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 12s. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",,,Abhinava Gupta-The Tantraloka,PROBSTHAIN,,8vo.,"Abhinava Gupta-The Tantraloka. With com- mentary by Rajanaka Jayaratha. Ed. in Sanskrit with notes by Madhusudan Kaul. Vols. 2-3. 8vo. Vol. 2, 6s. 6d., 78. 6d. ; Vol. 3, ros. 6d., 125. (Kashmir ser. of texts and studies) LUZAC; PROBSTHAIN, Mar.'22",,,,Mar.'22,1922,
14,"Abraham (George D.)--Swiss mountain climbs. Cheaper ed. Cr. 8vo. 7X 44, pp. 447, 7s. 6d. net. Mills & B., July '22",Abraham,George D.,Swiss mountain climbs,B.,,8vo.,"Abraham (George D.)--Swiss mountain climbs. Cheaper ed. Cr. 8vo. 7X 44, pp. 447, 75. 6d. net. Mills & B., July '22",George D. Abraham,['Abraham (George D.)'],,July '22,1922,
15,"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",,,"Abrasive wheels, Use of (Home Office Safety pamphlet",H.M.S.O.,,,"Abrasive wheels, Use of (Home Office Safety pamphlet, No. 7) is. net...H.M.S.O., Nov. '22",,,,Nov. '22,1922,
16,"Accidents (Street)--Return, 1921. 2d. net H.M.S.O., Apr. '22",Accidents,Street,Return,H.M.S.O.,2d.,,"Accidents (Street)--Return, 1921. 2d. net H.M.S.O., Apr. '22",Street Accidents,['Accidents (Street)'],,Apr. '22,1922,net
17,"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 3s. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",,,Yearbook,OFFICE,3s.,,"Accountants and Auditors (Soc. of Incorporated) Yearbook, 1922._71 x 5, pp. 606, swd. 35. (50, Gresham St., E.C.2).... OFFICE, Mar. '22",,"['Accountants', 'Auditors (Soc. of Incorporated)']",,Mar. '22,1922,
