,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
14,"Adams (H. C.)-Schoolboy Honour: Tale of Hal- minster College. New ed. cr. 8vo. 74 × 4, pp. 872, 2s. 6d............. ..ROUTLEDGE, Apr. 03",Adams,H. C.,Schoolboy Honour: Tale of Hal- minster College,ROUTLEDGE,2s. 6d.,8vo.,"Adams (H. C.)-Schoolboy Honour: Tale of Hal- minster College. New ed. cr. 8vo. 74 × 4, pp. 872, 2s. 6d............. ..ROUTLEDGE, Apr. 03",H. C. Adams,['Adams (H. C.)'],,Apr. 03,1903,
15,"Adams (H. C.)-Walter's Friend; or, Big Boys and Little Ones. New ed. cr. 8vo. 1s. ROUTLEDGE, Mar. 03",Adams,H. C.,"Walter's Friend; or, Big Boys and Little Ones",ROUTLEDGE,1s.,8vo.,"Adams (H. C.)-Walter's Friend; or, Big Boys and Little Ones. New ed. cr. 8vo. 1s. ROUTLEDGE, Mar. 03",H. C. Adams,['Adams (H. C.)'],,Mar. 03,1903,
16,"Adams (J.)-Primer on Teaching. With special references to Sunday School work. 12mo. swd. ........T. & T. CLARK, Apr. 03",Adams,J.,Primer on Teaching,T. & T. CLARK,,12mo.,"Adams (J.)-Primer on Teaching. With special references to Sunday School work. 12mo. swd. ........T. & T. CLARK, Apr. 03",J. Adams,['Adams (J.)'],,Apr. 03,1903,
17,"Adams (W. A.)-Lonely Way, and other Poems. Cr. 8vo. 3s. 6d. ..UNWIN, Apr. 03.",Adams,W. A.,"Lonely Way, and other Poems",UNWIN,3s. 6d.,8vo.,"Adams (W. A.)-Lonely Way, and other Poems. Cr. 8vo. 3s. 6d. ..UNWIN, Apr. 03.",W. A. Adams,['Adams (W. A.)'],,Apr. 03,1903,
18,"Adams (W. D.)-English Epigrams. Selected and arranged, with Intro., Notes, and Notices of the Epigrammists. New ed. cr. 8vo. 74 × 5, pp. 442, 28.......... ..ROUTLEDGE, Mar. 03",Adams,W. D.,English Epigrams,ROUTLEDGE,,8vo.,"Adams (W. D.)-English Epigrams. Selected and arranged, with Intro., Notes, and Notices of the Epigrammists. New ed. cr. 8vo. 74 × 5, pp. 442, 28.......... ..ROUTLEDGE, Mar. 03",W. D. Adams,['Adams (W. D.)'],,Mar. 03,1903,
19,"Adams (W. E.)-Memoirs of a Social Atom. 2 vols. Portraits. 8vo. 9 x 54, pp. 676, 24s. net HUTCHINSON, Sep. 03",Adams,W. E.,Memoirs of a Social Atom,HUTCHINSON,24s.,8vo.,"Adams (W. E.)-Memoirs of a Social Atom. 2 vols. Portraits. 8vo. 9 x 54, pp. 676, 24s. net HUTCHINSON, Sep. 03",W. E. Adams,['Adams (W. E.)'],,Sep. 03,1903,net
20,"Adams (W. H. D.)-Battle Stories from British and European History. 10th ed. 8vo. 8 × 5, pp. 464, 8s. 6d. ..................SONNENSCHEIN, Jan 03",Adams,W. H. D.,Battle Stories from British and European History,SONNENSCHEIN,8s. 6d.,8vo.,"Adams (W. H. D.)-Battle Stories from British and European History. 10th ed. 8vo. 8 × 5, pp. 464, 8s. 6d. ..................SONNENSCHEIN, Jan 03",W. H. D. Adams,['Adams (W. H. D.)'],,Jan 03,1903,
21,"Adcock (A. St. J.) From a London Garden. 12mo. 2s. 6d. net. ……………………………………….NUTT, Mar. 03",Adcock,A. St. J.,From a London Garden,NUTT,,12mo.,"Adcock (A. St. J.) From a London Garden. 12mo. 2s. 6d. net. ……………………………………….NUTT, Mar. 03",A. St. J. Adcock,['Adcock (A. St. J.)'],,Mar. 03,1903,
22,"Adderley (J.)-Quis Habitabit (Psalm xv.): Meditation for Christian Socialists, Substance of 8 Addresses to the Christian Social Union at their Annual Retreat, Passiontide, 1901. Cr. 8vo. 7 × 4, pp. 62, 1s. 6d. ......S. C. BROWN, Mar. 03",,,"Meditation for Christian Socialists, Substance of",S. C. BROWN,1s. 6d.,8vo.,"Adderley (J.)-Quis Habitabit (Psalm xv.): Meditation for Christian Socialists, Substance of 8 Addresses to the Christian Social Union at their Annual Retreat, Passiontide, 1901. Cr. 8vo. 7 × 4, pp. 62, 1s. 6d. ......S. C. BROWN, Mar. 03",,['Adderley (J.)-Quis Habitabit (Psalm xv.)'],,Mar. 03,1903,
23,"Addis (W. E.), Arnold (T.)-Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church. Revised, with Additions, by T. B. Scannell. 6th ed. 8vo. 84 × 4, pp. 970, 12s. net....... ...PAUL, Feb. 03",,,"Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church",PAUL,12s.,8vo.,"Addis (W. E.), Arnold (T.)-Catholic Dictionary: containing some Account of the Doctrine, Disci- pline, Rites, Ceremonies, Councils, and Religious Orders of the Catholic Church. Revised, with Additions, by T. B. Scannell. 6th ed. 8vo. 84 × 4, pp. 970, 12s. net....... ...PAUL, Feb. 03",,"['Addis (W. E.), Arnold (T.)']",,Feb. 03,1903,net
24,"Adelphe-Christian Problem and its Solution: Five Stories founded on Fact. Cr. 8vo. swd. 1s. 6d. net ...STOCKWELL, May 03",,,Adelphe-Christian Problem and its Solution: Five Stories founded on Fact,STOCKWELL,1s. 6d.,8vo.,"Adelphe-Christian Problem and its Solution: Five Stories founded on Fact. Cr. 8vo. swd. 1s. 6d. net ...STOCKWELL, May 03",,,,May 03,1903,net
25,"Eschylus-Persa. Intro. and Notes by A. Sidg- wick. 12mo. 64 × 44, 38. .........FROWDE, May 03",,,Eschylus-Persa,FROWDE,,12mo.,"Eschylus-Persa. Intro. and Notes by A. Sidg- wick. 12mo. 64 × 44, 38. .........FROWDE, May 03",,,,May 03,1903,
26,"Eschylus-Septem contra Thebas. Intro. and Notes by A. Sidgwick. 12mo. 64 × 4, 8s. FROWDE, May 03",,,Eschylus-Septem contra Thebas,FROWDE,8s.,12mo.,"Eschylus-Septem contra Thebas. Intro. and Notes by A. Sidgwick. 12mo. 64 × 4, 8s. FROWDE, May 03",,,,May 03,1903,
