,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
0,"A was an archer. Illus. by D. Pailthorpe. 4to. swd. 2s. net .HARRAP, Mar. '20",,,A was an archer,HARRAP,2s.,4to.,"A was an archer. Illus. by D. Pailthorpe. 4to. swd. 2s. net .HARRAP, Mar. '20",,,,Mar. '20,1920,net
1,"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege. Ryl. 8vo. 94 x 61, pp. 1,542, 40s. net EDEN FISHER, Mar. '20",,,A B C universal commercial telegraphic code,EDEN FISHER,40s.,8vo.,"A B C universal commercial telegraphic code. Proprietors, E. M. M. Clauson-Thue and F. C. E. Faulkner. 6th ed. Ed. by William Droege. Ryl. 8vo. 94 x 61, pp. 1,542, 40s. net EDEN FISHER, Mar. '20",,,,Mar. '20,1920,net
2,"Aaland 1slands, Question of the : Reference to the League of Nations. 2d. net H.M.S.O., Aug. '20",,,Aaland,H.M.S.O.,2d.,,"Aaland Islands, Question of the : Reference to the League of Nations. 2d. net H.M.S.O., Aug. '20",,,,Aug. '20,1920,net
3,"Abbay (R., Rev. Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes. 8vo. 81 x 54, pp. 35, swd. 1s. net HARRISON, June'20",,,"Abbay (R., Rev",HARRISON,1s.,8vo.,"Abbay (R., Rev. Our orchards : letters to the East Anglian Daily Times, 1892-1920. With notes. 8vo. 81 x 54, pp. 35, swd. Is. net HARRISON, June'20",,,,June'20,1920,net
4,"Abbott (Anstice) A Girl widow's romance : a tale of Indian life. Forew. by Rev. C. Askwith. Cr. 8vo. 71 X 5, pp. 125, 2s. 6d. net R.T.S., Oct. '20",Abbott,Anstice,A Girl widow's romance : a tale of Indian life,R.T.S.,2s. 6d.,8vo.,"Abbott (Anstice) A Girl widow's romance : a tale of Indian life. Forew. by Rev. C. Askwith. Cr. 8vo. 71 X 5, pp. 125, 25. 6d. net R.T.S., Oct. '20",Anstice Abbott,['Abbott (Anstice)'],,Oct. '20,1920,net
5,"Abbott (Claude C.) trans.—Nine songs from the 12th century French. 10 X 6, pp. 16, 2s. CHELSEA BOOK CLUB, Aug.'20",Abbott,Claude C.,Nine songs from the,CHELSEA BOOK CLUB,2s.,,"Abbott (Claude C.) trans.—Nine songs from the 12th century French. 10 X 6, pp. 16, 25. CHELSEA BOOK CLUB, Aug.'20",Claude C. Abbott,['Abbott (Claude C.)'],,Aug.'20,1920,
6,"Abbott (E. C.) English composition : based on observation and general reading. Cr. 8vo. 71 x 44, pp. 228, 4s. 6d. net BELL, Aug. '20",Abbott,E. C.,English composition : based on observation and general reading,BELL,4s. 6d.,8vo.,"Abbott (E. C.) English composition : based on observation and general reading. Cr. 8vo. 71 x 44, pp. 228, 4s. 6d. net BELL, Aug. '20",E. C. Abbott,['Abbott (E. C.)'],,Aug. '20,1920,net
7,"Abbot (E. C.)Scientific history of the world. In 3 parts. Part 1, to 148s. Cr. 8vo. 7.X 44, pp. 415, 4s. 6d. net ..BELL, June'20",Abbot,E. C.,Scientific history of the world,BELL,4s. 6d.,8vo.,"Abbot (E. C.)Scientific history of the world. In 3 parts. Part 1, to 1485. Cr. 8vo. 7.X 44, pp. 415, 4s. 6d. net ..BELL, June'20",E. C. Abbot,['Abbot (E. C.)'],,June'20,1920,net
8,"Abbott (Jane D.)-Happy house. Cr. 8vo. 78. net LIPPINCOTT, Sep. 20",Abbott,Jane D.,Happy house,LIPPINCOTT,,8vo.,"Abbott (Jane D.)-Happy house. Cr. 8vo. 78. net LIPPINCOTT, Sep. 20",Jane D. Abbott,['Abbott (Jane D.)'],,Sep. 20,1920,
9,"Abbott (Jane D.)-Larkspur. Illus. by Harriet R. Richards. Cr. 8vo. 7*5, pp. 261, 6s. net LIPPINCOTT, June'20",Abbott,Jane D.,Larkspur,LIPPINCOTT,6s.,8vo.,"Abbott (Jane D.)-Larkspur. Illus. by Harriet R. Richards. Cr. 8vo. 7*5, pp. 261, 6s. net LIPPINCOTT, June'20",Jane D. Abbott,['Abbott (Jane D.)'],,June'20,1920,net
10,"Abbott (Norman)-Let nothing you dismay, and other verses. 18mo. 2s, 6d. net JARROLDS, Sep. '20",Abbott,Norman,"Let nothing you dismay, and other verses",JARROLDS,2s. 6d.,18mo.,"Abbott (Norman)-Let nothing you dismay, and other verses. 18mo. 2s, 6d. net JARROLDS, Sep. '20",Norman Abbott,['Abbott (Norman)'],,Sep. '20,1920,net
11,"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation. Cr. 8vo. 7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.) MARLBOROUGH, July'20",,,"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation",MARLBOROUGH,,8vo.,"Abdul Majid-Malay self-taught by the Natural method, with phonetic pronunciation. Cr. 8vo. 7 X 4, pp. 120, 4s. net, swd. 33. net. (Marl- borough's Self-taught ser.) MARLBOROUGH, July'20",,,,July'20,1920,
12,"Abott (G. F.)-A Record of Sir John Finch's Embassy, 1674-1681 : under the Turk in Constantinople. With a foreword by Viscount Bryce, O.M. Ryl. 8vo. 97 x6, pp. 433, 18s. net ..MACMILLAN, Oct. '20",Abott,G. F.,A Record of Sir John Finch's Embassy,MACMILLAN,18s.,8vo.,"Abott (G. F.)-A Record of Sir John Finch's Embassy, 1674-1681 : under the Turk in Constantinople. With a foreword by Viscount Bryce, O.M. Ryl. 8vo. 97 x6, pp. 433, 18s. net ..MACMILLAN, Oct. '20",G. F. Abott,['Abott (G. F.)'],,Oct. '20,1920,net
13,"Abrahamian (Abel, Rt. Rev. Dr.)-The Church and faith of Armenia. Pref. by The Lord Bishop of Gloucester. Cr. 8vo. 71 x 5 swd., pp. 75, 1s. 6d..... ..FAITH PR., June 20",Abrahamian,"Abel, Rt. Rev. Dr.",The Church and faith of Armenia,FAITH PR.,1s. 6d.,8vo.,"Abrahamian (Abel, Rt. Rev. Dr.)-The Church and faith of Armenia. Pref. by The Lord Bishop of Gloucester. Cr. 8vo. 71 x 5 swd., pp. 75, Is. 6d..... ..FAITH PR., June 20","Abel, Rt. Rev. Dr. Abrahamian","['Abrahamian (Abel, Rt. Rev. Dr.)']",,June 20,1920,
14,"Abrahams (1srael) —Poetry and religion. With foreword by Sir Arthur Quiller-Couch. 18mo. 64 X4, pp. 81, 2s, 6d net; swd. is, net ALLEN & U., Oct. '20",Abrahams,1srael,Poetry and religion,ALLEN & U.,,18mo.,"Abrahams (Israel) —Poetry and religion. With foreword by Sir Arthur Quiller-Couch. 18mo. 64 X4, pp. 81, 2s, 6d net; swd. is, net ALLEN & U., Oct. '20",1srael Abrahams,['Abrahams (1srael)'],,Oct. '20,1920,
15,"Abthorne (John)-Opinions on the arts and living. Cr. 8vo. 74 X5, pp. 301, 6s. net HEINEMANN, Oct. '20",Abthorne,John,Opinions on the arts and living,HEINEMANN,6s.,8vo.,"Abthorne (John)-Opinions on the arts and living. Cr. 8vo. 74 X5, pp. 301, 6s. net HEINEMANN, Oct. '20",John Abthorne,['Abthorne (John)'],,Oct. '20,1920,net
16,"Acadomy architecture. Vol. 51, 1920. Ryl. 8vo. bds. ios. ; swd. 7s. 6d. net. BATSFORD, Sep. '20",,,Acadomy architecture,BATSFORD,7s. 6d.,8vo.,"Acadomy architecture. Vol. 51, 1920. Ryl. 8vo. bds. ios. ; swd. 7s. 6d. net. BATSFORD, Sep. '20",,,,Sep. '20,1920,net
17,"Academy (Royal). See Royal Academy. Accidents, Street, caused by Vehicles : Return, 1919. id... ...H.M.S.O., Mar.'20",Academy,Royal,See Royal Academy,H.M.S.O.,,,"Academy (Royal). See Royal Academy. Accidents, Street, caused by Vehicles : Return, 1919. id... ...H.M.S.O., Mar.'20",Royal Academy,['Academy (Royal)'],,Mar.'20,1920,
18,"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws. 77X5, pp. 534, 2s. 6d. SOCIETY, Apr. '20",,,"Year Book: comprising list of menibers, articles and by-laws",SOCIETY,2s. 6d.,,"Accountants and Auditors (Soc. of Incorp.)-Year Book: comprising list of menibers, articles and by-laws. 77X5, pp. 534, 25. 6d. SOCIETY, Apr. '20",,"['Accountants', 'Auditors (Soc. of Incorp.)']",,Apr. '20,1920,
19,"Accounts (Public) Ctte.--First, second, and third reports ; with proceedings, minutes of evidence and appendices. 38. 6d. net H.M.S.O., Sep. '20",Accounts,Public,Ctte,H.M.S.O.,6d.,,"Accounts (Public) Ctte.--First, second, and third reports ; with proceedings, minutes of evidence and appendices. 38. 6d. net H.M.S.O., Sep. '20",Public Accounts,['Accounts (Public)'],,Sep. '20,1920,net
