,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
5,"Abbott (E.) and Breckinridge (S. P.)-Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois. Cr. 8vo. 8 X 5), pp. 488, 9s. net CAMB. UNIV. PR., Apr. 17",Abbott,E.,Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois,CAMB. UNIV. PR.,9s.,0.45,8vo.,"Abbott (E.) and Breckinridge (S. P.)-Truancy and non-attendance in the Chicago schools : a study of the social aspects of the compulsory education and child labor legislation of Illinois. Cr. 8vo. 8 X 5), pp. 488, 9s. net CAMB. UNIV. PR., Apr. 17",E. Abbott,"['Abbott (E.)', 'Breckinridge (S. P.)']",,Apr. 17,net
6,"Abbott (Edwin A.)-The Fourfold Gospel. Sect. V, The Founding of the New Kingdom; or, Life reached through death. (Diatessarica. Pt. X, sect. V. The completion of the work.] Demy 8vo. 74x59, pp. 832, 16s. 6d. net CAMB. UNIV. PR., Sep. '17",Abbott,Edwin A.,The Fourfold Gospel,CAMB. UNIV. PR.,16s. 6d.,0.8250000000000001,8vo.,"Abbott (Edwin A.)-The Fourfold Gospel. Sect. V, The Founding of the New Kingdom; or, Life reached through death. (Diatessarica. Pt. X, sect. V. The completion of the work.] Demy 8vo. 74x59, pp. 832, 16s. 6d. net CAMB. UNIV. PR., Sep. '17",Edwin A. Abbott,['Abbott (Edwin A.)'],,Sep. '17,net
9,"Abrahams (I.)-Studies in Pharisaism and the Gospels. Demy 8vo. 81 x 51, pp. 188, 6s. 6d. net... CAMB. UNIV. PR., May 17",Abrahams,I.,Studies in Pharisaism and the Gospels,CAMB. UNIV. PR.,6s. 6d.,0.325,8vo.,"Abrahams (I.)-Studies in Pharisaism and the Gospels. Demy 8vo. 81 x 51, pp. 188, 6s. 6d. net... CAMB. UNIV. PR., May 17",I. Abrahams,['Abrahams (I.)'],,May 17,net
14,"Ackerley (Fred G.)-A Rumanian manual for self-tuition. Cr. 8vo. 71 x 5, pp. 145, 2s. net K. PAUL, Mar. 17",Ackerley,Fred G.,A Rumanian manual for self-tuition,K. PAUL,2s.,0.1,8vo.,"Ackerley (Fred G.)-A Rumanian manual for self-tuition. Cr. 8vo. 71 x 5, pp. 145, 25. net K. PAUL, Mar. 17",Fred G. Ackerley,['Ackerley (Fred G.)'],,Mar. 17,net
15,"Ackerman (Carl W.).-Germany, the next republic? Illus. 8vo. 81x5), pp. 288, 78. 6d. net HODDER & S., Dec. '17",Ackerman,Carl W.,"Germany, the next republic?",HODDER & S.,6d.,0.025,8vo.,"Ackerman (Carl W.).-Germany, the next republic? Illus. 8vo. 81x5), pp. 288, 78. 6d. net HODDER & S., Dec. '17",Carl W. Ackerman,['Ackerman (Carl W.)'],,Dec. '17,net
22,"Adair (Cecil)-Maid of the Moonflower. Cr. 8vo. 77 5, pp. 325, 6s....... .S. PAUL, Oct. '17",Adair,Cecil,Maid of the Moonflower,S. PAUL,6s.,0.3,8vo.,"Adair (Cecil)-Maid of the Moonflower. Cr. 8vo. 77 5, pp. 325, 6s....... .S. PAUL, Oct. '17",Cecil Adair,['Adair (Cecil)'],,Oct. '17,
25,"Adams (Bernard)—Nothing of importance : record of eight months at the front with a Welsh battalion, October, 1915, to June, 1916. Cr. 8vo. 71 x 5, pp. 326, 6s. net METHUEN, Sep. '17",Adams,Bernard,"Nothing of importance : record of eight months at the front with a Welsh battalion, October",METHUEN,6s.,0.3,8vo.,"Adams (Bernard)—Nothing of importance : record of eight months at the front with a Welsh battalion, October, 1915, to June, 1916. Cr. 8vo. 71 x 5, pp. 326, 6s. net METHUEN, Sep. '17",Bernard Adams,['Adams (Bernard)'],,Sep. '17,net
26,"Adams (Eleanor N.)-Old English scholarship in England from 1566-1800. 8vo. 9.X 51, pp. 210, swd. 8s. 6d. net (Yale Studies in English).. MILFORD, Sep. '17",Adams,Eleanor N.,Old English scholarship in England from,MILFORD,8s. 6d.,0.42500000000000004,8vo.,"Adams (Eleanor N.)-Old English scholarship in England from 1566-1800. 8vo. 9.X 51, pp. 210, swd. 8s. 6d. net (Yale Studies in English).. MILFORD, Sep. '17",Eleanor N. Adams,['Adams (Eleanor N.)'],,Sep. '17,net
29,"Adams (John)-The Student's guide. Cr. 8vo. 75 X 5, pp. 296, 3s. 6d. net UNIV. OF LONDON PR, Sep. '17",Adams,John,The Student's guide,UNIV. OF LONDON PR,3s. 6d.,0.175,8vo.,"Adams (John)-The Student's guide. Cr. 8vo. 75 X 5, pp. 296, 35. 6d. net UNIV. OF LONDON PR, Sep. '17",John Adams,['Adams (John)'],,Sep. '17,net
31,"Adamson (J. Spencer)- Sketch portraiture. 8vo. 7d. H. GREENWOOD, Dec. '17",Adamson,J. Spencer,Sketch portraiture,H. GREENWOOD,7d.,0.029166666666666667,8vo.,"Adamson (J. Spencer)- Sketch portraiture. 8vo. 7d. H. GREENWOOD, Dec. '17",J. Spencer Adamson,['Adamson (J. Spencer)'],,Dec. '17,
