,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
2,"ACCOUNTING Abercrombie (Lascelles) --Speculative dialogues Cr. 8vo. 73 X5, pp. 204, 5s. net M. SOCKER, Oct. 13",ACCOUNTING Abercrombie,Lascelles,Speculative dialogues,M. SOCKER,5s.,0.25,8vo.,"ACCOUNTING Abercrombie (Lascelles) --Speculative dialogues Cr. 8vo. 73 X5, pp. 204, 5s. net M. SOCKER, Oct. 13",Lascelles ACCOUNTING Abercrombie,['ACCOUNTING Abercrombie (Lascelles)'],,Oct. 13,net
5,"About (Edmond)--Le Nez d'un notaire. 12mo., pp. 252, 1s, net. ......NELSON, Feb. 13",About,Edmond,Le Nez d'un notaire,NELSON,1s.,0.05,12mo.,"About (Edmond)--Le Nez d'un notaire. 12mo., pp. 252, Is, net. ......NELSON, Feb. 13",Edmond About,['About (Edmond)'],,Feb. 13,net
6,"Abraham (Ashley P.)-Some portraits of the Lake poets and their honies. Illus. Ryl. 8vo. 94 X6, pp. 56, bds. 3s. 6d. net SIMPKIN, Aug. 13",Abraham,Ashley P.,Some portraits of the Lake poets and their honies,SIMPKIN,3s. 6d.,0.175,8vo.,"Abraham (Ashley P.)-Some portraits of the Lake poets and their honies. Illus. Ryl. 8vo. 94 X6, pp. 56, bds. 35. 6d. net SIMPKIN, Aug. 13",Ashley P. Abraham,['Abraham (Ashley P.)'],,Aug. 13,net
7,"Abraham (George D.)-Motor ways in lakeland. 8vo. 9 X5), pp. 320, 7s. 6d. net METHUEN, Aug. 13",Abraham,George D.,Motor ways in lakeland,METHUEN,7s. 6d.,0.375,8vo.,"Abraham (George D.)-Motor ways in lakeland. 8vo. 9 X5), pp. 320, 7s. 6d. net METHUEN, Aug. 13",George D. Abraham,['Abraham (George D.)'],,Aug. 13,net
8,"Abraham (J. Johnston)-The Surgeon's log : impressions of the Far Fast. Re-issue. Cr. 8vo. 74 X5, pp. 316, 2s. 6d. net CHAPMAN & H., June 13",Abraham,J. Johnston,The Surgeon's log : impressions of the Far Fast,CHAPMAN & H.,2s. 6d.,0.125,8vo.,"Abraham (J. Johnston)-The Surgeon's log : impressions of the Far Fast. Re-issue. Cr. 8vo. 74 X5, pp. 316, 25. 6d. net CHAPMAN & H., June 13",J. Johnston Abraham,['Abraham (J. Johnston)'],,June 13,net
9,"Abraham (K.)—Steam economy in the sugar factory. Trans. from the German edit. by E. J. Bayle. Cr. 8vo., 6s. 6d. net CHAPMAN & H., Jan, 13",Abraham,K.,Steam economy in the sugar factory,CHAPMAN & H.,6s. 6d.,0.325,8vo.,"Abraham (K.)—Steam economy in the sugar factory. Trans. from the German edit. by E. J. Bayle. Cr. 8vo., 6s. 6d. net CHAPMAN & H., Jan, 13",K. Abraham,['Abraham (K.)'],,"Jan, 13",net
10,"Abramowski (O. L. M.)— Eating for health. 3rd edit. Cr. 8vo., 38. 6d. net W. SCOTT, Aug. 13",Abramowski,O. L. M.,Eating for health,W. SCOTT,6d.,0.025,8vo.,"Abramowski (O. L. M.)— Eating for health. 3rd edit. Cr. 8vo., 38. 6d. net W. SCOTT, Aug. 13",O. L. M. Abramowski,['Abramowski (O. L. M.)'],,Aug. 13,net
13,"Accountants (Institute of Chartered) in England and Wales.-List of members, 1913, Royal Charter, and bye-laws. 8vo. 71 X 5, pp. 780, 2s. GEE, Oct. 13",Accountants,Institute of Chartered,England and Wales,GEE,2s.,0.1,8vo.,"Accountants (Institute of Chartered) in England and Wales.-List of members, 1913, Royal Charter, and bye-laws. 8vo. 71 X 5, pp. 780, 25. GEE, Oct. 13",Institute of Chartered Accountants,['Accountants (Institute of Chartered)'],,Oct. 13,
15,"Abbott (Edwin A.)--The Fourfold gospel. Section 1, Introduction. 8vo. 9 X5), pp. 194, 2s. 6d. net CAMB. UNIV. PRESS, July 13",Abbott,Edwin A.,The Fourfold gospel,CAMB. UNIV. PRESS,2s. 6d.,0.125,8vo.,"Abbott (Edwin A.)--The Fourfold gospel. Section 1, Introduction. 8vo. 9 X5), pp. 194, 25. 6d. net CAMB. UNIV. PRESS, July 13",Edwin A. Abbott,['Abbott (Edwin A.)'],,July 13,net
17,"Abbott (G.) see Unwin (S. R.) and Abbott. Abbott (P.)-Exercises in arithmetic and mensu- ration. With diagrams. Cr. 8vo. 71 X41, pp. 534, 3s. 6d. .LONGMANS, Oct. 13",Abbott,G.,Exercises in arithmetic and mensu- ration,LONGMANS,3s. 6d.,0.175,8vo.,"Abbott (G.) see Unwin (S. R.) and Abbott. Abbott (P.)-Exercises in arithmetic and mensu- ration. With diagrams. Cr. 8vo. 71 X41, pp. 534, 35. 6d. .LONGMANS, Oct. 13",G. Abbott,"['Abbott (G.)', 'Abbott (P.)']",,Oct. 13,
19,"Abelson (J.)- Jewish mysticism. Cr. 8vo. 7} X41, pp. 194, 2s. 6d. net (The Quest ser.) BELL, Nov. 13",Abelson,J.,Jewish mysticism,BELL,2s. 6d.,0.125,8vo.,"Abelson (J.)- Jewish mysticism. Cr. 8vo. 7} X41, pp. 194, 2s. 6d. net (The Quest ser.) BELL, Nov. 13",J. Abelson,['Abelson (J.)'],,Nov. 13,net
