,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
5,"Abbott (Eleanor Hallowell)-Love and Mrs. Kendrur. Cr. 8vo. 7 X4, pp. 116, 2s. net HEINEMANN, Oct. '19",Abbott,Eleanor Hallowell,Love and Mrs,HEINEMANN,2s.,8vo.,"Abbott (Eleanor Hallowell)-Love and Mrs. Kendrur. Cr. 8vo. 7 X4, pp. 116, 2s. net HEINEMANN, Oct. '19",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Oct. '19,net
6,"Abbott (Eleanor Hallowell)-The Ne'er-do-much. Cr. 8vo. 7×5, pp. 156, 5s. net HODDER, July '19",Abbott,Eleanor Hallowell,The Ne'er-do-much,HODDER,5s.,8vo.,"Abbott (Eleanor Hallowell)-The Ne'er-do-much. Cr. 8vo. 7×5, pp. 156, 5s. net HODDER, July '19",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,July '19,net
7,"Abbott (Wilbur C.)-Colonel John Scott of Long 1sland. 8vo. 5s. 6d. net (Yale Univ. Pr.) MILFORD, Oct. '19",Abbott,Wilbur C.,Colonel John Scott of Long,MILFORD,5s. 6d.,8vo.,"Abbott (Wilbur C.)-Colonel John Scott of Long Island. 8vo. 5s. 6d. net (Yale Univ. Pr.) MILFORD, Oct. '19",Wilbur C. Abbott,['Abbott (Wilbur C.)'],,Oct. '19,net
8,"Abbott (Wilbur Cortez)-The Expansion of Europe: a history of the foundations of the modern world. 2 vols. 8vo. 9 × 54, pp. 476, 30s. net BELL, Sep.'19",Abbott,Wilbur Cortez,The Expansion of Europe: a history of the foundations of the modern world,BELL,30s.,8vo.,"Abbott (Wilbur Cortez)-The Expansion of Europe: a history of the foundations of the modern world. 2 vols. 8vo. 9 × 54, pp. 476, 30s. net BELL, Sep.'19",Wilbur Cortez Abbott,['Abbott (Wilbur Cortez)'],,Sep.'19,net
9,"Abdullah (Achmed)-The Honourable Gentlemen and others. Cr. 8vo. 7× 5, pp. 262, 6s. net PUTNAM, Dec. '19",Abdullah,Achmed,The Honourable Gentlemen and others,PUTNAM,6s.,8vo.,"Abdullah (Achmed)-The Honourable Gentlemen and others. Cr. 8vo. 7× 5, pp. 262, 6s. net PUTNAM, Dec. '19",Achmed Abdullah,['Abdullah (Achmed)'],,Dec. '19,net
10,"About (Edmond)—The Twins. Trans. by C. W. Bell. 16mo. 6×4, pp. 126, swd. 1s. 6d. net (Harrap's Bilingual ser: French) HARRAP, Dec. '19",About,Edmond,The Twins,HARRAP,1s. 6d.,16mo.,"About (Edmond)—The Twins. Trans. by C. W. Bell. 16mo. 6×4, pp. 126, swd. Is. 6d. net (Harrap's Bilingual ser: French) HARRAP, Dec. '19",Edmond About,['About (Edmond)'],,Dec. '19,net
11,"Abraham (George D.)-On Alpine heights and British crags. Ryl. 8vo. 9×5, pp.317, IOS. 6d. net .METHUEN, Sep. '19",Abraham,George D.,On Alpine heights and British crags,METHUEN,6d.,8vo.,"Abraham (George D.)-On Alpine heights and British crags. Ryl. 8vo. 9×5, pp.317, IOS. 6d. net .METHUEN, Sep. '19",George D. Abraham,['Abraham (George D.)'],,Sep. '19,net
12,"Abraham (Herbert)-Asphalts and allied sub- stances the occurrence, modes of production, uses in the arts, and methods of testing. Illus. Roy. 8vo. 94×6, pp. 631, 25s. net LOCKWOOD, May, '19",Abraham,Herbert,"Asphalts and allied sub- stances the occurrence, modes of production, uses in the arts, and methods of testing",LOCKWOOD,25s.,8vo.,"Abraham (Herbert)-Asphalts and allied sub- stances the occurrence, modes of production, uses in the arts, and methods of testing. Illus. Roy. 8vo. 94×6, pp. 631, 25s. net LOCKWOOD, May, '19",Herbert Abraham,['Abraham (Herbert)'],,"May, '19",net
40,"Adair (Cecil)-The Cactus hedge. Cr. 8vo. 7× 5, pp. 288, 6s. net...... .S. PAUL, Aug. '19",Adair,Cecil,The Cactus hedge,S. PAUL,6s.,8vo.,"Adair (Cecil)-The Cactus hedge. Cr. 8vo. 7× 5, pp. 288, 6s. net...... .S. PAUL, Aug. '19",Cecil Adair,['Adair (Cecil)'],,Aug. '19,net
41,"Adair (Cecil)-The Mist pool. 4th ed. Cr. 8vo. 7×5, pp. 352, 2s. 6d. net....S. PAUL, July '19",Adair,Cecil,The Mist pool,S. PAUL,2s. 6d.,8vo.,"Adair (Cecil)-The Mist pool. 4th ed. Cr. 8vo. 7×5, pp. 352, 2s. 6d. net....S. PAUL, July '19",Cecil Adair,['Adair (Cecil)'],,July '19,net
42,"Adam (H. Pearl)-Paris sees it through: a diary' 1914-1919. 8vo. 8×51, pp. 331, 15s. net HODDER, Dec. '19",Adam,H. Pearl,Paris sees it through: a diary',HODDER,15s.,8vo.,"Adam (H. Pearl)-Paris sees it through: a diary' 1914-1919. 8vo. 8×51, pp. 331, 15s. net HODDER, Dec. '19",H. Pearl Adam,['Adam (H. Pearl)'],,Dec. '19,net
43,"Adam (W. A., Maj.)-Whither? or, The British Dreyfus case: a human fragment of contem- porary history, 1906-1919. 8vo. 9 × 54, pp. 198, IOS. 6d. net .ROUTLEDGE, Dec. '19",Adam,"W. A., Maj.","Whither? or, The British Dreyfus case: a human fragment of contem- porary history",ROUTLEDGE,6d.,8vo.,"Adam (W. A., Maj.)-Whither? or, The British Dreyfus case: a human fragment of contem- porary history, 1906-1919. 8vo. 9 × 54, pp. 198, IOS. 6d. net .ROUTLEDGE, Dec. '19","W. A., Maj. Adam","['Adam (W. A., Maj.)']",,Dec. '19,net
47,"Adams (George Burton)-The British Empire and a League of Peace. Cr. 8vo. 5s. net PUTNAM, June '19",Adams,George Burton,The British Empire and a League of Peace,PUTNAM,5s.,8vo.,"Adams (George Burton)-The British Empire and a League of Peace. Cr. 8vo. 5s. net PUTNAM, June '19",George Burton Adams,['Adams (George Burton)'],,June '19,net
48,"Adams (Rev. H. C.)-Charlie Lucken, at school and college. New ed. Cr. 8vo. 7X5, pp. 408, 3s. 6d. net MILFORD, Nov. '19",Adams,Rev. H. C.,"Charlie Lucken, at school and college",MILFORD,3s. 6d.,8vo.,"Adams (Rev. H. C.)-Charlie Lucken, at school and college. New ed. Cr. 8vo. 7X5, pp. 408, 3s. 6d. net MILFORD, Nov. '19",Rev. H. C. Adams,['Adams (Rev. H. C.)'],,Nov. '19,net
50,"Adams (Henry)-Practical trigonometry. 3rd ed., rev and en. Cr. 8vo. 7×4, pp. 80, 3s. net .PITMAN, Feb. '19",Adams,Henry,Practical trigonometry,PITMAN,3s.,8vo.,"Adams (Henry)-Practical trigonometry. 3rd ed., rev and en. Cr. 8vo. 7×4, pp. 80, 3s. net .PITMAN, Feb. '19",Henry Adams,['Adams (Henry)'],,Feb. '19,net
51,"Adams (Henry)-Education of H. A.: an auto- biography. 8vo. pp. 527, 21s. net CONSTABLE, Apr. '19",Adams,Henry,Education of H. A.: an auto- biography,CONSTABLE,21s.,8vo.,"Adams (Henry)-Education of H. A.: an auto- biography. 8vo. pp. 527, 21s. net CONSTABLE, Apr. '19",Henry Adams,['Adams (Henry)'],,Apr. '19,net
52,"Adamson (John William)-A Short history of education. Ryl. 8vo. 9 × 54, pp. 384, 12s. 6d. .CAMB. UNIV. PR., Dec. '19",Adamson,John William,A Short history of education,CAMB. UNIV. PR.,12s. 6d.,8vo.,"Adamson (John William)-A Short history of education. Ryl. 8vo. 9 × 54, pp. 384, 12s. 6d. .CAMB. UNIV. PR., Dec. '19",John William Adamson,['Adamson (John William)'],,Dec. '19,
54,"Adkin (B. W.)-Local taxation: from the stand- point of a surveyor. 8vo. pp. 390, 10s 6d. net. ESTATES GAZETTE, Mar. '19",Adkin,B. W.,Local taxation: from the stand- point of a surveyor,ESTATES GAZETTE,10s. 6d.,8vo.,"Adkin (B. W.)-Local taxation: from the stand- point of a surveyor. 8vo. pp. 390, 10s 6d. net. ESTATES GAZETTE, Mar. '19",B. W. Adkin,['Adkin (B. W.)'],,Mar. '19,net
55,"Adlam (G. H. J.)-Acids, Alkalis and salts. Cr. 8vo. 7×41, pp. 121, 2s. 6d. net (Common commodities and industries ser.) PITMAN, Dec. '19",Adlam,G. H. J.,"Acids, Alkalis and salts",PITMAN,2s. 6d.,8vo.,"Adlam (G. H. J.)-Acids, Alkalis and salts. Cr. 8vo. 7×41, pp. 121, 2s. 6d. net (Common commodities and industries ser.) PITMAN, Dec. '19",G. H. J. Adlam,['Adlam (G. H. J.)'],,Dec. '19,net
56,"Adler (Felix)-An Ethical philosophy of life presented in its main outlines. 8vo. 12s. 6d. net APPLETON, Feb. '19",Adler,Felix,An Ethical philosophy of life presented in its main outlines,APPLETON,12s. 6d.,8vo.,"Adler (Felix)-An Ethical philosophy of life presented in its main outlines. 8vo. 12s. 6d. net APPLETON, Feb. '19",Felix Adler,['Adler (Felix)'],,Feb. '19,net
120,"Agger (Eugene E.)-Organized banking. 8vo. 8×51, pp. 394, 12s. 6d. net ALLEN & U., July '19",Agger,Eugene E.,Organized banking,ALLEN & U.,12s. 6d.,8vo.,"Agger (Eugene E.)-Organized banking. 8vo. 8×51, pp. 394, 12s. 6d. net ALLEN & U., July '19",Eugene E. Agger,['Agger (Eugene E.)'],,July '19,net
157,"Agriculture for Scotland (Bd. of)—Agricultural Statistics, 1916. Vol. 5, Part 3: Prices and supplies of grain, live stock, and other agricul- tural produce in Scotland. 8vo. 2d. H.M. STATIONERY OFF., July'19",Agriculture for Scotland,Bd. of,Agricultural Statistics,H.M. STATIONERY OFF.,2d.,8vo.,"Agriculture for Scotland (Bd. of)—Agricultural Statistics, 1916. Vol. 5, Part 3: Prices and supplies of grain, live stock, and other agricul- tural produce in Scotland. 8vo. 2d. H.M. STATIONERY OFF., July'19",Bd. of Agriculture for Scotland,['Agriculture for Scotland (Bd. of)'],,July'19,
162,"Agriculture (U.S. Dept. of)-Yearbook, 1918. Illus. 8vo. 9×6, pp. 760, 9s. net WESLEY, Oct. '19",Agriculture,U.S. Dept. of,Yearbook,WESLEY,9s.,8vo.,"Agriculture (U.S. Dept. of)-Yearbook, 1918. Illus. 8vo. 9×6, pp. 760, 9s. net WESLEY, Oct. '19",U.S. Dept. of Agriculture,['Agriculture (U.S. Dept. of)'],,Oct. '19,net
163,"Ahern (I. M. G.)-The Phonetics of French pronunciation: being Longman's Modern course. Cr. 8vo. 71×4, pp. 48, 1s. net (Longman's Modern French course) LONGMANS, Oct. '19",Ahern,I. M. G.,The Phonetics of French pronunciation: being Longman's Modern course,LONGMANS,1s.,8vo.,"Ahern (I. M. G.)-The Phonetics of French pronunciation: being Longman's Modern course. Cr. 8vo. 71×4, pp. 48, Is. net (Longman's Modern French course) LONGMANS, Oct. '19",I. M. G. Ahern,['Ahern (I. M. G.)'],,Oct. '19,net
165,"Ainsworth (R. B., Capt.) ed.-The Story of the 6th Battalion the Durham Light Infantry : France, April 1915-Nov. 1918. 8vo. 5s. net ST. CATHERINE'S PRESS, Nov. '19",Ainsworth,"R. B., Capt.",The Story of the,ST. CATHERINE'S PRESS,5s.,8vo.,"Ainsworth (R. B., Capt.) ed.-The Story of the 6th Battalion the Durham Light Infantry : France, April 1915-Nov. 1918. 8vo. 5s. net ST. CATHERINE'S PRESS, Nov. '19","R. B., Capt. Ainsworth","['Ainsworth (R. B., Capt.)']",ed.,Nov. '19,net
180,"Aird (William)-A Natural method of acquiring permanent health and complete immunity. Cr. 8vo. pp. 50, swd. 2s. 6d. net (Avalon, Sompting, Sussex) AUTHOR, Jan. '19",Aird,William,A Natural method of acquiring permanent health and complete immunity,AUTHOR,2s. 6d.,8vo.,"Aird (William)-A Natural method of acquiring permanent health and complete immunity. Cr. 8vo. pp. 50, swd. 2s. 6d. net (Avalon, Sompting, Sussex) AUTHOR, Jan. '19",William Aird,['Aird (William)'],,Jan. '19,net
181,"Aitchison (R. S.)-A Medical handbook: for the use of practitioners and students. 5th ed., rev. 18mo, 64, pp. 390, lthr. Ios. 6d. net GRIFFIN, Dec. '19",Aitchison,R. S.,A Medical handbook: for the use of practitioners and students,GRIFFIN,6d.,"18mo,","Aitchison (R. S.)-A Medical handbook: for the use of practitioners and students. 5th ed., rev. 18mo, 64, pp. 390, lthr. Ios. 6d. net GRIFFIN, Dec. '19",R. S. Aitchison,['Aitchison (R. S.)'],,Dec. '19,net
182,"Aitken (Robert)-The Binary stars. 5 illus. 8vo. 9×61, 15s. net.... ..WESLEY, Oct. '19",Aitken,Robert,The Binary stars,WESLEY,15s.,8vo.,"Aitken (Robert)-The Binary stars. 5 illus. 8vo. 9×61, 15s. net.... ..WESLEY, Oct. '19",Robert Aitken,['Aitken (Robert)'],,Oct. '19,net
183,"Aivar (P. R. Sundara)-Professional ethics: lectures delivered to Apprentices-at-Law. Ryl. 8vo. 9×61, pp. 468, 12s. net SIMPKIN, Mar. '19",Aivar,P. R. Sundara,Professional ethics: lectures delivered to Apprentices-at-Law,SIMPKIN,12s.,8vo.,"Aivar (P. R. Sundara)-Professional ethics: lectures delivered to Apprentices-at-Law. Ryl. 8vo. 9×61, pp. 468, 12s. net SIMPKIN, Mar. '19",P. R. Sundara Aivar,['Aivar (P. R. Sundara)'],,Mar. '19,net
186,"Albanesi (E. Maria)—Diana falls in love. Cr. 8vo. 7×5, pp. 313, 6s. net ..WARD, LOCK, May '19",Albanesi,E. Maria,Diana falls in love,"WARD, LOCK",6s.,8vo.,"Albanesi (E. Maria)—Diana falls in love. Cr. 8vo. 7×5, pp. 313, 6s. net ..WARD, LOCK, May '19",E. Maria Albanesi,['Albanesi (E. Maria)'],,May '19,net
187,"Albanesi (E. Maria)-Olivia Mary. Cheap ed. 18mo. 6×4, pp. 256, 2s. net METHUEN, July '19",Albanesi,E. Maria,Olivia Mary,METHUEN,2s.,18mo.,"Albanesi (E. Maria)-Olivia Mary. Cheap ed. 18mo. 6×4, pp. 256, 2s. net METHUEN, July '19",E. Maria Albanesi,['Albanesi (E. Maria)'],,July '19,net
188,"Albanesi (E. Maria)-Punch and Judy. Ch. ed. 18mo. 7× 41, pp. 117, 2s. net HARDINGHAM, Dec. '19",Albanesi,E. Maria,Punch and Judy,HARDINGHAM,2s.,18mo.,"Albanesi (E. Maria)-Punch and Judy. Ch. ed. 18mo. 7× 41, pp. 117, 2s. net HARDINGHAM, Dec. '19",E. Maria Albanesi,['Albanesi (E. Maria)'],,Dec. '19,net
189,"Albanesi (E. Maria)-Tony's wife. Cr. 8vo. 7×5, pp. 322, 6s. 9d. net HOLDEN & H., Apr. '19",Albanesi,E. Maria,Tony's wife,HOLDEN & H.,6s. 9d.,8vo.,"Albanesi (E. Maria)-Tony's wife. Cr. 8vo. 7×5, pp. 322, 6s. 9d. net HOLDEN & H., Apr. '19",E. Maria Albanesi,['Albanesi (E. Maria)'],,Apr. '19,net
