,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
0,"Abercromby (Hon. John)-A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols. 4to. 63s, net (Clarendon Press) FROWDE, July 12",Abercromby,Hon. John,A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods,FROWDE,63s.,3.15,4to.,"Abercromby (Hon. John)-A Study of the bronze age pottery of Great Britain and Ireland and its associated grave-goods. Illus. 2 vols. 4to. 63s, net (Clarendon Press) FROWDE, July 12",Hon. John Abercromby,['Abercromby (Hon. John)'],,July 12,net
1,"Abernathy (M.)—The Ride of the Abernathy Boys. Cr. 8vo., 3s. 6d. HODDER & S., Jan. 12",Abernathy,M.,The Ride of the Abernathy Boys,HODDER & S.,3s. 6d.,0.175,8vo.,"Abernathy (M.)—The Ride of the Abernathy Boys. Cr. 8vo., 35. 6d. HODDER & S., Jan. 12",M. Abernathy,['Abernathy (M.)'],,Jan. 12,
2,"Abhedananda (Swami) —Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.) Cr. 8vo., pp. 176, 4s. 6d. net LUZAC, Mar. 12",Abhedananda,Swami,Vedanta Philosophy : Great Saviours of the world,LUZAC,4s. 6d.,0.225,8vo.,"Abhedananda (Swami) —Vedanta Philosophy : Great Saviours of the world. Vol. 1. (Krishna, Zoroaster, Lâo-Tze, and their teachings, with portraits.) Cr. 8vo., pp. 176, 45. 6d. net LUZAC, Mar. 12",Swami Abhedananda,['Abhedananda (Swami)'],,Mar. 12,net
3,"Abhedananda (Swami) Vedanta philosophy : Human affection, and divine love. 12mo., pp. 46, 1s. 6d. net ..LUZAC, Mar. 12",Abhedananda,Swami,"Vedanta philosophy : Human affection, and divine love",LUZAC,1s. 6d.,0.07500000000000001,12mo.,"Abhedananda (Swami) Vedanta philosophy : Human affection, and divine love. 12mo., pp. 46, Is. 6d. net ..LUZAC, Mar. 12",Swami Abhedananda,['Abhedananda (Swami)'],,Mar. 12,net
4,"Abraham (Ashley P.)—Beautiful Lakeland. Illus. 4to. 111 X 81, pp. 52, bds. 3s. 6d. G. P. ABRAHAM, June 12",Abraham,Ashley P.,Beautiful Lakeland,G. P. ABRAHAM,3s. 6d.,0.175,4to.,"Abraham (Ashley P.)—Beautiful Lakeland. Illus. 4to. 111 X 81, pp. 52, bds. 35. 6d. G. P. ABRAHAM, June 12",Ashley P. Abraham,['Abraham (Ashley P.)'],,June 12,
6,"Abraham (George D.)-Swiss mountain climbs. Cheaper edit. 12mo. 7 X 4), pp. 448, 5s. net MILLS & B., Sep.'12",Abraham,George D.,Swiss mountain climbs,MILLS & B.,5s.,0.25,12mo.,"Abraham (George D.)-Swiss mountain climbs. Cheaper edit. 12mo. 7 X 4), pp. 448, 55. net MILLS & B., Sep.'12",George D. Abraham,['Abraham (George D.)'],,Sep.'12,net
7,"Abram (A.)-English life and manners in the later middle ages. Illus. Cr. 8vo. 74 X5, pp. 368, 6s. ... ROUTLEDGE, Dec. 12",Abram,A.,English life and manners in the later middle ages,ROUTLEDGE,6s.,0.3,8vo.,"Abram (A.)-English life and manners in the later middle ages. Illus. Cr. 8vo. 74 X5, pp. 368, 6s. ... ROUTLEDGE, Dec. 12",A. Abram,['Abram (A.)'],,Dec. 12,
15,"Abbott (Edwin A.)-Light on the Gospel from an ancient poet. 8vo. 9 X54, pp. 668, 12s. 6d. net CAMB. UNIV. PRESS, Oct. 12",Abbott,Edwin A.,Light on the Gospel from an ancient poet,CAMB. UNIV. PRESS,12s. 6d.,0.625,8vo.,"Abbott (Edwin A.)-Light on the Gospel from an ancient poet. 8vo. 9 X54, pp. 668, 12s. 6d. net CAMB. UNIV. PRESS, Oct. 12",Edwin A. Abbott,['Abbott (Edwin A.)'],,Oct. 12,net
16,"Abbott (Eleanor Hallowell)—The Sick-a-bed lady. and other stories. Cr. 8vo. 71 x5, pp. 382, 6s, HODDER & S., Jan. 12",Abbott,Eleanor Hallowell,The Sick-a-bed lady,HODDER & S.,6s.,0.3,8vo.,"Abbott (Eleanor Hallowell)—The Sick-a-bed lady. and other stories. Cr. 8vo. 71 x5, pp. 382, 6s, HODDER & S., Jan. 12",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Jan. 12,
17,"Abbott (F. F.)-The Common people of ancient Rome. Cr. 8vo., 6s. ... . ROUTLEDGE, May 12",Abbott,F. F.,The Common people of ancient Rome,ROUTLEDGE,6s.,0.3,8vo.,"Abbott (F. F.)-The Common people of ancient Rome. Cr. 8vo., 6s. ... . ROUTLEDGE, May 12",F. F. Abbott,['Abbott (F. F.)'],,May 12,
