,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
11,"Aaron (Charles D.)-Diseases of the digestive organs. 3rd ed., rev. Ryl. 8vo. pp. 904, 50s. net LEWIS, Nov. '21",Aaron,Charles D.,Diseases of the digestive organs,LEWIS,50s.,8vo.,"Aaron (Charles D.)-Diseases of the digestive organs. 3rd ed., rev. Ryl. 8vo. pp. 904, 50s. net LEWIS, Nov. '21",Charles D. Aaron,['Aaron (Charles D.)'],,Nov. '21,net
13,"Abbott (Jane)-Aprilly. Cr. 8vo. pp. 287, 7s. 6d. net LIPPINCOTT, Dec. '21",Abbott,Jane,Aprilly,LIPPINCOTT,7s. 6d.,8vo.,"Abbott (Jane)-Aprilly. Cr. 8vo. pp. 287, 7s. 6d. net LIPPINCOTT, Dec. '21",Jane Abbott,['Abbott (Jane)'],,Dec. '21,net
14,"Abbott (Keene)-Wine o' the winds. Illus. Cr. 8vo. 7×51, pp. 336, 8s. 6d. net HODDER & S., Feb. '20 Abbott (Lyman)-What Christianity means to me. Cr. 8vo. pp. 194, 9s. net MACMILLAN, July '21",Abbott,Keene,Wine o' the winds,MACMILLAN,9s.,8vo.,"Abbott (Keene)-Wine o' the winds. Illus. Cr. 8vo. 7×51, pp. 336, 8s. 6d. net HODDER & S., Feb. '20 Abbott (Lyman)-What Christianity means to me. Cr. 8vo. pp. 194, 9s. net MACMILLAN, July '21",Keene Abbott,['Abbott (Keene)'],,July '21,net
16,"Abdullah (Achmed)-The Mating of the blades. Cr. 8vo. 7×5, pp. 288, 8s. 6d. net HUTCHINSON, Oct. '21",Abdullah,Achmed,The Mating of the blades,HUTCHINSON,8s. 6d.,8vo.,"Abdullah (Achmed)-The Mating of the blades. Cr. 8vo. 7×5, pp. 288, 8s. 6d. net HUTCHINSON, Oct. '21",Achmed Abdullah,['Abdullah (Achmed)'],,Oct. '21,net
17,"Abdullah (Achmed)-The Trail of the beast. Cr. 8vo. 7×5, pp. 288, 8s. 6d. net HUTCHINSON, Feb. '21",Abdullah,Achmed,The Trail of the beast,HUTCHINSON,8s. 6d.,8vo.,"Abdullah (Achmed)-The Trail of the beast. Cr. 8vo. 7×5, pp. 288, 8s. 6d. net HUTCHINSON, Feb. '21",Achmed Abdullah,['Abdullah (Achmed)'],,Feb. '21,net
18,"Abel (George)-Wylins fae my wallet. Foreword by Prof. Stalker. Biographical sketch by Alex- ander Gammie. With portrait. 6th impr., 2nd ed. Cr. 8vo. 7×5, pp. 165, 3s. net A. GARDNER, July '21",Abel,George,Wylins fae my wallet,A. GARDNER,3s.,8vo.,"Abel (George)-Wylins fae my wallet. Foreword by Prof. Stalker. Biographical sketch by Alex- ander Gammie. With portrait. 6th impr., 2nd ed. Cr. 8vo. 7×5, pp. 165, 3s. net A. GARDNER, July '21",George Abel,['Abel (George)'],,July '21,net
20,"Abell (Westcott S., Sir)-Sea casualties and loss of life. Ryl. 8vo. pp. 38, swd. 3s. 6d. net SPON, Dec. '21",Abell,"Westcott S., Sir",Sea casualties and loss of life,SPON,3s. 6d.,8vo.,"Abell (Westcott S., Sir)-Sea casualties and loss of life. Ryl. 8vo. pp. 38, swd. 3s. 6d. net SPON, Dec. '21","Westcott S., Sir Abell","['Abell (Westcott S., Sir)']",,Dec. '21,net
22,"Abraham (J. Johnston)-My Balkan log. Illus. 8vo. 9×5, pp. 318, 15s. net CHAPMAN & H., Nov. '21",Abraham,J. Johnston,My Balkan log,CHAPMAN & H.,15s.,8vo.,"Abraham (J. Johnston)-My Balkan log. Illus. 8vo. 9×5, pp. 318, 15s. net CHAPMAN & H., Nov. '21",J. Johnston Abraham,['Abraham (J. Johnston)'],,Nov. '21,net
23,"Abrahams (Adolphe) and Morson (A. Clifford)—A Guide to urinary diseases. 8vo. 8 × 51, pp. 127, 9s. net. .E. ARNOLD, Oct. '21",Abrahams,Adolphe,A Guide to urinary diseases,E. ARNOLD,9s.,8vo.,"Abrahams (Adolphe) and Morson (A. Clifford)—A Guide to urinary diseases. 8vo. 8 × 51, pp. 127, 9s. net. .E. ARNOLD, Oct. '21",Adolphe Abrahams,"['Abrahams (Adolphe)', 'Morson (A. Clifford)']",,Oct. '21,net
26,"Acland (Eleanor)-Dark side out. Cr. 8vo. 7×5, pp. 381, 7s. 6d. net....SIDGWICK & J., June '21",Acland,Eleanor,Dark side out,SIDGWICK & J.,7s. 6d.,8vo.,"Acland (Eleanor)-Dark side out. Cr. 8vo. 7×5, pp. 381, 7s. 6d. net....SIDGWICK & J., June '21",Eleanor Acland,['Acland (Eleanor)'],,June '21,net
