,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
27,"Acropolis Museum. Casson (Stanley)-Catalogue. Vol. 2, Sculpture and architectural fragments. Cr. 8vo. 36s. net CAMB UNIV. PR., May '21",Acropolis Museum. Casson,Stanley,Catalogue,CAMB UNIV. PR.,36s.,8vo.,"Acropolis Museum. Casson (Stanley)-Catalogue. Vol. 2, Sculpture and architectural fragments. Cr. 8vo. 36s. net CAMB UNIV. PR., May '21",Stanley Acropolis Museum. Casson,['Acropolis Museum. Casson (Stanley)'],,May '21,net
49,"Adair (Cecil) The Azure lake. Cr. 8vo. 7×5, pp. 256, 8s. 6d. net........S. PAUL, May '21",Adair,Cecil,The Azure lake,S. PAUL,8s. 6d.,8vo.,"Adair (Cecil) The Azure lake. Cr. 8vo. 7×5, pp. 256, 8s. 6d. net........S. PAUL, May '21",Cecil Adair,['Adair (Cecil)'],,May '21,net
50,"Adair (Cecil)-Cantacute Towers. Ch. ed. 18mo. 6×41, pp. 253, 2s. net......S. PAUL, June '21",Adair,Cecil,Cantacute Towers,S. PAUL,2s.,18mo.,"Adair (Cecil)-Cantacute Towers. Ch. ed. 18mo. 6×41, pp. 253, 2s. net......S. PAUL, June '21",Cecil Adair,['Adair (Cecil)'],,June '21,net
51,"Adair (Cecil)-Crystal's victory; or, The House of the ghost a story for girls. Cr. 8vo. 7×5, pp. 248, 5s. net .S. PAUL, Nov. '21",Adair,Cecil,"Crystal's victory; or, The House of the ghost a story for girls",S. PAUL,5s.,8vo.,"Adair (Cecil)-Crystal's victory; or, The House of the ghost a story for girls. Cr. 8vo. 7×5, pp. 248, 5s. net .S. PAUL, Nov. '21",Cecil Adair,['Adair (Cecil)'],,Nov. '21,net
52,"Adair (Cecil)-The Dean's daughter. 18mo. 6×41, pp. 254, 2s. net......S. PAUL, Aug. '21",Adair,Cecil,The Dean's daughter,S. PAUL,2s.,18mo.,"Adair (Cecil)-The Dean's daughter. 18mo. 6×41, pp. 254, 2s. net......S. PAUL, Aug. '21",Cecil Adair,['Adair (Cecil)'],,Aug. '21,net
53,"Adair (Cecil)-The Qualities of mercy. Ch. ed. 18mo. 6×4, pp. 254, 2s. net S. PAUL, June '21",Adair,Cecil,The Qualities of mercy,S. PAUL,2s.,18mo.,"Adair (Cecil)-The Qualities of mercy. Ch. ed. 18mo. 6×4, pp. 254, 2s. net S. PAUL, June '21",Cecil Adair,['Adair (Cecil)'],,June '21,net
54,"Adair (Cecil)-The Sails of life. Ch. ed. 18mo 6×41, pp. 253, 2s. net ....S. PAUL, July '21",Adair,Cecil,The Sails of life,S. PAUL,2s.,18mo,"Adair (Cecil)-The Sails of life. Ch. ed. 18mo 6×41, pp. 253, 25. net ....S. PAUL, July '21",Cecil Adair,['Adair (Cecil)'],,July '21,net
55,"Adair (Cecil)--Under the incense trees. 6th ed. 18mo. 64, pp. 254, 2s. net S. PAUL, Aug. '21",Adair,Cecil,Under the incense trees,S. PAUL,2s.,18mo.,"Adair (Cecil)--Under the incense trees. 6th ed. 18mo. 64, pp. 254, 2s. net S. PAUL, Aug. '21",Cecil Adair,['Adair (Cecil)'],,Aug. '21,net
56,"Adams (George B.)-Constitutional history of England. 8vo. 9×51, pp. 518, 21s. net J. CAPE, Nov. '21",Adams,George B.,Constitutional history of England,J. CAPE,21s.,8vo.,"Adams (George B.)-Constitutional history of England. 8vo. 9×51, pp. 518, 21s. net J. CAPE, Nov. '21",George B. Adams,['Adams (George B.)'],,Nov. '21,net
57,"Adams (Henry)-Letters to a niece; and, Prayer to the Virgin of Chartres. With a Niece's memories, by Mabel La Farge. 8vo. 91×6, pp. 134, 14s. net ...CONSTABLE, Jan. '21",Adams,Henry,"Letters to a niece; and, Prayer to the Virgin of Chartres",CONSTABLE,14s.,8vo.,"Adams (Henry)-Letters to a niece; and, Prayer to the Virgin of Chartres. With a Niece's memories, by Mabel La Farge. 8vo. 91×6, pp. 134, 14S. net ...CONSTABLE, Jan. '21",Henry Adams,['Adams (Henry)'],,Jan. '21,net
59,"Adamson (J. E.)-The Individual and the environ- ment: some aspects of the theory of education as adjustment. 8vo. 8×51, pp. 388, 14s. net LONGMANS, Dec. '21",Adamson,J. E.,The Individual and the environ- ment: some aspects of the theory of education as adjustment,LONGMANS,14s.,8vo.,"Adamson (J. E.)-The Individual and the environ- ment: some aspects of the theory of education as adjustment. 8vo. 8×51, pp. 388, 14s. net LONGMANS, Dec. '21",J. E. Adamson,['Adamson (J. E.)'],,Dec. '21,net
60,"Adamson (John William)-Pioneers of modern education, 1600-1700. 2nd impr. 8vo. 8 x 5, pp. 307, 9s. net (Contributions to the history of education ser.)......CAMB. UNIV. PR., June '21",Adamson,John William,Pioneers of modern education,CAMB. UNIV. PR.,9s.,8vo.,"Adamson (John William)-Pioneers of modern education, 1600-1700. 2nd impr. 8vo. 8 x 5, pp. 307, 9s. net (Contributions to the history of education ser.)......CAMB. UNIV. PR., June '21",John William Adamson,['Adamson (John William)'],,June '21,net
61,"Addison (Robert)-Tom of Tripoli. 18mo. 6×4, pp. 287. (Boy's pocket lib.) 28. net; (Laurel lib. boys) limp. 1s. 3d. net MILFORD, Oct. '21",Addison,Robert,Tom of Tripoli,MILFORD,1s. 3d.,18mo.,"Addison (Robert)-Tom of Tripoli. 18mo. 6×4, pp. 287. (Boy's pocket lib.) 28. net; (Laurel lib. boys) limp. Is. 3d. net MILFORD, Oct. '21",Robert Addison,['Addison (Robert)'],,Oct. '21,net
62,"Ade (George)-Hand-made fables. Illus. by John T. McCutcheon. Cr. 8vo. 71× 44, pp. 341, 6s. net ..PEARSON, Feb. '21",Ade,George,Hand-made fables,PEARSON,6s.,8vo.,"Ade (George)-Hand-made fables. Illus. by John T. McCutcheon. Cr. 8vo. 71× 44, pp. 341, 6s. net ..PEARSON, Feb. '21",George Ade,['Ade (George)'],,Feb. '21,net
63,"Adeler (Max)-Out of the hurly-burly. Ch. ed. Cr. 8vo. 74 × 44, pp. 345, 2s. net ROUTLEDGE, Feb. '21",Adeler,Max,Out of the hurly-burly,ROUTLEDGE,2s.,8vo.,"Adeler (Max)-Out of the hurly-burly. Ch. ed. Cr. 8vo. 74 × 44, pp. 345, 25. net ROUTLEDGE, Feb. '21",Max Adeler,['Adeler (Max)'],,Feb. '21,net
66,"Adlam (G. H. J.)-Chemistry. Cr. 8vo. 7×42, pp. 248, 3s. 6d. net (Science for all ser.) MURRAY, Feb. '21",Adlam,G. H. J.,Chemistry,MURRAY,3s. 6d.,8vo.,"Adlam (G. H. J.)-Chemistry. Cr. 8vo. 7×42, pp. 248, 3s. 6d. net (Science for all ser.) MURRAY, Feb. '21",G. H. J. Adlam,['Adlam (G. H. J.)'],,Feb. '21,net
104,"African (South) Museum-Annals. Vol. 18. Agriculture and Fisheries (Ministry of)-Fisheries Pt. 2. Branch. 2 plates and I engraving. Ryl. 8vo. Fishery investigations: Series 2, 10 × 61, pp. 64, 7s. 6d. net Sea fisheries. Vol. 4, pt. 5, Exploration of WHELDON & WESLEY, Apr. '21 Lousy Bank. 1s. 3d. net ..H.M.S.O., Jan. '21",African,South,Museum-Annals,H.M.S.O.,1s. 3d.,8vo.,"African (South) Museum-Annals. Vol. 18. Agriculture and Fisheries (Ministry of)-Fisheries Pt. 2. Branch. 2 plates and I engraving. Ryl. 8vo. Fishery investigations: Series 2, 10 × 61, pp. 64, 7s. 6d. net Sea fisheries. Vol. 4, pt. 5, Exploration of WHELDON & WESLEY, Apr. '21 Lousy Bank. Is. 3d. net ..H.M.S.O., Jan. '21",South African,['African (South)'],,Jan. '21,net
131,"Ahrons (E. L.)-Steam engine valves and valve gears. 18mo. 6 x 4, pp. 122, 2s. 6d. net (Pitman's Technical primers)..PITMAN, Sep. '21",Ahrons,E. L.,Steam engine valves and valve gears,PITMAN,2s. 6d.,18mo.,"Ahrons (E. L.)-Steam engine valves and valve gears. 18mo. 6 x 4, pp. 122, 2s. 6d. net (Pitman's Technical primers)..PITMAN, Sep. '21",E. L. Ahrons,['Ahrons (E. L.)'],,Sep. '21,net
132,"Ahrons (E. L.)-Steam locomotive construction and maintenance. 18mo. 6×4, pp. 134, 2s. 6d. net (Pitman's Technical primers) PITMAN, Apr. '21",Ahrons,E. L.,Steam locomotive construction and maintenance,PITMAN,2s. 6d.,18mo.,"Ahrons (E. L.)-Steam locomotive construction and maintenance. 18mo. 6×4, pp. 134, 2s. 6d. net (Pitman's Technical primers) PITMAN, Apr. '21",E. L. Ahrons,['Ahrons (E. L.)'],,Apr. '21,net
133,"Ahrons (E. L.)-The Steam railway locomotive : the component parts and method of working of modern steam railway locomotives. 18mo. 6X4, pp. 114, 2s. 6d. net (Pitman's Technical primers) .PITMAN, Jan. '21",Ahrons,E. L.,The Steam railway locomotive : the component parts and method of working of modern steam railway locomotives,PITMAN,2s. 6d.,18mo.,"Ahrons (E. L.)-The Steam railway locomotive : the component parts and method of working of modern steam railway locomotives. 18mo. 6X4, pp. 114, 2s. 6d. net (Pitman's Technical primers) .PITMAN, Jan. '21",E. L. Ahrons,['Ahrons (E. L.)'],,Jan. '21,net
134,"Aiken (Conrad)-Punch, the immortal liar: docu- ments in his history. Cr. 8vo. 7×51, pp. 96, 5s.net ...SECKER, Nov. '21",Aiken,Conrad,"Punch, the immortal liar: docu- ments in his history",SECKER,5s.,8vo.,"Aiken (Conrad)-Punch, the immortal liar: docu- ments in his history. Cr. 8vo. 7×51, pp. 96, 5s.net ...SECKER, Nov. '21",Conrad Aiken,['Aiken (Conrad)'],,Nov. '21,net
135,"Aikman (Henry G.)-Zell. Cr. 8vo. 7×51, pp. 326, 8s. 6d. net ..J. CAPE, June '21",Aikman,Henry G.,Zell,J. CAPE,8s. 6d.,8vo.,"Aikman (Henry G.)-Zell. Cr. 8vo. 7×51, pp. 326, 8s. 6d. net ..J. CAPE, June '21",Henry G. Aikman,['Aikman (Henry G.)'],,June '21,net
136,"Ainsley (Thomas L.)-A Guide book to the Board of Trade Examinations: the ordinary examina- tion. 57th ed. 8vo. 8×5, pp. 495, 12s. 6d. T. L. AINSLEY, May '21",Ainsley,Thomas L.,A Guide book to the Board of Trade Examinations: the ordinary examina- tion,T. L. AINSLEY,12s. 6d.,8vo.,"Ainsley (Thomas L.)-A Guide book to the Board of Trade Examinations: the ordinary examina- tion. 57th ed. 8vo. 8×5, pp. 495, 12s. 6d. T. L. AINSLEY, May '21",Thomas L. Ainsley,['Ainsley (Thomas L.)'],,May '21,
139,"Ainsworth (Percy C.)-The Silences of Jesus. Cr. 8vo. 7×5, pp. 92, 2s. net ........ EPWORTH PRESS, Sep. '21",Ainsworth,Percy C.,The Silences of Jesus,EPWORTH PRESS,2s.,8vo.,"Ainsworth (Percy C.)-The Silences of Jesus. Cr. 8vo. 7×5, pp. 92, 2s. net ........ EPWORTH PRESS, Sep. '21",Percy C. Ainsworth,['Ainsworth (Percy C.)'],,Sep. '21,net
140,"Ainsworth (W. Harrison)-Guy Fawkes; or, The Gunpowder treason. Ch. ed. Cr. 8vo. 7×4, pp. 310, 2s. net H. JENKINS, July '21",Ainsworth,W. Harrison,"Guy Fawkes; or, The Gunpowder treason",H. JENKINS,2s.,8vo.,"Ainsworth (W. Harrison)-Guy Fawkes; or, The Gunpowder treason. Ch. ed. Cr. 8vo. 7×4, pp. 310, 2s. net H. JENKINS, July '21",W. Harrison Ainsworth,['Ainsworth (W. Harrison)'],,July '21,net
141,"Ainsworth (W. Harrison)-The Lancashire witches: a romance of Pendle Forest. Cheap ed. Cr. 8vo. 7×4), pp. 376, 2s. net. ..H. JENKINS, July '21",Ainsworth,W. Harrison,The Lancashire witches: a romance of Pendle Forest,H. JENKINS,2s.,8vo.,"Ainsworth (W. Harrison)-The Lancashire witches: a romance of Pendle Forest. Cheap ed. Cr. 8vo. 7×4), pp. 376, 2s. net. ..H. JENKINS, July '21",W. Harrison Ainsworth,['Ainsworth (W. Harrison)'],,July '21,net
142,"Ainsworth (W. Harrison)-Ovingdean Grange: a tale of the South Downs. Ch. ed. Cr. 8vo. 7×41, pp. 319, 2s. net..H. JENK NS, Oct. '21",Ainsworth,W. Harrison,Ovingdean Grange: a tale of the South Downs,H. JENK NS,2s.,8vo.,"Ainsworth (W. Harrison)-Ovingdean Grange: a tale of the South Downs. Ch. ed. Cr. 8vo. 7×41, pp. 319, 25. net..H. JENK NS, Oct. '21",W. Harrison Ainsworth,['Ainsworth (W. Harrison)'],,Oct. '21,net
155,"Aitchison (Leslie)-Engineering steels: an ex- position of the properties of steel for engineers and users to secure economy in working and efficiency of result. 8vo. 8×51, pp. 427, 25s. .MACDONALD & EVANS, July '21",Aitchison,Leslie,Engineering steels: an ex- position of the properties of steel for engineers and users to secure economy in working and efficiency of result,MACDONALD & EVANS,25s.,8vo.,"Aitchison (Leslie)-Engineering steels: an ex- position of the properties of steel for engineers and users to secure economy in working and efficiency of result. 8vo. 8×51, pp. 427, 25s. .MACDONALD & EVANS, July '21",Leslie Aitchison,['Aitchison (Leslie)'],,July '21,
157,"Aitken (William)-Automatic telephone systems. Vol. 1, Circuits and apparatus as used in the public services. 4to. 11x81, pp. 283, 25s. net BENN BROS., Aug. '21",Aitken,William,Automatic telephone systems,BENN BROS.,25s.,4to.,"Aitken (William)-Automatic telephone systems. Vol. 1, Circuits and apparatus as used in the public services. 4to. 11x81, pp. 283, 25s. net BENN BROS., Aug. '21",William Aitken,['Aitken (William)'],,Aug. '21,net
158,"Aiyangar (S. K.)-South India and her Muham- madan invaders. 8vo. pp. 257, 15s. net MILFORD, Oct. '21",Aiyangar,S. K.,South India and her Muham- madan invaders,MILFORD,15s.,8vo.,"Aiyangar (S. K.)-South India and her Muham- madan invaders. 8vo. pp. 257, 15s. net MILFORD, Oct. '21",S. K. Aiyangar,['Aiyangar (S. K.)'],,Oct. '21,net
160,"Albanesi (E. Maria)-The House that Jane built. Cr. 8vo. 7×5, pp. 320, 7s. net WARD, LOCK, Mar. '21",Albanesi,E. Maria,The House that Jane built,"WARD, LOCK",7s.,8vo.,"Albanesi (E. Maria)-The House that Jane built. Cr. 8vo. 7×5, pp. 320, 7s. net WARD, LOCK, Mar. '21",E. Maria Albanesi,['Albanesi (E. Maria)'],,Mar. '21,net
161,"Albanesi (E. Maria)-Patricia and life. Ch. ed. 18mo. 6×41, pp. 256, 2s. net WARD, LOCK, May '21",Albanesi,E. Maria,Patricia and life,"WARD, LOCK",2s.,18mo.,"Albanesi (E. Maria)-Patricia and life. Ch. ed. 18mo. 6×41, pp. 256, 25. net WARD, LOCK, May '21",E. Maria Albanesi,['Albanesi (E. Maria)'],,May '21,net
162,"Albanesi (E. Maria)-Poppies in the corn. Ch. ed. 8vo. 8 × 51, pp. 128, swd. 1s. net HUTCHINSON, May '21",Albanesi,E. Maria,Poppies in the corn,HUTCHINSON,1s.,8vo.,"Albanesi (E. Maria)-Poppies in the corn. Ch. ed. 8vo. 8 × 51, pp. 128, swd. Is. net HUTCHINSON, May '21",E. Maria Albanesi,['Albanesi (E. Maria)'],,May '21,net
164,"Alcott (Louisa M.)-Good wives: a story for girls. Being a sequel to Little women.' Cr. 8vo. 7 X 41, pp. 256, 2s. net WARD, LOCK, Apr. '21",Alcott,Louisa M.,Good wives: a story for girls,"WARD, LOCK",2s.,8vo.,"Alcott (Louisa M.)-Good wives: a story for girls. Being a sequel to Little women.' Cr. 8vo. 7 X 41, pp. 256, 25. net WARD, LOCK, Apr. '21",Louisa M. Alcott,['Alcott (Louisa M.)'],,Apr. '21,net
165,"Alcott (Louisa M.)-Little women. 18mo. 6×4, pp. 277, 1s. 9d. net (Nelson's Stories for girls ser.) ...NELSON, Apr. '21",Alcott,Louisa M.,Little women,NELSON,1s. 9d.,18mo.,"Alcott (Louisa M.)-Little women. 18mo. 6×4, pp. 277, Is. 9d. net (Nelson's Stories for girls ser.) ...NELSON, Apr. '21",Louisa M. Alcott,['Alcott (Louisa M.)'],,Apr. '21,net
166,"Alcott (Louisa M.)-Little women. Cr. 8vo. 7 × 4, pp. 255, 2s. net WARD, LOCK, Apr. '21",Alcott,Louisa M.,Little women,"WARD, LOCK",2s.,8vo.,"Alcott (Louisa M.)-Little women. Cr. 8vo. 7 × 4, pp. 255, 2s. net WARD, LOCK, Apr. '21",Louisa M. Alcott,['Alcott (Louisa M.)'],,Apr. '21,net
167,"Alcott (Louisa M.)-Little women. Illus. by H. M. Brock. 8vo. 8 x 5, pp. 200, 3s. net SEELEY, Oct. '21",Alcott,Louisa M.,Little women,SEELEY,3s.,8vo.,"Alcott (Louisa M.)-Little women. Illus. by H. M. Brock. 8vo. 8 x 5, pp. 200, 3s. net SEELEY, Oct. '21",Louisa M. Alcott,['Alcott (Louisa M.)'],,Oct. '21,net
168,"Alden (Edward C.)-Alden's Oxford guide. Ann- ually rev. by Harry Paintin, Illus. 18mo. 6×41, pp. 142, swd. 1s. 6d. net ALDEN & CO., May '21",Alden,Edward C.,Alden's Oxford guide,ALDEN & CO.,1s. 6d.,18mo.,"Alden (Edward C.)-Alden's Oxford guide. Ann- ually rev. by Harry Paintin, Illus. 18mo. 6×41, pp. 142, swd. Is. 6d. net ALDEN & CO., May '21",Edward C. Alden,['Alden (Edward C.)'],,May '21,net
169,"Alden (Edward C.)-Alden's Oxford guide. Annually revised by Harry Paintin. Cr. 8vo. 6 × 5, pp. 166, 3s. 6d. net......ALDEN, June '21",Alden,Edward C.,Alden's Oxford guide,ALDEN,3s. 6d.,8vo.,"Alden (Edward C.)-Alden's Oxford guide. Annually revised by Harry Paintin. Cr. 8vo. 6 × 5, pp. 166, 3s. 6d. net......ALDEN, June '21",Edward C. Alden,['Alden (Edward C.)'],,June '21,net
172,"Aldrich (Mrs. Thomas Bailey)-Crowding memories Illus. 8vo. 9×6, pp. 303, 18s. net CONSTABLE, Oct. '21",Aldrich,Mrs. Thomas Bailey,Crowding memories,CONSTABLE,18s.,8vo.,"Aldrich (Mrs. Thomas Bailey)-Crowding memories Illus. 8vo. 9×6, pp. 303, 18s. net CONSTABLE, Oct. '21",Mrs. Thomas Bailey Aldrich,['Aldrich (Mrs. Thomas Bailey)'],,Oct. '21,net
174,"Alexander (F. Matthias)-Man's supreme inheri- tance. Cr. 8vo. 7s. 6d. net....METHUEN, Oct.'21",Alexander,F. Matthias,Man's supreme inheri- tance,METHUEN,7s. 6d.,8vo.,"Alexander (F. Matthias)-Man's supreme inheri- tance. Cr. 8vo. 7s. 6d. net....METHUEN, Oct.'21",F. Matthias Alexander,['Alexander (F. Matthias)'],,Oct.'21,net
175,"Alexander (Father)-A Mother's letters: a book for young women. Pref. by the Archbishop of Liverpool. Cr. 8vo. 71 × 41, pp. 112, 2s. 6d. net; swd. 1s. 6d. net..BURNS, OATES, May '21",Alexander,Father,A Mother's letters: a book for young women,"BURNS, OATES",1s. 6d.,8vo.,"Alexander (Father)-A Mother's letters: a book for young women. Pref. by the Archbishop of Liverpool. Cr. 8vo. 71 × 41, pp. 112, 2s. 6d. net; swd. Is. 6d. net..BURNS, OATES, May '21",Father Alexander,['Alexander (Father)'],,May '21,net
176,"Alexander (Helen C.) and Maclean (J. Kennedy)— Charles M. Alexander: a romance of song and soul-winning. Ryl. 8vo. 101×71, pp. 272, Ios. 6d. net MARSHALL BROS., Oct. 21",Alexander,Helen C.,Charles M. Alexander: a romance of song and soul-winning,MARSHALL BROS.,6d.,8vo.,"Alexander (Helen C.) and Maclean (J. Kennedy)— Charles M. Alexander: a romance of song and soul-winning. Ryl. 8vo. 101×71, pp. 272, Ios. 6d. net MARSHALL BROS., Oct. 21",Helen C. Alexander,"['Alexander (Helen C.)', 'Maclean (J. Kennedy)']",,Oct. 21,net
177,"Alexander (Horace G.)-Joseph Gundry Alex- ander. Cr. 8vo. 7s. 6d. net SWARTHMORE PR., Jan. '21",Alexander,Horace G.,Joseph Gundry Alex- ander,SWARTHMORE PR.,7s. 6d.,8vo.,"Alexander (Horace G.)-Joseph Gundry Alex- ander. Cr. 8vo. 7s. 6d. net SWARTHMORE PR., Jan. '21",Horace G. Alexander,['Alexander (Horace G.)'],,Jan. '21,net
178,"Alexander (S.)-Spinoza and time. With an afterword by Viscount Haldane. 18mo. 6×4, pp. 80, 2s. 6d. net, swd. 1s. net ALLEN & U., July '21",Alexander,S.,Spinoza and time,ALLEN & U.,1s.,18mo.,"Alexander (S.)-Spinoza and time. With an afterword by Viscount Haldane. 18mo. 6×4, pp. 80, 2s. 6d. net, swd. Is. net ALLEN & U., July '21",S. Alexander,['Alexander (S.)'],,July '21,net
182,"Alfieri (Vittorio)-La Virtu Sconoscuita. 18mo. pp. 30, swd. 1s. 6d. net (Camb. plain texts ser.) CAMB. UNIV. PR., Aug. '21",Alfieri,Vittorio,La Virtu Sconoscuita,CAMB. UNIV. PR.,1s. 6d.,18mo.,"Alfieri (Vittorio)-La Virtu Sconoscuita. 18mo. pp. 30, swd. Is. 6d. net (Camb. plain texts ser.) CAMB. UNIV. PR., Aug. '21",Vittorio Alfieri,['Alfieri (Vittorio)'],,Aug. '21,net
184,"Alington (Cyril)-Eton fables. Cr. 8vo. 7×5, pp. 95, 3s. 6d. net........LONGMANS, Nov. '21",Alington,Cyril,Eton fables,LONGMANS,3s. 6d.,8vo.,"Alington (Cyril)-Eton fables. Cr. 8vo. 7×5, pp. 95, 3s. 6d. net........LONGMANS, Nov. '21",Cyril Alington,['Alington (Cyril)'],,Nov. '21,net
185,"Alington (Cyril)-Twenty years: a study in the development of the party system between 1815 and 183s. 8vo. 91× 51, pp. 207, 12s. 6d. net MILFORD, May '21",Alington,Cyril,Twenty years: a study in the development of the party system between,MILFORD,12s. 6d.,8vo.,"Alington (Cyril)-Twenty years: a study in the development of the party system between 1815 and 1835. 8vo. 91× 51, pp. 207, 12s. 6d. net MILFORD, May '21",Cyril Alington,['Alington (Cyril)'],,May '21,net
187,"Allan (Charles)-The New world. 8vo. 8×5, pp. 180, 6s. net..J. M'KELVIE & SONS, Mar. '21",Allan,Charles,The New world,J. M'KELVIE & SONS,6s.,8vo.,"Allan (Charles)-The New world. 8vo. 8×5, pp. 180, 6s. net..J. M'KELVIE & SONS, Mar. '21",Charles Allan,['Allan (Charles)'],,Mar. '21,net
189,"Allan (Luke)-The Blue Wolf: a tale of the cypress hills. Cheap ed. Cr. 8vo. 7×5, pp. 311, 2s. 6d. net H. JENKINS, Oct. '21",Allan,Luke,The Blue Wolf: a tale of the cypress hills,H. JENKINS,2s. 6d.,8vo.,"Allan (Luke)-The Blue Wolf: a tale of the cypress hills. Cheap ed. Cr. 8vo. 7×5, pp. 311, 2s. 6d. net H. JENKINS, Oct. '21",Luke Allan,['Allan (Luke)'],,Oct. '21,net
190,"Allan (Luke)-The Lone trail. Cr. 8vo. 7×5, pp. 312, 7s. 6d. net.... .H. JENKINS, Oct. '21",Allan,Luke,The Lone trail,H. JENKINS,7s. 6d.,8vo.,"Allan (Luke)-The Lone trail. Cr. 8vo. 7×5, pp. 312, 7s. 6d. net.... .H. JENKINS, Oct. '21",Luke Allan,['Allan (Luke)'],,Oct. '21,net
