entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Abbott (G. F.)-1srael in Egypt. 8vo. 9 × 51. pp. 554, IOS. net MACMILLAN, June 07",Abbott,G. F.,,MACMILLAN,,8vo.,"Abbott (G. F.)-Israel in Egypt. 8vo. 9 × 51. pp. 554, IOS. net MACMILLAN, June 07",G. F. Abbott,['Abbott (G. F.)'],,June 07,1907,
"Abraham (G. D.)-The Complete Mountaineer. Illus. 8vo. 9×51, pp. 510, 158. net METHUEN, Nov. 07",Abraham,G. D.,The Complete Mountaineer,METHUEN,,8vo.,"Abraham (G. D.)-The Complete Mountaineer. Illus. 8vo. 9×51, pp. 510, 158. net METHUEN, Nov. 07",G. D. Abraham,['Abraham (G. D.)'],,Nov. 07,1907,
"Architectural Re- 1907. Pt. I. 4to., SIMPKIN, June 07",,,Architectural Re-,SIMPKIN,,4to.,"Architectural Re- 1907. Pt. I. 4to., SIMPKIN, June 07",,,,June 07,1907,
"Accounts, Public, Committee. Index and Digest of Evidence, 8fd. ...WYMAN, May 07",,,"Accounts, Public, Committee",WYMAN,,,"Accounts, Public, Committee. Index and Digest of Evidence, 8fd. ...WYMAN, May 07",,,,May 07,1907,
"Act-Army (Annual), ijd. .WYMAN, May 07",Act-Army,Annual,,WYMAN,,,"Act-Army (Annual), ijd. .WYMAN, May 07",Annual Act-Army,['Act-Army (Annual)'],,May 07,1907,
"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",Act-Consolidated Fund,No. 1,,WYMAN,,,"Act-Consolidated Fund (No. 1), jd. WYMAN, April 07",No. 1 Act-Consolidated Fund,['Act-Consolidated Fund (No. 1)'],,April 07,1907,
"Act-Irish Land, 1903, d.....WYMAN, May 07",,,Act-Irish Land,WYMAN,,,"Act-Irish Land, 1903, d.....WYMAN, May 07",,,,May 07,1907,
"Acton (Lord)-Historical Essays and Studies. Edit. by John N. Figgis and Reginald V. Laurence. 8vo. 9 X54, pp. 552, 1os. net MACMILLAN, Dec. 07",Acton,Lord,Historical Essays and Studies,MACMILLAN,,8vo.,"Acton (Lord)-Historical Essays and Studies. Edit. by John N. Figgis and Reginald V. Laurence. 8vo. 9 X54, pp. 552, 1os. net MACMILLAN, Dec. 07",Lord Acton,['Acton (Lord)'],,Dec. 07,1907,
"Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation, 9d.; Leith Burgh Order Confirmation, 6d. ; Local Govern- ment Board's Provisional Orders Confirmation (No. 13), 2s. 3d.; London County Council (Money), 1s. 6d.; South Wales Mineral Rail- way, s. WYMAN, Oct. 07",,,Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation,WYMAN,,,"Acts-Board of Education Scheme (Hulme Trust Estates Educational) Confirmation, 9d.; Leith Burgh Order Confirmation, 6d. ; Local Govern- ment Board's Provisional Orders Confirmation (No. 13), 25. 3d.; London County Council (Money), Is. 6d.; South Wales Mineral Rail- way, IS. WYMAN, Oct. 07",,,,Oct. 07,1907,
"District Tramways, 3s. 6d.; Annafield Plain and District Gas, 1s. 6d. ; Local Government Board's Provisional Order Confirmation (No. 7) s. 3d.; Inverness Royal Academy Order Confirmation, s. . . . . . . . . . . . . .WYMAN, Nov. 07",,,District Tramways,WYMAN,,,"District Tramways, 3s. 6d.; Annafield Plain and District Gas, Is. 6d. ; Local Government Board's Provisional Order Confirmation (No. 7) IS. 3d.; Inverness Royal Academy Order Confirmation, IS. . . . . . . . . . . . . .WYMAN, Nov. 07",,,,Nov. 07,1907,
