,entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
6686,"State papers (Calendar of). Colonial series, Vol. 21: America and West Indies, Dec. 1, 1702-1703. 8vo. 158.. WYMAN, Jan. 14",State papers,Calendar of,"Colonial series, Vol",WYMAN,,0.0,8vo.,"State papers (Calendar of). Colonial series, Vol. 21: America and West Indies, Dec. 1, 1702-1703. 8vo. 158.. WYMAN, Jan. 14",Calendar of State papers,['State papers (Calendar of)'],,Jan. 14,
6688,"State papers, Calendar of : Foreign series. Eliza- beth. Vol. 18, 1583-84. 8vo. 158. WYMAN, Oct. 14",,,"State papers, Calendar of : Foreign series",WYMAN,,0.0,8vo.,"State papers, Calendar of : Foreign series. Eliza- beth. Vol. 18, 1583-84. 8vo. 158. WYMAN, Oct. 14",,,,Oct. 14,
6689,"State papers (Venice), Calendar of. 1625-26. 8vo., 158. .WYMAN, Aug. 14",State papers,Venice,Calendar of,WYMAN,,0.0,8vo.,"State papers (Venice), Calendar of. 1625-26. 8vo., 158. .WYMAN, Aug. 14",Venice State papers,['State papers (Venice)'],,Aug. 14,
6692,"Statistical abstract for the United Kingdom in each of the last fifteen years, 1899 to 1913. 8vo., s. uid. WYMAN, Oct. 14",,,Statistical abstract for the United Kingdom in each of the last fifteen years,WYMAN,,0.0,8vo.,"Statistical abstract for the United Kingdom in each of the last fifteen years, 1899 to 1913. 8vo., IS. uid. WYMAN, Oct. 14",,,,Oct. 14,
6694,"Statutory rules and orders other than those of a local, personal, or temporary character, issued in 1913; with a list of statutory orders of a local character, arranged in classes, an appendix of certain orders in Council, &c., issued under the Royal Prerogative, and index. WYMAN, June 14",,,"Statutory rules and orders other than those of a local, personal, or temporary character, issued in",WYMAN,,0.0,,"Statutory rules and orders other than those of a local, personal, or temporary character, issued in 1913; with a list of statutory orders of a local character, arranged in classes, an appendix of certain orders in Council, &c., issued under the Royal Prerogative, and index. WYMAN, June 14",,,,June 14,
6696,"Statutory rules and orders—Procedure: the rules of the Salford Hundred Court of Record, 1912 WYMAN, Feb. 14",,,Statutory rules and orders—Procedure: the rules of the Salford Hundred Court of Record,WYMAN,,0.0,,"Statutory rules and orders—Procedure: the rules of the Salford Hundred Court of Record, 1912 WYMAN, Feb. 14",,,,Feb. 14,
6699,"Steamship subsidies—Return of all sums payable out of the Exchequer of the U.K. in 1912-13 in respect of steamship subsidies for foreign and colonial services, }d. .. WYMAN, Apr. 14",,,Steamship subsidies—Return of all sums payable out of the Exchequer of the U.K. in,WYMAN,,0.0,,"Steamship subsidies—Return of all sums payable out of the Exchequer of the U.K. in 1912-13 in respect of steamship subsidies for foreign and colonial services, }d. .. WYMAN, Apr. 14",,,,Apr. 14,
6714,"Steinhell (Marguerite) — My memoirs. Pop. edit. 8vo. 81 X54, pp. 484, 28. net ..NASH, June 14",Steinhell,Marguerite,My memoirs,NASH,,0.0,8vo.,"Steinhell (Marguerite) — My memoirs. Pop. edit. 8vo. 81 X54, pp. 484, 28. net ..NASH, June 14",Marguerite Steinhell,['Steinhell (Marguerite)'],,June 14,
6725,"Stephens (Winifred)-From the Crusades to the French Revolution : a history of the La Trémoille family. Illus. 8vo. 9 X54, pp. 358, Ios. 6d. net...... ..CoxsTABLE, Jan. 14",Stephens,Winifred,From the Crusades to the French Revolution : a history of the La Trémoille family,TABLE,,0.0,8vo.,"Stephens (Winifred)-From the Crusades to the French Revolution : a history of the La Trémoille family. Illus. 8vo. 9 X54, pp. 358, Ios. 6d. net...... ..CoxsTABLE, Jan. 14",Winifred Stephens,['Stephens (Winifred)'],,Jan. 14,
6729,"Sterile marriage : its causes and curative treat- ment; by a West End Physician. 8vo., 39. 60. (38, Gracechurch St.) G. Ii. SHELLEY, May 14",,,Sterile marriage : its causes and curative treat- ment; by a West End Physician,SHELLEY,,0.0,8vo.,"Sterile marriage : its causes and curative treat- ment; by a West End Physician. 8vo., 39. 60. (38, Gracechurch St.) G. Ii. SHELLEY, May 14",,,,May 14,
6736,"Steveni (W. Barnes)-The Russian army from within. Cr. 8vo. 78 X 5, pp. 188, 2s. 6d. net ; swd. 28. net .. HODDER & S., Sep. 14",Steveni,W. Barnes,The Russian army from within,HODDER & S.,,0.0,8vo.,"Steveni (W. Barnes)-The Russian army from within. Cr. 8vo. 78 X 5, pp. 188, 25. 6d. net ; swd. 28. net .. HODDER & S., Sep. 14",W. Barnes Steveni,['Steveni (W. Barnes)'],,Sep. 14,
6740,"Stevens (E. S.)-The Mountain of God. 8vo. swd. 60. .NEWNES, June 14",Stevens,E. S.,The Mountain of God,NEWNES,,0.0,8vo.,"Stevens (E. S.)-The Mountain of God. 8vo. swd. 60. .NEWNES, June 14",E. S. Stevens,['Stevens (E. S.)'],,June 14,
6746,"Stevenson (J. H.)-Heraldry in Scotland : in- cluding a recension of The Law and practice of heraldry in Scotland, by the late George Seton, Advocate. 2 vols. Illus. 4to. 10+ *7}, pp. 562, canvas 84s. net; edition de luxe 2 IOS. net . MACLEHOSE, Apr. 14",Stevenson,J. H.,"Heraldry in Scotland : in- cluding a recension of The Law and practice of heraldry in Scotland, by the late George Seton, Advocate",MACLEHOSE,,0.0,4to.,"Stevenson (J. H.)-Heraldry in Scotland : in- cluding a recension of The Law and practice of heraldry in Scotland, by the late George Seton, Advocate. 2 vols. Illus. 4to. 10+ *7}, pp. 562, canvas 845. net; edition de luxe 2 IOS. net . MACLEHOSE, Apr. 14",J. H. Stevenson,['Stevenson (J. H.)'],,Apr. 14,
6747,"Stevenson (Robert Louis) —Calendar, 191s. is. net .. SIMPKIN, July 14",Stevenson,Robert Louis,Calendar,SIMPKIN,,0.0,,"Stevenson (Robert Louis) —Calendar, 1915. is. net .. SIMPKIN, July 14",Robert Louis Stevenson,['Stevenson (Robert Louis)'],,July 14,
6749,"Stevenson (Robert Louis)-Kidnapped. Pop. edit. Cr. 8vo., pp. 328, is, net ....CASSELL, Mar. 14",Stevenson,Robert Louis,Kidnapped,CASSELL,,0.0,8vo.,"Stevenson (Robert Louis)-Kidnapped. Pop. edit. Cr. 8vo., pp. 328, is, net ....CASSELL, Mar. 14",Robert Louis Stevenson,['Stevenson (Robert Louis)'],,Mar. 14,
6750,"Stevenson (Robert Louis) -Lay morals, and other papers. 12mo. 61 X 4, pp. 336, 2s. net ; Ithr. 3s. net. (St. Martin's library! CHATTO, Oct. 14",Stevenson,Robert Louis,"Lay morals, and other papers",CHATTO,,0.0,12mo.,"Stevenson (Robert Louis) -Lay morals, and other papers. 12mo. 61 X 4, pp. 336, 2s. net ; Ithr. 3s. net. (St. Martin's library! CHATTO, Oct. 14",Robert Louis Stevenson,['Stevenson (Robert Louis)'],,Oct. 14,
6751,"Stevenson (Robert Louis)-A Lodging for the night 16mo., pp. 54, bds. is, net ..CHATTO, Oct. 14",Stevenson,Robert Louis,A Lodging for the night,CHATTO,,0.0,16mo.,"Stevenson (Robert Louis)-A Lodging for the night 16mo., pp. 54, bds. is, net ..CHATTO, Oct. 14",Robert Louis Stevenson,['Stevenson (Robert Louis)'],,Oct. 14,
6752,"Stevenson (Robert Louis)-St. Ives. 12mo., PP. 328, is. net. (Wayfarers' library;) DENT, June 14",Stevenson,Robert Louis,St,DENT,,0.0,12mo.,"Stevenson (Robert Louis)-St. Ives. 12mo., PP. 328, is. net. (Wayfarers' library;) DENT, June 14",Robert Louis Stevenson,['Stevenson (Robert Louis)'],,June 14,
6753,"Stocker (R. Dimsdale) ed.—Jottings from Pepys. 16mo. 34 X2}, Ithr. is. net (Langham booklets, 148) .. SIEGLE, H., June 14",Stocker,R. Dimsdale,Jottings from Pepys,"SIEGLE, H.",,0.0,16mo.,"Stocker (R. Dimsdale) ed.—Jottings from Pepys. 16mo. 34 X2}, Ithr. is. net (Langham booklets, 148) .. SIEGLE, H., June 14",R. Dimsdale Stocker,['Stocker (R. Dimsdale)'],ed.,June 14,
6756,"Stockton (C. G.)—Diseases of the stomach and their relation to other diseases. 8vo., 258. net APPLETON, July 14",Stockton,C. G.,Diseases of the stomach and their relation to other diseases,APPLETON,,0.0,8vo.,"Stockton (C. G.)—Diseases of the stomach and their relation to other diseases. 8vo., 258. net APPLETON, July 14",C. G. Stockton,['Stockton (C. G.)'],,July 14,
