entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Acharnians, Aristophanes (ed. by Elliott) 14s. net Acharnians, Aristophanes, (Oxford U.D.S.) is. net Acharya (Madhava)—The Sarva-Darsana-Sam- graha. Trans. by E. B. Cowell and A. E. Gough. Re-issue. Cr. 8vo. 7s. 6d. net K. PAUL, Apr. 14","Acharnians, Aristophanes",ed. by Elliott,,K. PAUL,7s. 6d.,8vo.,"Acharnians, Aristophanes (ed. by Elliott) 14s. net Acharnians, Aristophanes, (Oxford U.D.S.) is. net Acharya (Madhava)—The Sarva-Darsana-Sam- graha. Trans. by E. B. Cowell and A. E. Gough. Re-issue. Cr. 8vo. 75. 6d. net K. PAUL, Apr. 14","ed. by Elliott Acharnians, Aristophanes","['Acharnians, Aristophanes (ed. by Elliott)']",,Apr. 14,net
"Acts-Consolidated Fund (No. 1). }d. WYMAN, Apr. 14",Acts-Consolidated Fund,No. 1,,WYMAN,,,"Acts-Consolidated Fund (No. 1). }d. WYMAN, Apr. 14",No. 1 Acts-Consolidated Fund,['Acts-Consolidated Fund (No. 1)'],,Apr. 14,
"Afterthoughts: poems, Mursell (W. A.) 3s. 6d. net..... Against home rule: the case for the Union. By various writers. Re-issue. 8vo. bds. is. net WARNE, Mar. 14","Afterthoughts: poems, Mursell",W. A.,,WARNE,,8vo.,"Afterthoughts: poems, Mursell (W. A.) 3s. 6d. net..... Against home rule: the case for the Union. By various writers. Re-issue. 8vo. bds. is. net WARNE, Mar. 14","W. A. Afterthoughts: poems, Mursell","['Afterthoughts: poems, Mursell (W. A.)']",,Mar. 14,
"Animals, Concerning, &c., Aitken (E. H.) 6s. net : s, Oct. 14",,,,,,,"Animals, Concerning, &c., Aitken (E. H.) 6s. net : IS, Oct. 14",,,,,
"12mo. s. Animals' Friend (The). Vol. 20. Ryl. 8vo. 28. 6. OFFICE, Oct. 14",,,,OFFICE,,8vo.,"I 2mo. IS. Animals' Friend (The). Vol. 20. Ryl. 8vo. 28. 6. OFFICE, Oct. 14",,,,Oct. 14,
"Army-Cyclist training (provisional) 1914, 3d. WYMAN, Aug. 14",Army-Cyclist training,provisional,,WYMAN,3d.,,"Army-Cyclist training (provisional) 1914, 3d. WYMAN, Aug. 14",provisional Army-Cyclist training,['Army-Cyclist training (provisional)'],,Aug. 14,
"Army-Estimate (supplementary) 1913–14. fd. WYMAN, Feb. 14",Army-Estimate,supplementary,,WYMAN,,,"Army-Estimate (supplementary) 1913–14. fd. WYMAN, Feb. 14",supplementary Army-Estimate,['Army-Estimate (supplementary)'],,Feb. 14,
"Army-Estimate (Supplementary) 1913-14, $d. WYMAN, Mar. 14",Army-Estimate,Supplementary,,WYMAN,,,"Army-Estimate (Supplementary) 1913-14, $d. WYMAN, Mar. 14",Supplementary Army-Estimate,['Army-Estimate (Supplementary)'],,Mar. 14,
"Army-Special Reserve (Interim report of Com- mittee). 1d. WYMAN, Mar. 14",Army-Special Reserve,Interim report of Com- mittee,,WYMAN,1d.,,"Army-Special Reserve (Interim report of Com- mittee). 1d. WYMAN, Mar. 14",Interim report of Com- mittee Army-Special Reserve,['Army-Special Reserve (Interim report of Com- mittee)'],,Mar. 14,
"Army-Transport, Mechanical : regulations for the appointment of inspectors of, id. WYMAN, May 14",,,,WYMAN,,,"Army-Transport, Mechanical : regulations for the appointment of inspectors of, id. WYMAN, May 14",,,,May 14,
"Army-Works manual (War). Appendix I. id. WYMAN, Mar. 14",Army-Works manual,War,,WYMAN,,,"Army-Works manual (War). Appendix I. id. WYMAN, Mar. 14",War Army-Works manual,['Army-Works manual (War)'],,Mar. 14,
"Belgium--Fifth report of the Commission of Enquiry on the violation of the rules of Inter- national Law and of the Laws and Customs of Warfare, id. WYMAN, Oct. 14",,,,WYMAN,,,"Belgium--Fifth report of the Commission of Enquiry on the violation of the rules of Inter- national Law and of the Laws and Customs of Warfare, id. WYMAN, Oct. 14",,,,Oct. 14,
"Blantyre-alien, Sullivan (A.) 6s... Blashfield (E. H.)-Mural painting in America. 8vo., 8s. 6d. net BATS FORD, Feb. 14","Blantyre-alien, Sullivan",A.,,BATS FORD,8s. 6d.,8vo.,"Blantyre-alien, Sullivan (A.) 6s... Blashfield (E. H.)-Mural painting in America. 8vo., 8s. 6d. net BATS FORD, Feb. 14","A. Blantyre-alien, Sullivan","['Blantyre-alien, Sullivan (A.)']",,Feb. 14,net
"Bones, Canterbury, Beazeley (M.) 1s. 6d. net BOOK-KEEPING Bonner (Carey) ed. —Child songs : for the primary and junior departments of Sunday and day schools and for home singing. Roy. 8vo 10} 7, pp. 208, 3s. net; limp, 2s. 6d. net ; swd. 2s. net PILGRIM PRESS, Aug. 14","Bones, Canterbury, Beazeley",M.,,PILGRIM PRESS,2s.,8vo,"Bones, Canterbury, Beazeley (M.) Is. 6d. net BOOK-KEEPING Bonner (Carey) ed. —Child songs : for the primary and junior departments of Sunday and day schools and for home singing. Roy. 8vo 10} 7, pp. 208, 35. net; limp, 25. 6d. net ; swd. 25. net PILGRIM PRESS, Aug. 14","M. Bones, Canterbury, Beazeley","['Bones, Canterbury, Beazeley (M.)']",,Aug. 14,net
