entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Afghan War (Second) 1878-80. Abridica Onlicial Account. Produced in the Intelligence Branch Army Head- Quarters, India. 8vo. 9 X6, PP. 744, 2S. net MURRAY, Jan. 08",Afghan War,Second,,MURRAY,,8vo.,"Afghan War (Second) 1878-80. Abridica Onlicial Account. Produced in the Intelligence Branch Army Head- Quarters, India. 8vo. 9 X6, PP. 744, 2IS. net MURRAY, Jan. 08",Second Afghan War,['Afghan War (Second)'],,Jan. 08,
"Allen (I. V.)-- 1 Parable of the Rose, and other Poemis. Cr. 8vo. 5s. net.. PUTNAM, Dec. 08",Allen,I. V.,,PUTNAM,5s.,8vo.,"Allen (I. V.)-- 1 Parable of the Rose, and other Poemis. Cr. 8vo. 55. net.. PUTNAM, Dec. 08",I. V. Allen,['Allen (I. V.)'],,Dec. 08,net
"Another Miie, &c., (hapnian (J. W.) 2s. net Nov. os Anson (William R., Sir)-The Law and Custom of the Constitution, Vol. 2, Part 2, 3rd edit. Svo. 9 X5, pp. 372, s. 60, net (Clarendon Press) FROWDE, Nov. 08","Another Miie, &c.,",hapnian (J. W.,,FROWDE,,,"Another Miie, &c., (hapnian (J. W.) 25. net Nov. os Anson (William R., Sir)-The Law and Custom of the Constitution, Vol. 2, Part 2, 3rd edit. Svo. 9 X5, pp. 372, s. 60, net (Clarendon Press) FROWDE, Nov. 08","hapnian (J. W. Another Miie, &c.,","['Another Miie, &c., (hapnian (J. W.)']",,Nov. 08,
"Army-Return showing Total Number of Officers and Men in various countries of Europe, id. WYMAN, Mar. 08",,,,WYMAN,,,"Army-Return showing Total Number of Officers and Men in various countries of Europe, id. WYMAN, Mar. 08",,,,Mar. 08,
"Army (Territorial Force): Report on the pro- gress made in constituting the Medical Service, id. WYMAN, July 08",Army,Territorial Force,,WYMAN,,,"Army (Territorial Force): Report on the pro- gress made in constituting the Medical Service, id. WYMAN, July 08",Territorial Force Army,['Army (Territorial Force)'],,July 08,
"Bank Rate, Gibson (1. H.) 28. Od. net .. Jan, os Bankart (George P.)-The Art of the Plasterer. Illus. Folio 12 X8., pp. 362, 258. net BATSFORD, Dec. 08","Bank Rate, Gibson",1. H.,,BATSFORD,,,"Bank Rate, Gibson (1. H.) 28. Od. net .. Jan, os Bankart (George P.)-The Art of the Plasterer. Illus. Folio 12 X8., pp. 362, 258. net BATSFORD, Dec. 08","1. H. Bank Rate, Gibson","['Bank Rate, Gibson (1. H.)']",,Dec. 08,
"Banks (Mrs. L. E.)-Dick and Pip (A. L. Gem Readers No. 2). 5 illus. Ryl. 16mo. 4*X6, pp. ..E. J. ARNOLD, May 08",,,,E. J. ARNOLD,,16mo.,"Banks (Mrs. L. E.)-Dick and Pip (A. L. Gem Readers No. 2). 5 illus. Ryl. 16mo. 4*X6, pp. ..E. J. ARNOLD, May 08",,"['Banks (Mrs. L. E.)-Dick', 'Pip (A. L. Gem Readers No. 2)']",,May 08,
"Barnard (S.) and Chill (J. 2.)-1 New Algebra. Vol. 1, containing Parts I, 2 and 3, with Answers. Cr. 8vo. 7! X 43, pp. 384, 28. 60. MACMILLAN, Sep. 08",Barnard,S.,,MACMILLAN,,8vo.,"Barnard (S.) and Chill (J. 2.)-1 New Algebra. Vol. 1, containing Parts I, 2 and 3, with Answers. Cr. 8vo. 7! X 43, pp. 384, 28. 60. MACMILLAN, Sep. 08",S. Barnard,"['Barnard (S.)', 'Chill (J. 2.)']",,Sep. 08,
"Baxter Family, Askew (A. and C.) 6d. ..April 03 Bayley (Harold)--The Shakespeare Symphony. An introduction to the Ethics of the liliza- bethan Drama. New and cheaper edit. Svo. S} X5], pp. 404, 7s. 60. net CHAPMIX & 11., Nov. os Baylis (Barnard) -- The Voice in Education, its Place and Training. Cr. 8vo. 71 X 5, pp. 128, 28. net LOI, Julv ob Bayliss (Wm.)--The Nature of Enzyme Action. Cr. 8vo. Zs. net.... ..LONGMAXS, Oct. 08","Baxter Family, Askew",A.,,LONGMAXS,,8vo.,"Baxter Family, Askew (A. and C.) 6d. ..April 03 Bayley (Harold)--The Shakespeare Symphony. An introduction to the Ethics of the liliza- bethan Drama. New and cheaper edit. Svo. S} X5], pp. 404, 75. 60. net CHAPMIX & 11., Nov. os Baylis (Barnard) -- The Voice in Education, its Place and Training. Cr. 8vo. 71 X 5, pp. 128, 28. net LOI, Julv ob Bayliss (Wm.)--The Nature of Enzyme Action. Cr. 8vo. Zs. net.... ..LONGMAXS, Oct. 08","A. Baxter Family, Askew","['Baxter Family, Askew (A.)', 'Baxter Family, Askew (C.)']",,Oct. 08,
"F. GRIFFITHS, Mar. 08",,,,F. GRIFFITHS,,,"F. GRIFFITHS, Mar. 08",,,,Mar. 08,
