entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Alasko-Canadian Frontier,Balch (T. W.) 58. Dec. 02 Albanesi (E. Maria)-Blunder of an Innocent. New ed. cr. 8vo. 71 × 5, pp. 822, 6s. METHUEN, Mar. 04","Alasko-Canadian Frontier,Balch",T. W.,,METHUEN,6s.,8vo.,"Alasko-Canadian Frontier,Balch (T. W.) 58. Dec. 02 Albanesi (E. Maria)-Blunder of an Innocent. New ed. cr. 8vo. 71 × 5, pp. 822, 6s. METHUEN, Mar. 04","T. W. Alasko-Canadian Frontier,Balch","['Alasko-Canadian Frontier,Balch (T. W.)']",,Mar. 04,1904,
"Anatomy, Trainer's, Marshall (Alex.) 48. 6d. net Ancestor (The). No. 8. January 1904. Imp. ………………..CONSTABLE, Jan. 04","Anatomy, Trainer's, Marshall",Alex.,,CONSTABLE,,,"Anatomy, Trainer's, Marshall (Alex.) 48. 6d. net Ancestor (The). No. 8. January 1904. Imp. ………………..CONSTABLE, Jan. 04","Alex. Anatomy, Trainer's, Marshall","[""Anatomy, Trainer's, Marshall (Alex.)""]",,Jan. 04,1904,
"Apples, Oranges, Dyson (S. L.) 1s. 6d. Appleton (G. W.)-Lady in Sables: Novel. Cr. 8vo. 73 × 43, pp. 898, 6s............CHATTO, May 04","Apples, Oranges, Dyson",S. L.,,CHATTO,6s.,8vo.,"Apples, Oranges, Dyson (S. L.) 1s. 6d. Appleton (G. W.)-Lady in Sables: Novel. Cr. 8vo. 73 × 43, pp. 898, 6s............CHATTO, May 04","S. L. Apples, Oranges, Dyson","['Apples, Oranges, Dyson (S. L.)']",,May 04,1904,
"Arachnia, Robertson (Jas.) 5s. net ROUTLEDGE, Aug. 04","Arachnia, Robertson",Jas.,,ROUTLEDGE,5s.,,"Arachnia, Robertson (Jas.) 5s. net ROUTLEDGE, Aug. 04","Jas. Arachnia, Robertson","['Arachnia, Robertson (Jas.)']",,Aug. 04,1904,net
"Aungervile (Ricardus d') Bishop of Durham-see RICHARDS, Sep. 04",Aungervile,Ricardus d',,RICHARDS,,,"Aungervile (Ricardus d') Bishop of Durham-see RICHARDS, Sep. 04",Ricardus d' Aungervile,"[""Aungervile (Ricardus d')""]",,Sep. 04,1904,
"Basutoland, in, Burton (M. S. B.) 6d..........Oct. 02 Batchelor (Anne)-Little Golden Hair and the Three Bears. Illus. 8vo. 5 × 3, pp. 112, 1s. 6d. NISBET, Sep. 04","Basutoland, in, Burton",M. S. B.,,NISBET,1s. 6d.,8vo.,"Basutoland, in, Burton (M. S. B.) 6d..........Oct. 02 Batchelor (Anne)-Little Golden Hair and the Three Bears. Illus. 8vo. 5 × 3, pp. 112, 1s. 6d. NISBET, Sep. 04","M. S. B. Basutoland, in, Burton","['Basutoland, in, Burton (M. S. B.)']",,Sep. 04,1904,
"Bradbury (Fred)-Carpet Manufacture (treating of Brussels, Wilton Tapestry, Axminster, Chenille Ax, Kidderminster, Scotch, and Ingrain Carpets). 250 Illus., 8vo. pp. 300, 10s. net (Langdale House, Halifax) AUTHOR, Nov. 04",,,,AUTHOR,10s.,8vo.,"Bradbury (Fred)-Carpet Manufacture (treating of Brussels, Wilton Tapestry, Axminster, Chenille Ax, Kidderminster, Scotch, and Ingrain Carpets). 250 Illus., 8vo. pp. 300, 10s. net (Langdale House, Halifax) AUTHOR, Nov. 04",,"['Bradbury (Fred)-Carpet Manufacture (treating of Brussels, Wilton Tapestry, Axminster, Chenille Ax, Kidderminster, Scotch,)', '-Carpet Manufacture (Ingrain Carpets)']",,Nov. 04,1904,net
"Breathing, Miles (Eustace) 1s......... Brebner (P. J.)-Mr. Quixley of the Gate House. Illus. Cr. 8vo. 74 × 5, pp. 300, 3s. 6d. WARNE, Aug. 04","Breathing, Miles",Eustace,,WARNE,3s. 6d.,8vo.,"Breathing, Miles (Eustace) 1s......... Brebner (P. J.)-Mr. Quixley of the Gate House. Illus. Cr. 8vo. 74 × 5, pp. 300, 3s. 6d. WARNE, Aug. 04","Eustace Breathing, Miles","['Breathing, Miles (Eustace)']",,Aug. 04,1904,
"Brethren, Haggard (H. Rider) 6s. Brett (J.)-Witness of Love. Some Mysteries of Divine Love revealed in the Passion of our Holy Redeemer. Cr. 8vo. 7 × 44, pp. 66, 2s. net LONGMANS, Jan. 04","Brethren, Haggard",H. Rider,,LONGMANS,2s.,8vo.,"Brethren, Haggard (H. Rider) 6s. Brett (J.)-Witness of Love. Some Mysteries of Divine Love revealed in the Passion of our Holy Redeemer. Cr. 8vo. 7 × 44, pp. 66, 2s. net LONGMANS, Jan. 04","H. Rider Brethren, Haggard","['Brethren, Haggard (H. Rider)']",,Jan. 04,1904,net
"Cr. 8vo. 2s. 6d. .DEAN, Oct. 04",,,,DEAN,2s. 6d.,8vo.,"Cr. 8vo. 2s. 6d. .DEAN, Oct. 04",,,,Oct. 04,1904,
