entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Air-ship &c., Fletcher (J. S.) 6s. 51 Illus. Cr. 8vo. 7x 47, pp. 182, 3s. 6d. net (Great Public Schools) BELL, Mar. 02","Air-ship &c., Fletcher",J. S.,,BELL,3s. 6d.,8vo.,"Air-ship &c., Fletcher (J. S.) 6s. 51 Illus. Cr. 8vo. 7x 47, pp. 182, 3s. 6d. net (Great Public Schools) BELL, Mar. 02","J. S. Air-ship &c., Fletcher","['Air-ship &c., Fletcher (J. S.)']",,Mar. 02,1902,net
"Albemarle Papers, Terry (C. S.) 21s. Airy (R.)-Westminster. Albert (E.)-Diagnosis of Surgical Diseases. 8vo. ..HIRSCHFELD, June 02","Albemarle Papers, Terry",C. S.,,HIRSCHFELD,,8vo.,"Albemarle Papers, Terry (C. S.) 21s. Airy (R.)-Westminster. Albert (E.)-Diagnosis of Surgical Diseases. 8vo. ..HIRSCHFELD, June 02","C. S. Albemarle Papers, Terry","['Albemarle Papers, Terry (C. S.)']",,June 02,1902,
"Cr. 8vo. UNWIN, Jan. 02",,,,UNWIN,,8vo.,"Cr. 8vo. UNWIN, Jan. 02",,,,Jan. 02,1902,
"2s. 6d. net... Alford (M.)-Latin Passages for Translation. Cr. 8vo. 7 x 4, pp. 264, 8s.... MACMILLAN, Mar. 02",,,,MACMILLAN,8s.,8vo.,"2s. 6d. net... Alford (M.)-Latin Passages for Translation. Cr. 8vo. 7 x 4, pp. 264, 8s.... MACMILLAN, Mar. 02",,,,Mar. 02,1902,
"Cr. 8vo. 1s. 6d. Alger (J. G.)-Paris in 1789-94: Farewell Letters of Victims of the Guillotine. With Plan. 8vo. 9 × 5, pp. 564, 10s. 6d.............G. ALLEN, Sep. 02",,,,G. ALLEN,10s. 6d.,8vo.,"Cr. 8vo. 1s. 6d. Alger (J. G.)-Paris in 1789-94: Farewell Letters of Victims of the Guillotine. With Plan. 8vo. 9 × 5, pp. 564, 10s. 6d.............G. ALLEN, Sep. 02",,,,Sep. 02,1902,
"All True, Forster (Jos.) 6d. ....... Allen (A.)—Nemesis; or, Visions of a Night. Cr. 8vo. swd. 18. ..STOCKWELL, Sep. 02","All True, Forster",Jos.,,STOCKWELL,,8vo.,"All True, Forster (Jos.) 6d. ....... Allen (A.)—Nemesis; or, Visions of a Night. Cr. 8vo. swd. 18. ..STOCKWELL, Sep. 02","Jos. All True, Forster","['All True, Forster (Jos.)']",,Sep. 02,1902,
"13. Annual Charities' Register and Digest: Classified Register of Charities in or available for the Metropolis, with a Digest of Information respect- means for ing Legal, Voluntary, and other Prevention and Relief of Distress, and Improve- ment of Condition of the Poor; and Elaborate Index. Intro. by C. S. Loch. 8vo. 48. LONGMANS, Mar. 02",,,,LONGMANS,,8vo.,"13. Annual Charities' Register and Digest: Classified Register of Charities in or available for the Metropolis, with a Digest of Information respect- means for ing Legal, Voluntary, and other Prevention and Relief of Distress, and Improve- ment of Condition of the Poor; and Elaborate Index. Intro. by C. S. Loch. 8vo. 48. LONGMANS, Mar. 02",,,,Mar. 02,1902,
"25s. 82mo. Appian-Civil Wars. Book 1. Ed., with Notes, by J. L. Strachan-Davidson. Cr. 8vo. 8s. 6d. FROWDE, Dec. 02",,,,FROWDE,8s. 6d.,82mo.,"25s. 82mo. Appian-Civil Wars. Book 1. Ed., with Notes, by J. L. Strachan-Davidson. Cr. 8vo. 8s. 6d. FROWDE, Dec. 02",,,,Dec. 02,1902,
"73× 43, pp. 294, 3s. 6d. Appleton (H. C.)-Bad Mrs. Ginger. 5 × 3, pp. 96, 1s. 6d. (Dumpy Books for Children) RICHARDS, Oct. 02",,,,RICHARDS,1s. 6d.,,"73× 43, pp. 294, 3s. 6d. Appleton (H. C.)-Bad Mrs. Ginger. 5 × 3, pp. 96, 1s. 6d. (Dumpy Books for Children) RICHARDS, Oct. 02",,,,Oct. 02,1902,
"21s.net Art Lover's Portfolio, 1908. HEINEMANN, Dec. 02",,,,HEINEMANN,,,"21s.net Art Lover's Portfolio, 1908. HEINEMANN, Dec. 02",,,,Dec. 02,1902,
"Badmanstow, Haverfield (E. L.) 6s……………………………….( Badminton Magazine of Sports and Pastimes. Vol. 14. 8vo. 78. 6d. net......HEINEMANN, July 02","Badmanstow, Haverfield",E. L.,,HEINEMANN,6d.,8vo.,"Badmanstow, Haverfield (E. L.) 6s……………………………….( Badminton Magazine of Sports and Pastimes. Vol. 14. 8vo. 78. 6d. net......HEINEMANN, July 02","E. L. Badmanstow, Haverfield","['Badmanstow, Haverfield (E. L.)']",,July 02,1902,net
"228, 10s. 6d. net........ Baird (W. J., Mrs.)-A Selection of 700 Chess Problems from her Compositions. Portr. Imp. .SOTHERAN, June 02",,,,SOTHERAN,,,"228, 10s. 6d. net........ Baird (W. J., Mrs.)-A Selection of 700 Chess Problems from her Compositions. Portr. Imp. .SOTHERAN, June 02",,,,June 02,1902,
"8vo. 10s. 6d. net Baird (W. J., Mrs.)-700 Chess Problems. Roy. ..SOTHERAN, Sep. 02",,,,SOTHERAN,,,"8vo. 10s. 6d. net Baird (W. J., Mrs.)-700 Chess Problems. Roy. ..SOTHERAN, Sep. 02",,,,Sep. 02,1902,
"Cr. 8vo. 4s. 6d. Baldwin (J. M.) - Development and Evolution. .MACMILLAN, Aug. 02",,,,MACMILLAN,,8vo.,"Cr. 8vo. 4s. 6d. Baldwin (J. M.) - Development and Evolution. .MACMILLAN, Aug. 02",,,,Aug. 02,1902,
"396, 5s. net Bale (J.)-Index Britanniæ Scriptorum. Index of British and other Writers. Ed. by R. Lane 4to. 37s. 6d.; swd. Poole and Mary Bateson. 35s. (Anecdota Oxoniensia)......FROWDE, Oct. 02",,,,FROWDE,35s.,4to.,"396, 5s. net Bale (J.)-Index Britanniæ Scriptorum. Index of British and other Writers. Ed. by R. Lane 4to. 37s. 6d.; swd. Poole and Mary Bateson. 35s. (Anecdota Oxoniensia)......FROWDE, Oct. 02",,,,Oct. 02,1902,
"Cr. 8vo. 74 × 5, pp. 296, 6s. Balfour (A.)-To Arms. Ch. ed. cr. 8vo. 7×5, .METHUEN, Apr. 02",,,,METHUEN,,8vo.,"Cr. 8vo. 74 × 5, pp. 296, 6s. Balfour (A.)-To Arms. Ch. ed. cr. 8vo. 7×5, .METHUEN, Apr. 02",,,,Apr. 02,1902,
"Ballantyne (R. M.)-1sland Queen. New ed. cr. 8vo. pp. 268, 1s. 6d. ........ .NISBET, Feb. 02",Ballantyne,R. M.,,NISBET,1s. 6d.,8vo.,"Ballantyne (R. M.)-Island Queen. New ed. cr. 8vo. pp. 268, 1s. 6d. ........ .NISBET, Feb. 02",R. M. Ballantyne,['Ballantyne (R. M.)'],,Feb. 02,1902,
"Barcali, Lampen (C. Dudley) 3s. 6d. Barclay (P.)-On the Atonement. Cr. 8vo. swd. ...R. W. HUNTER, Mar. 02","Barcali, Lampen",C. Dudley,,R. W. HUNTER,,8vo.,"Barcali, Lampen (C. Dudley) 3s. 6d. Barclay (P.)-On the Atonement. Cr. 8vo. swd. ...R. W. HUNTER, Mar. 02","C. Dudley Barcali, Lampen","['Barcali, Lampen (C. Dudley)']",,Mar. 02,1902,
"Cr. 8vo. 5s. net Baring (Max)-Troubles of a Shovel Hat, and other Stories. 3rd ed. cr. 8vo. swd. 6d. SIMPKIN, July 02",,,,SIMPKIN,6d.,8vo.,"Cr. 8vo. 5s. net Baring (Max)-Troubles of a Shovel Hat, and other Stories. 3rd ed. cr. 8vo. swd. 6d. SIMPKIN, July 02",,,,July 02,1902,
"4to. 4s. 6d. Barnes (H. T.) On the Capacity for Heat of Water between the Freezing and Boiling Points, together with a Determination of the Mechanical Equivalent of Heat in Terms of the International Electrical Units. 4to. 6s. ..……………..DULAU, Aug. 02",,,,DULAU,,4to.,"4to. 4s. 6d. Barnes (H. T.) On the Capacity for Heat of Water between the Freezing and Boiling Points, together with a Determination of the Mechanical Equivalent of Heat in Terms of the International Electrical Units. 4to. 6s. ..……………..DULAU, Aug. 02",,,,Aug. 02,1902,
"Barnum (P. T.), Benton (Joel) 58. Baron (R. R. N.)-French Prose Composition. Cr. 8vo. 7 x 5, pp. 134, 2s. 6d. METHUEN, Jan. 02",,,,METHUEN,2s. 6d.,8vo.,"Barnum (P. T.), Benton (Joel) 58. Baron (R. R. N.)-French Prose Composition. Cr. 8vo. 7 x 5, pp. 134, 2s. 6d. METHUEN, Jan. 02",,"['Barnum (P. T.), Benton (Joel)']",,Jan. 02,1902,
"68.......... Good Fellows. Illus. by 2nd ed. cr. 8vo. 73 × 41, .......CHATTO, Sep. 02",,,,CHATTO,,8vo.,"68.......... Good Fellows. Illus. by 2nd ed. cr. 8vo. 73 × 41, .......CHATTO, Sep. 02",,,,Sep. 02,1902,
"8vo. swd. 6d. METHUEN, Dec. 02",,,,METHUEN,6d.,,"8vo. swd. 6d. METHUEN, Dec. 02",,,,Dec. 02,1902,
"8vo. swd. 6d. Barr (R.)-A Prince of Edmund J. Sullivan. pp. 350, 6s.... Barr (R.)-Countess Tekla. Barr (R.)-Mutable Many. METHUEN, Feb. 02",,,,METHUEN,,,"8vo. swd. 6d. Barr (R.)-A Prince of Edmund J. Sullivan. pp. 350, 6s.... Barr (R.)-Countess Tekla. Barr (R.)-Mutable Many. METHUEN, Feb. 02",,,,Feb. 02,1902,
"Cr. 8vo. .HUTCHINSON, Mar 02",,,,HUTCHINSON,,8vo.,"Cr. 8vo. .HUTCHINSON, Mar 02",,,,Mar 02,1902,
"rev. --- .METHUEN, Apr. 02",,,,METHUEN,,,"rev. --- .METHUEN, Apr. 02",,,,Apr. 02,1902,
"8vo. 8 × 6, pp. .NELSON, Nov. 02",,,,NELSON,,,"8vo. 8 × 6, pp. .NELSON, Nov. 02",,,,Nov. 02,1902,
