entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,is_net
"Administration, Prussian, James (H. G.) 6s. 6d. net Administration, Public, in England, Reid (G. T.) s. 6d..... Admiralty-First aid in the Royal Navy, gd. WYMAN, July 13","Administration, Prussian, James",H. G.,,WYMAN,,,"Administration, Prussian, James (H. G.) 6s. 6d. net Administration, Public, in England, Reid (G. T.) IS. 6d..... Admiralty-First aid in the Royal Navy, gd. WYMAN, July 13","H. G. Administration, Prussian, James","['Administration, Prussian, James (H. G.)']",,July 13,
"Agricultural statistics (Ireland) 1912---Detailed report, 1912. gd. .. WYMAN, Sep. 13",Agricultural statistics,Ireland,,WYMAN,,,"Agricultural statistics (Ireland) 1912---Detailed report, 1912. gd. .. WYMAN, Sep. 13",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Sep. 13,
"Agricultural statistics (Ireland) 1912-Report and tables relating to Irish agricultural labourers, 2}d. .. WYMAN, Aug. 13",Agricultural statistics,Ireland,,WYMAN,,,"Agricultural statistics (Ireland) 1912-Report and tables relating to Irish agricultural labourers, 2}d. .. WYMAN, Aug. 13",Ireland Agricultural statistics,['Agricultural statistics (Ireland)'],,Aug. 13,
"Army-Remount manual (war). 20. WYMAN, Nov. 13",Army-Remount manual,war,,WYMAN,,,"Army-Remount manual (war). 20. WYMAN, Nov. 13",war Army-Remount manual,['Army-Remount manual (war)'],,Nov. 13,
"Baroque architecture, Briggs (M. S.) 21s, net Barr (Amelia E.)-All the days of my life : the red leaves of a human heart. Illus. 8vo. 9 X6, pp. 540, 12s, 6d. net.. . . APPLETON, Oct. 13","Baroque architecture, Briggs",M. S.,,APPLETON,12s. 6d.,8vo.,"Baroque architecture, Briggs (M. S.) 21s, net Barr (Amelia E.)-All the days of my life : the red leaves of a human heart. Illus. 8vo. 9 X6, pp. 540, 12s, 6d. net.. . . APPLETON, Oct. 13","M. S. Baroque architecture, Briggs","['Baroque architecture, Briggs (M. S.)']",,Oct. 13,net
"Bartlett (A. Cecil)-Gardening. 12mo6d. net (People's books) . JACK, Apr. 13",,,,JACK,,,"Bartlett (A. Cecil)-Gardening. I2mo6d. net (People's books) . JACK, Apr. 13",,"[""Bartlett (A. Cecil)-Gardening. 12mo6d. net (People's books)""]",,Apr. 13,
"Bayeux tapestry, Fowke (F. R.) 5s. Bayley (R. Child)-Photographic enlarging : handbook for amateur photographers. 2nd edit., rev. 8vo., pp. 166, 1s. 6d. net ILIFFE, Nov. 13","Bayeux tapestry, Fowke",F. R.,,ILIFFE,1s. 6d.,8vo.,"Bayeux tapestry, Fowke (F. R.) 55. Bayley (R. Child)-Photographic enlarging : handbook for amateur photographers. 2nd edit., rev. 8vo., pp. 166, Is. 6d. net ILIFFE, Nov. 13","F. R. Bayeux tapestry, Fowke","['Bayeux tapestry, Fowke (F. R.)']",,Nov. 13,net
"Because, Yardley (M. H.) 6s. Because of Jane, Buckrose (J. E.) 6s. Beck (Christopher) The Crimson aeroplane. Cr. 8vo. 8 X 5, pp. 256, 2s. 6d. (The Scout library) PEARSON, Sep. 13","Because, Yardley",M. H.,,PEARSON,2s. 6d.,8vo.,"Because, Yardley (M. H.) 6s. Because of Jane, Buckrose (J. E.) 6s. Beck (Christopher) The Crimson aeroplane. Cr. 8vo. 8 X 5, pp. 256, 25. 6d. (The Scout library) PEARSON, Sep. 13","M. H. Because, Yardley","['Because, Yardley (M. H.)']",,Sep. 13,
"Cr. 8vo., pp. 96, is. (The Oval ser.) Beneath the Southern Cross, Woollcombe (H. S.) ROUTLEDGE, Apr. 13",,,,ROUTLEDGE,,8vo.,"Cr. 8vo., pp. 96, is. (The Oval ser.) Beneath the Southern Cross, Woollcombe (H. S.) ROUTLEDGE, Apr. 13",,,,Apr. 13,
"HEINEMANN, Mar. 13",,,,HEINEMANN,,,"HEINEMANN, Mar. 13",,,,Mar. 13,
"NELSON, Sep. 13",,,,NELSON,,,"NELSON, Sep. 13",,,,Sep. 13,
"E. ARNOLD, Oct. 13",,,,E. ARNOLD,,,"E. ARNOLD, Oct. 13",,,,Oct. 13,
"HUTCHINSON, June 13",,,,HUTCHINSON,,,"HUTCHINSON, June 13",,,,June 13,
"LONGMANS, Mar. 13",,,,LONGMANS,,,"LONGMANS, Mar. 13",,,,Mar. 13,
"Cr. 8vo., swd. 6d. .CHATTO, Jan. 13 Benson (Robert Hugh)-Old Testament rhymes. Bennett (Arnold) — Teresa of Watling Street. Illus. by Gabriel Pippet. 410. 11X9, 2s. net, 18mo., 1s. net ... METHUEN, Aug. 13",,,,METHUEN,1s.,8vo.,"Cr. 8vo., swd. 6d. .CHATTO, Jan. 13 Benson (Robert Hugh)-Old Testament rhymes. Bennett (Arnold) — Teresa of Watling Street. Illus. by Gabriel Pippet. 410. 11X9, 2s. net, 18mo., Is. net ... METHUEN, Aug. 13",,,,Aug. 13,net
"LONGMANS, Oct. 13",,,,LONGMANS,,,"LONGMANS, Oct. 13",,,,Oct. 13,
"HUTCHINSON, Oct. 13",,,,HUTCHINSON,,,"HUTCHINSON, Oct. 13",,,,Oct. 13,
"HUTCHINSON, Oct. 13",,,,HUTCHINSON,,,"HUTCHINSON, Oct. 13",,,,Oct. 13,
"HUTCHINSON, Oct. 13",,,,HUTCHINSON,,,"HUTCHINSON, Oct. 13",,,,Oct. 13,
"Bettesworth, Lucy, Bourne (G.) 6s. Bettlerin vom Pont des Arts, Hauff (W.) is. net Beringer (C. and J. J.)-A Text-book of assaying : for the use of those connected with mines. 13th edit., rev. Cr. 8vo. 73 x 55, pp. 476, 1os. 6d. C. GRIFFIN, Aug. 13","Bettesworth, Lucy, Bourne",G.,,C. GRIFFIN,6d.,8vo.,"Bettesworth, Lucy, Bourne (G.) 6s. Bettlerin vom Pont des Arts, Hauff (W.) is. net Beringer (C. and J. J.)-A Text-book of assaying : for the use of those connected with mines. 13th edit., rev. Cr. 8vo. 73 x 55, pp. 476, 1os. 6d. C. GRIFFIN, Aug. 13","G. Bettesworth, Lucy, Bourne","['Bettesworth, Lucy, Bourne (G.)']",,Aug. 13,
"Bills—Temperance Bill (Scotland) Amendments, WYMAN, Jan. 13",,,,WYMAN,,,"Bills—Temperance Bill (Scotland) Amendments, WYMAN, Jan. 13",,,,Jan. 13,
"Bills-Pilotage : Lords' amendments, id. ; Rail- ways : Lords' amendments, id. ; Temperance (Scotland): Lords' amendments, id. ; Trade Unions : Lords' amendments, id.; Pilotage Commons' reason for disagreeing to one of the Lords' amendments, id. (post free) WYMAN, Mar. 13",,,,WYMAN,,,"Bills-Pilotage : Lords' amendments, id. ; Rail- ways : Lords' amendments, id. ; Temperance (Scotland): Lords' amendments, id. ; Trade Unions : Lords' amendments, id.; Pilotage Commons' reason for disagreeing to one of the Lords' amendments, id. (post free) WYMAN, Mar. 13",,,,Mar. 13,
"12mo. a cts, £d.; absent covident societies, pers), 1d.; Post 2.d.; Smoke 1 ; Prevention of awning industrial of Trade Unions breeding (Ireland), . WYMAN, May 13",,,,WYMAN,,,"I2mo. a cts, £d.; absent covident societies, pers), Id.; Post 2.d.; Smoke 1 ; Prevention of awning industrial of Trade Unions breeding (Ireland), . WYMAN, May 13",,,,May 13,
"Birt (F. B. Bradley-) see Bradley-Birt Birt (Lilian M.)— The Children's home-finder : the story of Annie Macpherson and Louisa Birt. Illus. Cr. 8vo 8 X5, pp. 286, 3s. 6d. net NISBET, Mar. 13",Birt,F. B. Bradley-,,NISBET,3s. 6d.,8vo,"Birt (F. B. Bradley-) see Bradley-Birt Birt (Lilian M.)— The Children's home-finder : the story of Annie Macpherson and Louisa Birt. Illus. Cr. 8vo 8 X5, pp. 286, 3s. 6d. net NISBET, Mar. 13",F. B. Bradley- Birt,['Birt (F. B. Bradley-)'],,Mar. 13,net
"Bishop's purse, Mof1t (C.) and Herford (0.) 6s. Bismarck calendar (The), 1914. 12mo., pp. 136, Swal. 1s. net .....F. PALMER, Nov. 13","Bishop's purse, Mof1t",C.,,F. PALMER,1s.,12mo.,"Bishop's purse, Mof1t (C.) and Herford (0.) 6s. Bismarck calendar (The), 1914. 12mo., pp. 136, Swal. Is. net .....F. PALMER, Nov. 13","C. Bishop's purse, Mof1t","[""Bishop's purse, Mof1t (C.)"", 'Herford (0.)']",,Nov. 13,net
"Björkman (Elwin)-1s there anything new under the Sun. 8vo. 8 X 54 pp. 260, 3s. 6d. net. S. SWIFT, Mar. 13",Björkman,Elwin,,S. SWIFT,3s. 6d.,8vo.,"Björkman (Elwin)-Is there anything new under the Sun. 8vo. 8 X 54 pp. 260, 3s. 6d. net. S. SWIFT, Mar. 13",Elwin Björkman,['Björkman (Elwin)'],,Mar. 13,net
"D2 mpositor's hbrary, re-issue HODDER & S., July 13",,,,HODDER & S.,,,"D2 mpositor's hbrary, re-issue HODDER & S., July 13",,,,July 13,
