,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
5269,"King (Mabel)-1dylls of the poor. Second ser. Re-issue. Cr. 8vo. 73 X48, pp. 192, is. PARTRIDGE, May 13",King,Mabel,,PARTRIDGE,,8vo.,"King (Mabel)-Idylls of the poor. Second ser. Re-issue. Cr. 8vo. 73 X48, pp. 192, is. PARTRIDGE, May 13",Mabel King,['King (Mabel)'],,May 13,1913,
5346,"A. MELROSE, Apr. 13",,,,A. MELROSE,,,"A. MELROSE, Apr. 13",,,,Apr. 13,1913,
5440,"Larder Lodge, Parker (B. and N.) 3s. 6d. net Larisch (Countess Marie)-My past. 8vo. 9 X5}, pp. 304, Ios. 6.1. net.... ..NASH, May 13","Larder Lodge, Parker",B.,,NASH,,8vo.,"Larder Lodge, Parker (B. and N.) 3s. 6d. net Larisch (Countess Marie)-My past. 8vo. 9 X5}, pp. 304, Ios. 6.1. net.... ..NASH, May 13","B. Larder Lodge, Parker","['Larder Lodge, Parker (B.)', 'Larder Lodge, Parker (N.)']",,May 13,1913,
5651,"APPLETON, Apr. 13",,,,APPLETON,,,"APPLETON, Apr. 13",,,,Apr. 13,1913,
5652,"net ....CONSTABLE, Oct. 13",,,,CONSTABLE,,,"net ....CONSTABLE, Oct. 13",,,,Oct. 13,1913,
5656,"CHAPMAN & H., June 13",,,,CHAPMAN & H.,,,"CHAPMAN & H., June 13",,,,June 13,1913,
5658,"Ryl. 8vo., pp. 99, 5s. net PROBSTHAIN, July 13",,,,PROBSTHAIN,5s.,8vo.,"Ryl. 8vo., pp. 99, 55. net PROBSTHAIN, July 13",,,,July 13,1913,net
5662,"SIMPKIN, Jan. 13",,,,SIMPKIN,,,"SIMPKIN, Jan. 13",,,,Jan. 13,1913,
5663,"1913. 3d. WYMAN, Oct. 13",,,,WYMAN,3d.,,"1913. 3d. WYMAN, Oct. 13",,,,Oct. 13,1913,
5665,"W. S. LINCOLN, Jan. 13",,,,W. S. LINCOLN,,,"W. S. LINCOLN, Jan. 13",,,,Jan. 13,1913,
5666,"Cr. 8vo. 71 X41, pp. 370, 6s. net S. PAUL, May 13",,,,S. PAUL,6s.,8vo.,"Cr. 8vo. 71 X41, pp. 370, 6s. net S. PAUL, May 13",,,,May 13,1913,net
5668,"6d. net . TEMPLE PRESS, Nov. 13",,,,TEMPLE PRESS,6d.,,"6d. net . TEMPLE PRESS, Nov. 13",,,,Nov. 13,1913,net
5669,"net (People's books). .JACK, Sep. 13",net,People's books,,JACK,,,"net (People's books). .JACK, Sep. 13",People's books net,"[""net (People's books)""]",,Sep. 13,1913,
5671,"Cr. 8vo., pp. 320, 2s, net C. H. KELLY, May 13",,,,C. H. KELLY,2s.,8vo.,"Cr. 8vo., pp. 320, 2s, net C. H. KELLY, May 13",,,,May 13,1913,net
5672,"C. T. KELLY, May 13",,,,C. T. KELLY,,,"C. T. KELLY, May 13",,,,May 13,1913,
5673,"W. BLACKWOOD, Dec. 13",,,,W. BLACKWOOD,,,"W. BLACKWOOD, Dec. 13",,,,Dec. 13,1913,
5694,"Little world, Golsworthy (A.) 6s. Littlestone (Gilbert)-The Nether millstone. Cr. 8vo. 73 X 5, pp. 380, 6s. WARD, L., Aug. 13","Little world, Golsworthy",A.,,"WARD, L.",6s.,8vo.,"Little world, Golsworthy (A.) 6s. Littlestone (Gilbert)-The Nether millstone. Cr. 8vo. 73 X 5, pp. 380, 6s. WARD, L., Aug. 13","A. Little world, Golsworthy","['Little world, Golsworthy (A.)']",,Aug. 13,1913,
