,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
1,"ABC (Rag Book). 12mo. 6d. net. DEAN, Oct. 03",ABC,Rag Book,,DEAN,6d.,,"ABC (Rag Book). 12mo. 6d. net. DEAN, Oct. 03",Rag Book ABC,['ABC (Rag Book)'],,Oct. 03,1903,net
18,"6d. net ............ ............. *****..... Adams (Mary N.)- Song at Midnight: Poems. Cr. 8vo. 6s......... .........S. C. BROWN, Oct. 03",,,,S. C. BROWN,6s.,8vo.,"6d. net ............ ............. *****..... Adams (Mary N.)- Song at Midnight: Poems. Cr. 8vo. 6s......... .........S. C. BROWN, Oct. 03",,,,Oct. 03,1903,
62,"8vo. 18. net .......... ............ ............ Allen (G.)-Science in Arcady. New ed. cr. 8vo. 7344, pp. 814, 8s. 6d. .........GIBBINGS, Nov. 03",,,,GIBBINGS,8s. 6d.,8vo.,"8vo. 18. net .......... ............ ............ Allen (G.)-Science in Arcady. New ed. cr. 8vo. 7344, pp. 814, 8s. 6d. .........GIBBINGS, Nov. 03",,,,Nov. 03,1903,
79,"21s. net .................. Andersen (H.)-Bilderbuch ohne Bilder (What the Moon saw). Ed. by W. Rippmann. 12mo. limp, 1s. 8d..... ....E. ARNOLD, May 03",,,,E. ARNOLD,1s. 8d.,12mo.,"21s. net .................. Andersen (H.)-Bilderbuch ohne Bilder (What the Moon saw). Ed. by W. Rippmann. 12mo. limp, 1s. 8d..... ....E. ARNOLD, May 03",,,,May 03,1903,
123,"Arts and Crafts (Some). Illus. cr. 8vo. 7 × 5, pp. 336, 58. net (Woman's Library) CHAPMAN, Apr. 03",,,,CHAPMAN,,8vo.,"Arts and Crafts (Some). Illus. cr. 8vo. 7 × 5, pp. 336, 58. net (Woman's Library) CHAPMAN, Apr. 03",,"['Arts', 'Crafts (Some)']",,Apr. 03,1903,
127,"Asiatic Russia, Wright (Geo. Fred.) 32s. Ask Mamma, Surtees (R. S.) 6d. Aske (Rbt.), Pollard (E. F.) 2s... Askew (J. B.), Pros and Cons, 1s. 6d. net; Askwith (E. H.)-Course of Pure Geometry. Cr. 8vo. 7 × 5, pp. 220, 5s. .........C. J. CLAY, June 03","Asiatic Russia, Wright",Geo. Fred.,,C. J. CLAY,5s.,8vo.,"Asiatic Russia, Wright (Geo. Fred.) 32s. Ask Mamma, Surtees (R. S.) 6d. Aske (Rbt.), Pollard (E. F.) 2s... Askew (J. B.), Pros and Cons, 1s. 6d. net; Askwith (E. H.)-Course of Pure Geometry. Cr. 8vo. 7 × 5, pp. 220, 5s. .........C. J. CLAY, June 03","Geo. Fred. Asiatic Russia, Wright","['Asiatic Russia, Wright (Geo. Fred.)']",,June 03,1903,
139,"Automobile, Hasluck (Paul N.) 218. net. Ave Roma Immortalis, Crawford (Francis Marion) 8s. 6d. net Avebury (Lord)-Essays and Addresses, 1900-3. 8vo. 9 × 53, pp. 302, 7s. 6d. net MACMILLAN, Dec. 03","Automobile, Hasluck",Paul N.,,MACMILLAN,7s. 6d.,8vo.,"Automobile, Hasluck (Paul N.) 218. net. Ave Roma Immortalis, Crawford (Francis Marion) 8s. 6d. net Avebury (Lord)-Essays and Addresses, 1900-3. 8vo. 9 × 53, pp. 302, 7s. 6d. net MACMILLAN, Dec. 03","Paul N. Automobile, Hasluck","['Automobile, Hasluck (Paul N.)']",,Dec. 03,1903,net
222,"Beams (British Standard Sections). 8vo. swd. 18. ....LOCKWOOD, Dec. 03",Beams,British Standard Sections,,LOCKWOOD,,,"Beams (British Standard Sections). 8vo. swd. 18. ....LOCKWOOD, Dec. 03",British Standard Sections Beams,['Beams (British Standard Sections)'],,Dec. 03,1903,
330,"Cr. 8vo. 8× 5, Bower (Marian)-Marie-Eve. pp. 380, 6s. ...CASSELL, June 03",,,,CASSELL,6s.,8vo.,"Cr. 8vo. 8× 5, Bower (Marian)-Marie-Eve. pp. 380, 6s. ...CASSELL, June 03",,,,June 03,1903,
380,"Brooks (E. C. H.-)-Marriage and Marriages. (Parts 1 and 2 for Single, Part 3 for Married Folk.) Cr. 8vo. 7 × 5, pp. 270, 4s. net LONGMANS, Nov. 03",,,,LONGMANS,4s.,8vo.,"Brooks (E. C. H.-)-Marriage and Marriages. (Parts 1 and 2 for Single, Part 3 for Married Folk.) Cr. 8vo. 7 × 5, pp. 270, 4s. net LONGMANS, Nov. 03",,"['Brooks (E. C. H.-)-Marriage', 'Marriages. (Parts 1)', '-Marriage', 'Marriages. (2 for Single, Part 3 for Married Folk.)']",,Nov. 03,1903,net
