,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
35,"28. Acts-Leven Patent, 6d.; Darien Gold Mining, 6d.; Hull and Barnsley Railway, 6d.; Alexander Scott's Hospital, 9d.; Local Government Board Provisional Orders Confirmation, No. 7, 1s.; No. 15, 6d............. ..WYMAN, Sep. 05",,,,WYMAN,6d.,,"28. Acts-Leven Patent, 6d.; Darien Gold Mining, 6d.; Hull and Barnsley Railway, 6d.; Alexander Scott's Hospital, 9d.; Local Government Board Provisional Orders Confirmation, No. 7, 1s.; No. 15, 6d............. ..WYMAN, Sep. 05",,,,Sep. 05,1905,
48,"Acts (Public General)-5 Edw. VII. 1905, 88.; London Gas, 6d.; Pier and Harbour Order Con- firmation (No. 1), 9d.; Hastings Harbour Railway Abandonment, 3d.. .WYMAN, Oct. 05",Acts,Public General,,WYMAN,3d.,,"Acts (Public General)-5 Edw. VII. 1905, 88.; London Gas, 6d.; Pier and Harbour Order Con- firmation (No. 1), 9d.; Hastings Harbour Railway Abandonment, 3d.. .WYMAN, Oct. 05",Public General Acts,['Acts (Public General)'],,Oct. 05,1905,
64,"Adela Cathcart, Macdonald (Geo.) 2s. 6d. FROWDE, Feb. 05","Adela Cathcart, Macdonald",Geo.,,FROWDE,2s. 6d.,,"Adela Cathcart, Macdonald (Geo.) 2s. 6d. FROWDE, Feb. 05","Geo. Adela Cathcart, Macdonald","['Adela Cathcart, Macdonald (Geo.)']",,Feb. 05,1905,
101,"1s. 5d. WYMAN, July 05",,,,WYMAN,1s. 5d.,,"1s. 5d. WYMAN, July 05",,,,July 05,1905,
136,"Alexander (E.)-Fencing Exercises (Musical Drills). 4to. swd. 1s. 6d. net G. PHILIP, Jan. 05",,,,G. PHILIP,1s. 6d.,,"Alexander (E.)-Fencing Exercises (Musical Drills). 4to. swd. 1s. 6d. net G. PHILIP, Jan. 05",,['Alexander (E.)-Fencing Exercises (Musical Drills)'],,Jan. 05,1905,net
139,"Alexander (T.), Thomson (A. W.)—26 Graduated Exercises in Graphic Statics. Fol. swd. 10s. MACMILLAN, Apr. 05",,,,MACMILLAN,10s.,,"Alexander (T.), Thomson (A. W.)—26 Graduated Exercises in Graphic Statics. Fol. swd. 10s. MACMILLAN, Apr. 05",,"['Alexander (T.), Thomson (A. W.)']",,Apr. 05,1905,
193,"WYMAN, Sep. 05",,,,WYMAN,,,"WYMAN, Sep. 05",,,,Sep. 05,1905,
225,"2s. 1d. WYMAN, Mar. 05",,,,WYMAN,2s. 1d.,,"2s. 1d. WYMAN, Mar. 05",,,,Mar. 05,1905,
228,"WYMAN, Aug. 05",,,,WYMAN,,,"WYMAN, Aug. 05",,,,Aug. 05,1905,
237,"WYMAN, Mar. 05",,,,WYMAN,,,"WYMAN, Mar. 05",,,,Mar. 05,1905,
