,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
124,"Agriculture for Ireland (Dept. of)-19th annual general report, 1918-19, 3s. net H.M.S.O., Oct. '20",Agriculture for Ireland,Dept. of,,H.M.S.O.,3s.,,"Agriculture for Ireland (Dept. of)-19th annual general report, 1918-19, 3s. net H.M.S.O., Oct. '20",Dept. of Agriculture for Ireland,['Agriculture for Ireland (Dept. of)'],,Oct. '20,1920,net
138,"Agriculture for Scotland (Board of)-8th Report, s. net ....H.M.S.O., July '20",Agriculture for Scotland,Board of,,H.M.S.O.,,,"Agriculture for Scotland (Board of)-8th Report, IS. net ....H.M.S.O., July '20",Board of Agriculture for Scotland,['Agriculture for Scotland (Board of)'],,July '20,1920,
241,"Andrews (F. W., Sir) see Bowlby (A. A., Sir) and Andrewes Androws (Henry Russell)— Midwifery for nurses. 5th ed. Cr. 8vo. 7+ x 5, pp. 310, 58. net E. ARNOLD, Mar.'20",Andrews,"F. W., Sir",,E. ARNOLD,,8vo.,"Andrews (F. W., Sir) see Bowlby (A. A., Sir) and Andrewes Androws (Henry Russell)— Midwifery for nurses. 5th ed. Cr. 8vo. 7+ x 5, pp. 310, 58. net E. ARNOLD, Mar.'20","F. W., Sir Andrews","['Andrews (F. W., Sir)']",,Mar.'20,1920,
321,"Army-German constitution. (Ed. without notes). 6d... .H.M.S.O., Jan. '20",Army-German constitution.,Ed. without notes,,H.M.S.O.,6d.,,"Army-German constitution. (Ed. without notes). 6d... .H.M.S.O., Jan. '20",Ed. without notes Army-German constitution.,['Army-German constitution. (Ed. without notes)'],,Jan. '20,1920,
330,"Army-Recruits' table card. (Provisional.) 6d. H.M.S.O., Oct. '20",Army-Recruits' table card.,Provisional.,,H.M.S.O.,6d.,,"Army-Recruits' table card. (Provisional.) 6d. H.M.S.O., Oct. '20",Provisional. Army-Recruits' table card.,"[""Army-Recruits' table card. (Provisional.)""]",,Oct. '20,1920,
332,"Army-Staff College regulations (Camberley), ..H.M.S.O., June '20",Army-Staff College regulations,Camberley,,H.M.S.O.,,,"Army-Staff College regulations (Camberley), ..H.M.S.O., June '20",Camberley Army-Staff College regulations,['Army-Staff College regulations (Camberley)'],,June '20,1920,
425,"Ayres (Ruby M.)--For love. (“An Only son.) Cr. 8vo. 7X4), pp. 252, 2s. net HODDER & S., Feb. '20",,,,HODDER & S.,2s.,8vo.,"Ayres (Ruby M.)--For love. (“An Only son.) Cr. 8vo. 7X4), pp. 252, 25. net HODDER & S., Feb. '20",,['Ayres (Ruby M.)--For love. (“An Only son.)'],,Feb. '20,1920,net
444,"Bacon (B. W.)—1s Mark a Roman gospel ? 8vo. swd. 5s. 6d. net (Harvard theological studies) MILFORD, Nov. '20",Bacon,B. W.,,MILFORD,5s. 6d.,8vo.,"Bacon (B. W.)—Is Mark a Roman gospel ? 8vo. swd. 5s. 6d. net (Harvard theological studies) MILFORD, Nov. '20",B. W. Bacon,['Bacon (B. W.)'],,Nov. '20,1920,net
766,"Bingham (J. A.) see Howard (B. A.) and Bingham, Binns (Henry Bryan)-Freedom as creative power. 7x5), pp. 71, 2s. 6d. net ....FIFIELD, Aug.'20",Bingham,J. A.,,FIFIELD,2s. 6d.,,"Bingham (J. A.) see Howard (B. A.) and Bingham, Binns (Henry Bryan)-Freedom as creative power. 7x5), pp. 71, 25. 6d. net ....FIFIELD, Aug.'20",J. A. Bingham,['Bingham (J. A.)'],,Aug.'20,1920,net
844,"Blind (Welfare of the)-2nd annual report, 1919- 20. 6d. net .H.M.S.O., Aug.'20",Blind,Welfare of the,,H.M.S.O.,6d.,,"Blind (Welfare of the)-2nd annual report, 1919- 20. 6d. net .H.M.S.O., Aug.'20",Welfare of the Blind,['Blind (Welfare of the)'],,Aug.'20,1920,net
1118,"Cr. 8vo. 71 X5, pp. 176, 6s. net R. COBDEN-SANDERSON, Feb. '20",,,,R. COBDEN-SANDERSON,6s.,8vo.,"Cr. 8vo. 71 X5, pp. 176, 6s. net R. COBDEN-SANDERSON, Feb. '20",,,,Feb. '20,1920,net
1236,"Burning glass, Bowen (M.) 2s. net .Feb. 'yo Burns (C. Delisle)—International politics. Cr. 8vo. 7* x 51, pp. 200, 5s. net .... METHUEN, July'20","Burning glass, Bowen",M.,,METHUEN,5s.,8vo.,"Burning glass, Bowen (M.) 25. net .Feb. 'yo Burns (C. Delisle)—International politics. Cr. 8vo. 7* x 51, pp. 200, 5s. net .... METHUEN, July'20","M. Burning glass, Bowen","['Burning glass, Bowen (M.)']",,July'20,1920,net
