,entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
80,"Afghan War (Second) 1878-80. Abridica Onlicial Account. Produced in the Intelligence Branch Army Head- Quarters, India. 8vo. 9 X6, PP. 744, 2S. net MURRAY, Jan. 08",Afghan War,Second,,MURRAY,,8vo.,"Afghan War (Second) 1878-80. Abridica Onlicial Account. Produced in the Intelligence Branch Army Head- Quarters, India. 8vo. 9 X6, PP. 744, 2IS. net MURRAY, Jan. 08",Second Afghan War,['Afghan War (Second)'],,Jan. 08,1908,
161,"Allen (I. V.)-- 1 Parable of the Rose, and other Poemis. Cr. 8vo. 5s. net.. PUTNAM, Dec. 08",Allen,I. V.,,PUTNAM,5s.,8vo.,"Allen (I. V.)-- 1 Parable of the Rose, and other Poemis. Cr. 8vo. 55. net.. PUTNAM, Dec. 08",I. V. Allen,['Allen (I. V.)'],,Dec. 08,1908,net
219,"5s. net 5s. net Animal World (The)--Vol. 3, New Series, 1908. 4to, 3s., bls. 2s. ...... H. E. MORGAN, Dec. 08",,,,H. E. MORGAN,2s.,"4to,","55. net 55. net Animal World (The)--Vol. 3, New Series, 1908. 4to, 35., bls. 25. ...... H. E. MORGAN, Dec. 08",,,,Dec. 08,1908,
280,"Army-Return showing Total Number of Officers and Men in various countries of Europe, id. WYMAN, Mar. 08",,,,WYMAN,,,"Army-Return showing Total Number of Officers and Men in various countries of Europe, id. WYMAN, Mar. 08",,,,Mar. 08,1908,
281,"Army (Territorial Force): Report on the pro- gress made in constituting the Medical Service, id. WYMAN, July 08",Army,Territorial Force,,WYMAN,,,"Army (Territorial Force): Report on the pro- gress made in constituting the Medical Service, id. WYMAN, July 08",Territorial Force Army,['Army (Territorial Force)'],,July 08,1908,
383,"..HARPER, Feb, 08",,,,HARPER,,,"..HARPER, Feb, 08",,,,"Feb, 08",1908,
388,"23: 58. net I. Baddeley (W. St. C.)-A Cotteswold Shrine. A Contribution to the History of Hailes. 4to. bds. 15s. net... K. PAUL, Nov. 08",,,,K. PAUL,15s.,4to.,"23: 58. net I. Baddeley (W. St. C.)-A Cotteswold Shrine. A Contribution to the History of Hailes. 4to. bds. 155. net... K. PAUL, Nov. 08",,,,Nov. 08,1908,net
392,"DULAN, July 08",,,,DULAN,,,"DULAN, July 08",,,,July 08,1908,
471,"Balzac (II. (le; --- Le Médecin de Campagne, Edit. with notes and Intro. by de l'. Payen- Payne. 12m0., PP. 330, 3s. (Pilt Press Ser.) CAMB. UNIV. PRESS, Dec. 08",Balzac,"II. (le; --- Le Médecin de Campagne, Edit. with notes",,CAMB. UNIV. PRESS,,,"Balzac (II. (le; --- Le Médecin de Campagne, Edit. with notes and Intro. by de l'. Payen- Payne. 12m0., PP. 330, 3s. (Pilt Press Ser.) CAMB. UNIV. PRESS, Dec. 08","II. (le; --- Le Médecin de Campagne, Edit. with notes Balzac","['Balzac (II. (le; --- Le Médecin de Campagne, Edit. with notes)', ""Balzac (Intro. by de l'. Payen- Payne. 12m0., PP. 330, 3s. (Pilt Press Ser.)""]",,Dec. 08,1908,
483,"Banks (Mrs. L. E.)-Dick and Pip (A. L. Gem Readers No. 2). 5 illus. Ryl. 16mo. 4*X6, pp. ..E. J. ARNOLD, May 08",,,,E. J. ARNOLD,,16mo.,"Banks (Mrs. L. E.)-Dick and Pip (A. L. Gem Readers No. 2). 5 illus. Ryl. 16mo. 4*X6, pp. ..E. J. ARNOLD, May 08",,"['Banks (Mrs. L. E.)-Dick', 'Pip (A. L. Gem Readers No. 2)']",,May 08,1908,
508,"Barnard (S.) and Chill (J. 2.)-1 New Algebra. Vol. 1, containing Parts I, 2 and 3, with Answers. Cr. 8vo. 7! X 43, pp. 384, 28. 60. MACMILLAN, Sep. 08",Barnard,S.,,MACMILLAN,,8vo.,"Barnard (S.) and Chill (J. 2.)-1 New Algebra. Vol. 1, containing Parts I, 2 and 3, with Answers. Cr. 8vo. 7! X 43, pp. 384, 28. 60. MACMILLAN, Sep. 08",S. Barnard,"['Barnard (S.)', 'Chill (J. 2.)']",,Sep. 08,1908,
574,"F. GRIFFITHS, Mar. 08",,,,F. GRIFFITHS,,,"F. GRIFFITHS, Mar. 08",,,,Mar. 08,1908,
576,"LOCKWOOD, Sep. 08",,,,LOCKWOOD,,,"LOCKWOOD, Sep. 08",,,,Sep. 08,1908,
578,"W. STEVENS, Jay 08",,,,W. STEVENS,,,"W. STEVENS, Jay 08",,,,Jay 08,1908,
579,"net ..MACMILLAN, July 08",,,,MACMILLAN,,,"net ..MACMILLAN, July 08",,,,July 08,1908,
583,"12mo. 4s. 6d net S. APPLETOX, Feb. 08",,,,S. APPLETOX,4s. 6d,,"12mo. 45. 6d net S. APPLETOX, Feb. 08",,,,Feb. 08,1908,net
586,"73 X 5, Pp. 325, 6s. J. VILNE, Jan. 08",,,,J. VILNE,6s.,,"73 X 5, Pp. 325, 6s. J. VILNE, Jan. 08",,,,Jan. 08,1908,
588,"10X7, pp. 242, 20s. net....CASSELL, Oct. 08",,,,CASSELL,20s.,,"10X7, pp. 242, 20s. net....CASSELL, Oct. 08",,,,Oct. 08,1908,net
589,"7 X4), pp. 172, 166, 4s, net (St. Nicholas Ser.) MACDONALD & E., June 08",,,,MACDONALD & E.,4s.,,"7 X4), pp. 172, 166, 4s, net (St. Nicholas Ser.) MACDONALD & E., June 08",,,,June 08,1908,net
591,"S.P.C.K., Sep, 08",,,,S.P.C.K.,,,"S.P.C.K., Sep, 08",,,,"Sep, 08",1908,
641,"Bonn (Alfred W.;-Early Greek Philosophy. 12mo. 7 X 4, pp. 134, is. net (Philosophies Ancient and Modern). CONSTABLE, Nov. 08",Bonn,"Alfred W.;-Early Greek Philosophy. 12mo. 7 X 4, pp. 134, is. net (Philosophies Ancient",,CONSTABLE,,,"Bonn (Alfred W.;-Early Greek Philosophy. 12mo. 7 X 4, pp. 134, is. net (Philosophies Ancient and Modern). CONSTABLE, Nov. 08","Alfred W.;-Early Greek Philosophy. 12mo. 7 X 4, pp. 134, is. net (Philosophies Ancient Bonn","['Bonn (Alfred W.;-Early Greek Philosophy. 12mo. 7 X 4, pp. 134, is. net (Philosophies Ancient)', 'Bonn (Modern)']",,Nov. 08,1908,
759,"73 X5, pp. 312, 5s. net....E. ARNOLD, Oct. 08",,,,E. ARNOLD,5s.,,"73 X5, pp. 312, 5s. net....E. ARNOLD, Oct. 08",,,,Oct. 08,1908,net
760,"87 X5), pp. 258, 6s. net W. BLACKWOOD, July 08",,,,W. BLACKWOOD,6s.,,"87 X5), pp. 258, 6s. net W. BLACKWOOD, July 08",,,,July 08,1908,net
761,"Blackboard Talks, Arthur (J. W.) 5s. net.. Nov. os Bloundelle-Burton (J.)-see Burton (J. Bloun- Blackburn (Douglas)--I Came and Saw. Cr. 8vo. delle-) 73 X 43, pp. 426, 6s..... ....A. RIVERS, Nov. 08","Blackboard Talks, Arthur",J. W.,,A. RIVERS,6s.,8vo.,"Blackboard Talks, Arthur (J. W.) 5s. net.. Nov. os Bloundelle-Burton (J.)-see Burton (J. Bloun- Blackburn (Douglas)--I Came and Saw. Cr. 8vo. delle-) 73 X 43, pp. 426, 6s..... ....A. RIVERS, Nov. 08","J. W. Blackboard Talks, Arthur","['Blackboard Talks, Arthur (J. W.)']",,Nov. 08,1908,
762,"ALSTON RIVERS, July 08",,,,ALSTON RIVERS,,,"ALSTON RIVERS, July 08",,,,July 08,1908,
765,"PHILLIPS, Aug. 08",,,,PHILLIPS,,,"PHILLIPS, Aug. 08",,,,Aug. 08,1908,
769,"8vo., pp. 318, swil. is. net....LONG, July 08",,,,LONG,,,"8vo., pp. 318, swil. is. net....LONG, July 08",,,,July 08,1908,
771,"588, is, net ; Ithr., 28. net (Everyman's Lib.) DENT, Feb. 08",,,,DENT,,,"588, is, net ; Ithr., 28. net (Everyman's Lib.) DENT, Feb. 08",,,,Feb. 08,1908,
779,"NORMAL PRESS, Aug. 08",,,,NORMAL PRESS,,,"NORMAL PRESS, Aug. 08",,,,Aug. 08,1908,
781,". VISBET, Feb. 08",,,,VISBET,,,". VISBET, Feb. 08",,,,Feb. 08,1908,
782,". 9s. net net ..... Boase (Frederic) - Modern English Biography. Vol. 4 (Supplement Vol. I) A-C. Imp. 8vo., pp. 433, 30s. net (Truro) NETHERTON & WORTII, Dec. 08",,,,NETHERTON & WORTII,30s.,8vo.,". 95. net net ..... Boase (Frederic) - Modern English Biography. Vol. 4 (Supplement Vol. I) A-C. Imp. 8vo., pp. 433, 30s. net (Truro) NETHERTON & WORTII, Dec. 08",,,,Dec. 08,1908,net
812,"Book of Simples (A). 8vo. ot x 51, pp. 234, .... LOW, Sep. 08",Book of Simples,A,,LOW,,,"Book of Simples (A). 8vo. ot x 51, pp. 234, .... LOW, Sep. 08",A Book of Simples,['Book of Simples (A)'],,Sep. 08,1908,
847,"Bouquet of Wiscom (A.)--32m0., pp. 126, Ithr. s. net SIMPKIN, Dec. 08",Bouquet of Wiscom,A.,,SIMPKIN,,,"Bouquet of Wiscom (A.)--32m0., pp. 126, Ithr. IS. net SIMPKIN, Dec. 08",A. Bouquet of Wiscom,['Bouquet of Wiscom (A.)'],,Dec. 08,1908,
