entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
". A B C Motor, marine, and aircraft guide, 1920 OFFICE, Apr. '19",,,"A B C Motor, marine, and aircraft guide",OFFICE,,,". A B C Motor, marine, and aircraft guide, 1920 OFFICE, Apr. '19",,,,Apr. '19,1919,
"A B C of common birds (An). 18mo. 4×34, pp. 64, swd. 6d. .R.S.P.B., July '19",,,A B C of common birds (An),R.S.P.B.,6d.,18mo.,"A B C of common birds (An). 18mo. 4×34, pp. 64, swd. 6d. .R.S.P.B., July '19",,,,July '19,1919,
"A B C of etiquette (The). Cr. 8vo. 4×31, pp. 28, swd. is. net ..HARNDEN, Oct. '19",,,A B C of etiquette (The),HARNDEN,,8vo.,"A B C of etiquette (The). Cr. 8vo. 4×31, pp. 28, swd. is. net ..HARNDEN, Oct. '19",,,,Oct. '19,1919,
"A. L. Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring. Cr. 8vo. 7×5, pp. 22, swd. 3d. net...(Leeds) E. J. ARNOLD, July '19",,,A. L. Nursery rhyme reader (The): a selection of,E. J. ARNOLD,,8vo.,"A. L. Nursery rhyme reader (The): a selection of 22 of the most popular nursery rhymes with Illus. for colouring. Cr. 8vo. 7×5, pp. 22, swd. 3d. net...(Leeds) E. J. ARNOLD, July '19",,,,July '19,1919,
"A. L. Print-writing copy books (The), No. 3 4to. 8x64, pp. 24, swd. 3d. net (Leeds) E. J. ARNOLD, July '19",,,A. L. Print-writing copy books (The),E. J. ARNOLD,3d.,4to.,"A. L. Print-writing copy books (The), No. 3 4to. 8x64, pp. 24, swd. 3d. net (Leeds) E. J. ARNOLD, July '19",,,,July '19,1919,net
"Abbot (Jane)-Keineth. Illus. by Harriet Roose- velt Richards. 5s. net..LIPPINCOTT, Mar. '19",Abbot,Jane,Keineth,LIPPINCOTT,5s.,,"Abbot (Jane)-Keineth. Illus. by Harriet Roose- velt Richards. 5s. net..LIPPINCOTT, Mar. '19",Jane Abbot,['Abbot (Jane)'],,Mar. '19,1919,net
"Abbott (Eleanor Hallowell)-Love and Mrs. Kendrur. Cr. 8vo. 7 X4, pp. 116, 2s. net HEINEMANN, Oct. '19",Abbott,Eleanor Hallowell,Love and Mrs,HEINEMANN,2s.,8vo.,"Abbott (Eleanor Hallowell)-Love and Mrs. Kendrur. Cr. 8vo. 7 X4, pp. 116, 2s. net HEINEMANN, Oct. '19",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Oct. '19,1919,net
"Abbott (Eleanor Hallowell)-The Ne'er-do-much. Cr. 8vo. 7×5, pp. 156, 5s. net HODDER, July '19",Abbott,Eleanor Hallowell,The Ne'er-do-much,HODDER,5s.,8vo.,"Abbott (Eleanor Hallowell)-The Ne'er-do-much. Cr. 8vo. 7×5, pp. 156, 5s. net HODDER, July '19",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,July '19,1919,net
"Abbott (Wilbur C.)-Colonel John Scott of Long 1sland. 8vo. 5s. 6d. net (Yale Univ. Pr.) MILFORD, Oct. '19",Abbott,Wilbur C.,Colonel John Scott of Long,MILFORD,5s. 6d.,8vo.,"Abbott (Wilbur C.)-Colonel John Scott of Long Island. 8vo. 5s. 6d. net (Yale Univ. Pr.) MILFORD, Oct. '19",Wilbur C. Abbott,['Abbott (Wilbur C.)'],,Oct. '19,1919,net
"Abbott (Wilbur Cortez)-The Expansion of Europe: a history of the foundations of the modern world. 2 vols. 8vo. 9 × 54, pp. 476, 30s. net BELL, Sep.'19",Abbott,Wilbur Cortez,The Expansion of Europe: a history of the foundations of the modern world,BELL,30s.,8vo.,"Abbott (Wilbur Cortez)-The Expansion of Europe: a history of the foundations of the modern world. 2 vols. 8vo. 9 × 54, pp. 476, 30s. net BELL, Sep.'19",Wilbur Cortez Abbott,['Abbott (Wilbur Cortez)'],,Sep.'19,1919,net
"Abdullah (Achmed)-The Honourable Gentlemen and others. Cr. 8vo. 7× 5, pp. 262, 6s. net PUTNAM, Dec. '19",Abdullah,Achmed,The Honourable Gentlemen and others,PUTNAM,6s.,8vo.,"Abdullah (Achmed)-The Honourable Gentlemen and others. Cr. 8vo. 7× 5, pp. 262, 6s. net PUTNAM, Dec. '19",Achmed Abdullah,['Abdullah (Achmed)'],,Dec. '19,1919,net
"About (Edmond)—The Twins. Trans. by C. W. Bell. 16mo. 6×4, pp. 126, swd. 1s. 6d. net (Harrap's Bilingual ser: French) HARRAP, Dec. '19",About,Edmond,The Twins,HARRAP,1s. 6d.,16mo.,"About (Edmond)—The Twins. Trans. by C. W. Bell. 16mo. 6×4, pp. 126, swd. Is. 6d. net (Harrap's Bilingual ser: French) HARRAP, Dec. '19",Edmond About,['About (Edmond)'],,Dec. '19,1919,net
"Abraham (George D.)-On Alpine heights and British crags. Ryl. 8vo. 9×5, pp.317, IOS. 6d. net .METHUEN, Sep. '19",Abraham,George D.,On Alpine heights and British crags,METHUEN,6d.,8vo.,"Abraham (George D.)-On Alpine heights and British crags. Ryl. 8vo. 9×5, pp.317, IOS. 6d. net .METHUEN, Sep. '19",George D. Abraham,['Abraham (George D.)'],,Sep. '19,1919,net
