entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"Academy Architecture and architectural review. Vol. 41, 1912, part 1. 4to. 98 x74, pp. 168, 4s. rod. net; swd, 4s, net SIMPKIN, July 12",,,Academy Architecture and architectural review,SIMPKIN,4s.,4to.,"Academy Architecture and architectural review. Vol. 41, 1912, part 1. 4to. 98 x74, pp. 168, 45. rod. net; swd, 4s, net SIMPKIN, July 12",,,,July 12,1912,net
"ABC Guide to the practice of the Supreme Court, 1913. Cr. 8vo., 5s. net SWEET & M., Oct. 12",,,ABC Guide to the practice of the Supreme Court,SWEET & M.,5s.,8vo.,"ABC Guide to the practice of the Supreme Court, 1913. Cr. 8vo., 55. net SWEET & M., Oct. 12",,,,Oct. 12,1912,net
"A. L.–Animal making packet. A. M. O. assorted packet. 12 sheets oblong 4to. 6d. net E. J. ARNOLD, Dec. 12",,,A. L.–Animal making packet,E. J. ARNOLD,6d.,4to.,"A. L.–Animal making packet. A. M. O. assorted packet. 12 sheets oblong 4to. 6d. net E. J. ARNOLD, Dec. 12",,,,Dec. 12,1912,net
"Aaron (C. D.)-Diseases of the stomach : with special reference to treatment. 8vo., 218. net CHURCHILL, Jan. 12",Aaron,C. D.,Diseases of the stomach : with special reference to treatment,CHURCHILL,,8vo.,"Aaron (C. D.)-Diseases of the stomach : with special reference to treatment. 8vo., 218. net CHURCHILL, Jan. 12",C. D. Aaron,['Aaron (C. D.)'],,Jan. 12,1912,
"Abbotsford. 8vo., 9 X64, pp. 64, bds. 1s. 6d. net (Beautiful Britain.) .BLACK, May 12",,,Abbotsford,BLACK,1s. 6d.,8vo.,"Abbotsford. 8vo., 9 X64, pp. 64, bds. Is. 6d. net (Beautiful Britain.) .BLACK, May 12",,,,May 12,1912,net
"Abbott (Edwin A.)-Light on the Gospel from an ancient poet. 8vo. 9 X54, pp. 668, 12s. 6d. net CAMB. UNIV. PRESS, Oct. 12",Abbott,Edwin A.,Light on the Gospel from an ancient poet,CAMB. UNIV. PRESS,12s. 6d.,8vo.,"Abbott (Edwin A.)-Light on the Gospel from an ancient poet. 8vo. 9 X54, pp. 668, 12s. 6d. net CAMB. UNIV. PRESS, Oct. 12",Edwin A. Abbott,['Abbott (Edwin A.)'],,Oct. 12,1912,net
"Abbott (Eleanor Hallowell)—The Sick-a-bed lady. and other stories. Cr. 8vo. 71 x5, pp. 382, 6s, HODDER & S., Jan. 12",Abbott,Eleanor Hallowell,The Sick-a-bed lady,HODDER & S.,6s.,8vo.,"Abbott (Eleanor Hallowell)—The Sick-a-bed lady. and other stories. Cr. 8vo. 71 x5, pp. 382, 6s, HODDER & S., Jan. 12",Eleanor Hallowell Abbott,['Abbott (Eleanor Hallowell)'],,Jan. 12,1912,
"Abbott (F. F.)-The Common people of ancient Rome. Cr. 8vo., 6s. ... . ROUTLEDGE, May 12",Abbott,F. F.,The Common people of ancient Rome,ROUTLEDGE,6s.,8vo.,"Abbott (F. F.)-The Common people of ancient Rome. Cr. 8vo., 6s. ... . ROUTLEDGE, May 12",F. F. Abbott,['Abbott (F. F.)'],,May 12,1912,
"Abbott (F. F.)—Society and politics in ancient Rome. Cr. 8vo., 6s. ... ROUTLEDGE, May 12",Abbott,F. F.,Society and politics in ancient Rome,ROUTLEDGE,6s.,8vo.,"Abbott (F. F.)—Society and politics in ancient Rome. Cr. 8vo., 6s. ... ROUTLEDGE, May 12",F. F. Abbott,['Abbott (F. F.)'],,May 12,1912,
"Abbott (G. F.)—The Holy war in Tripoli. Illus. 8vo. 9X51, pp. 346, 15s. net E. ARNOLD, Oct. 12",Abbott,G. F.,The Holy war in Tripoli,E. ARNOLD,15s.,8vo.,"Abbott (G. F.)—The Holy war in Tripoli. Illus. 8vo. 9X51, pp. 346, 155. net E. ARNOLD, Oct. 12",G. F. Abbott,['Abbott (G. F.)'],,Oct. 12,1912,net
"Abelson (J.)-The Immanence of God in Rab- binical literature. 8vo. 9 x5), pp. 402, ros. net MACMILLAN, Sep. 12",Abelson,J.,The Immanence of God in Rab- binical literature,MACMILLAN,,8vo.,"Abelson (J.)-The Immanence of God in Rab- binical literature. 8vo. 9 x5), pp. 402, ros. net MACMILLAN, Sep. 12",J. Abelson,['Abelson (J.)'],,Sep. 12,1912,
"Abercrombie (I ascelles)—Deborah: a play in 3 acts. Cr. 8vo. 74 X5, pp. 68, 2s. 6d. net LANE, Dec. 12",Abercrombie,I ascelles,Deborah: a play in,LANE,2s. 6d.,8vo.,"Abercrombie (I ascelles)—Deborah: a play in 3 acts. Cr. 8vo. 74 X5, pp. 68, 2s. 6d. net LANE, Dec. 12",I ascelles Abercrombie,['Abercrombie (I ascelles)'],,Dec. 12,1912,net
"Abercrombie (Lascelles)-Thomas Hardy : critical study. 8vo. 9 X 54, pp. 226, 78. 6d. net M. SECKER, Oct. 12",Abercrombie,Lascelles,Thomas Hardy : critical study,M. SECKER,6d.,8vo.,"Abercrombie (Lascelles)-Thomas Hardy : critical study. 8vo. 9 X 54, pp. 226, 78. 6d. net M. SECKER, Oct. 12",Lascelles Abercrombie,['Abercrombie (Lascelles)'],,Oct. 12,1912,net
"Acts—Church Stretton Urban District water, s. Iod.; Land drainage (Lincoln, West), 6}d. ; Local Government Board (Ireland), provisional orders confirmation No. 2, is. oļd. (post free) WYMAN, Oct. 12",,,"Acts—Church Stretton Urban District water, s",WYMAN,,,"Acts—Church Stretton Urban District water, IS. Iod.; Land drainage (Lincoln, West), 6}d. ; Local Government Board (Ireland), provisional orders confirmation No. 2, is. oļd. (post free) WYMAN, Oct. 12",,,,Oct. 12,1912,
"Acts of the Apostles (The). A commentary for English readers by W. R. Furneaux. 8vo., pp. 436, s. 6d. net (Clarendon Press) FROWDE, Feb. 12",,,Acts of the Apostles (The),FROWDE,6d.,8vo.,"Acts of the Apostles (The). A commentary for English readers by W. R. Furneaux. 8vo., pp. 436, s. 6d. net (Clarendon Press) FROWDE, Feb. 12",,,,Feb. 12,1912,net
"Academy Architecture and Architectural Review. Edit. by Alex. Koch. Vol. 42. 4to. 4s. rod., swd. 4s. net SIMPKIN, Dec. 12",,,Academy Architecture and Architectural Review,SIMPKIN,4s.,4to.,"Academy Architecture and Architectural Review. Edit. by Alex. Koch. Vol. 42. 4to. 45. rod., swd. 45. net SIMPKIN, Dec. 12",,,,Dec. 12,1912,net
"Accountants (London Association of)--Proceed- ings, &c., 1912. Cr. 8vo., pp. 240, 5s. OFFICE, Feb. 12",Accountants,London Association of,"Proceed- ings, &c",OFFICE,5s.,8vo.,"Accountants (London Association of)--Proceed- ings, &c., 1912. Cr. 8vo., pp. 240, 5s. OFFICE, Feb. 12",London Association of Accountants,['Accountants (London Association of)'],,Feb. 12,1912,
"Acts-Arbroath Corporation gas order, 9}d. ; Education Board provisional orders, London is, ofd. (post free) ... WYMAN, Oct. 12",,,Acts-Arbroath Corporation gas order,WYMAN,,,"Acts-Arbroath Corporation gas order, 9}d. ; Education Board provisional orders, London is, ofd. (post free) ... WYMAN, Oct. 12",,,,Oct. 12,1912,
"Acts--Ashborne Urban District Council, is. 7d. ; Stepney Borough Council, Spitalfields Market, 6 d.; Gas Companies standard burner, Iod. (post free) ... WYMAN, Oct. 12",,,"Acts--Ashborne Urban District Council, is",WYMAN,,,"Acts--Ashborne Urban District Council, is. 7d. ; Stepney Borough Council, Spitalfields Market, 6 d.; Gas Companies standard burner, Iod. (post free) ... WYMAN, Oct. 12",,,,Oct. 12,1912,
