entry,last_name,first_name,title,publisher,price,price_in_pounds,format,original_entry,author_name,creators,is_editor,date,is_net
"Acts—Local Government Board's Provisional Order Confirmation, No. 8, 1s. 6d.; Ditto No. 7, 1s. 3d. ; Water Provisional Order, 6d.; Highland Railway Order Confirmation, 3d. ; Gas Orders Confirmation, No. 2, 49. 3d.; Pier and Harbour Orders Confirmation, No. 2, is. gd. ; Surbiton Urban District Council, 6d. ; Electric Lighting Orders Confirmation, No. 2, s. 6d. . WYMAN, Oct. 10",,,Acts—Local Government Board's Provisional Order Confirmation,WYMAN,6d.,0.025,,"Acts—Local Government Board's Provisional Order Confirmation, No. 8, Is. 6d.; Ditto No. 7, Is. 3d. ; Water Provisional Order, 6d.; Highland Railway Order Confirmation, 3d. ; Gas Orders Confirmation, No. 2, 49. 3d.; Pier and Harbour Orders Confirmation, No. 2, is. gd. ; Surbiton Urban District Council, 6d. ; Electric Lighting Orders Confirmation, No. 2, IS. 6d. . WYMAN, Oct. 10",,,,Oct. 10,
"Acts Local Government Provisional Order, No. 3, 1s. 3d. .WYMAN, Sep. 10",,,Acts Local Government Provisional Order,WYMAN,1s. 3d.,0.0625,,"Acts Local Government Provisional Order, No. 3, Is. 3d. .WYMAN, Sep. 10",,,,Sep. 10,
"Acts--London County Council Tramways and Improvements, 3s. ; Norwich Charities Scheme, 4s. ; Water Orders Confirmation, 2s. 3d. ; Gas Orders Confirmation, No. 3, 2s. 6d. WYMAN, Oct. 10",,,Acts--London County Council Tramways and Improvements,WYMAN,2s. 6d.,0.125,,"Acts--London County Council Tramways and Improvements, 35. ; Norwich Charities Scheme, 45. ; Water Orders Confirmation, 25. 3d. ; Gas Orders Confirmation, No. 3, 2s. 6d. WYMAN, Oct. 10",,,,Oct. 10,
"Acts-London Electric Supply, 3d ; Oyster and Mussel Fishery (Bay of Firth) Order Con- firmation, 3d. ; Edinburgh Corporation Order Confirmation, s, 6d.; River Don Salmon Fisheries Order Confirmation, 2s. ; Govan Burgh Order Confirmation, 6d.; Loch Leven Water Power (Transfer) Order Confirmation, 6d.; Dundee Gas Commissioners Order Con- firmation, is. 2d... WYMAN, Dec. 10",,,Acts-London Electric Supply,WYMAN,2d.,0.008333333333333333,,"Acts-London Electric Supply, 3d ; Oyster and Mussel Fishery (Bay of Firth) Order Con- firmation, 3d. ; Edinburgh Corporation Order Confirmation, IS, 6d.; River Don Salmon Fisheries Order Confirmation, 25. ; Govan Burgh Order Confirmation, 6d.; Loch Leven Water Power (Transfer) Order Confirmation, 6d.; Dundee Gas Commissioners Order Con- firmation, is. 2d... WYMAN, Dec. 10",,,,Dec. 10,
"Acts—Mallow Urban District Gas, s. 9d. ; London Electric Railway Amalgamation, 3s. ; Education Board Provisional Order, London, gd. ; Local Government Board, Ireland, Provisional Order No. 3, 9d. WYMAN, Sep. 10",,,"Acts—Mallow Urban District Gas, s",WYMAN,9d.,0.0375,,"Acts—Mallow Urban District Gas, IS. 9d. ; London Electric Railway Amalgamation, 3s. ; Education Board Provisional Order, London, gd. ; Local Government Board, Ireland, Provisional Order No. 3, 9d. WYMAN, Sep. 10",,,,Sep. 10,
"Acts—Municipal Corporations, 1d.; Children's 1908 Amendment, d.; Mines, Accidents, Rescue and Aid, d.; Companies, Converted Societies, kd.; Small Holdings, id. ; Duke of York's School Chapel, fd. ; Trusts, Scotland, d.. WYMAN, Aug. 10",,,Acts—Municipal Corporations,WYMAN,,0.0,,"Acts—Municipal Corporations, Id.; Children's 1908 Amendment, d.; Mines, Accidents, Rescue and Aid, d.; Companies, Converted Societies, kd.; Small Holdings, id. ; Duke of York's School Chapel, fd. ; Trusts, Scotland, d.. WYMAN, Aug. 10",,,,Aug. 10,
"Acts—Muirhead Trust Order Confirmation, is. WYMAN, Aug. 10",,,"Acts—Muirhead Trust Order Confirmation, is",WYMAN,,0.0,,"Acts—Muirhead Trust Order Confirmation, is. WYMAN, Aug. 10",,,,Aug. 10,
"Acts, Public General, 1909, 3s... WYMAN, Mar. 10",,,"Acts, Public General",WYMAN,3s.,0.15,,"Acts, Public General, 1909, 35... WYMAN, Mar. 10",,,,Mar. 10,
"Acts, Public General, 1909 (in Quires), 2s. 6d. WYMAN, Mar. 10",,,"Acts, Public General",WYMAN,2s. 6d.,0.125,,"Acts, Public General, 1909 (in Quires), 2s. 6d. WYMAN, Mar. 10",,,,Mar. 10,
"Acts-Shirebrook and District Gas, 1s. 3d. ; Ex- mouth Gas, 1s. 9d.; Barry Railway, 6d.; Cardiff Railway, 6d. ; Matlock Bath and Scarthin Nick Urban District Council, 1s. WYMAN, Nov. 10",,,Acts-Shirebrook and District Gas,WYMAN,1s.,0.05,,"Acts-Shirebrook and District Gas, Is. 3d. ; Ex- mouth Gas, Is. 9d.; Barry Railway, 6d.; Cardiff Railway, 6d. ; Matlock Bath and Scarthin Nick Urban District Council, Is. WYMAN, Nov. 10",,,,Nov. 10,
"Acts.-Southampton Corporation, 1910, 4s. WYMAN, Nov. 10",,,Acts,WYMAN,4s.,0.2,,"Acts.-Southampton Corporation, 1910, 4s. WYMAN, Nov. 10",,,,Nov. 10,
