entry,last_name,first_name,title,publisher,price,format,original_entry,author_name,creators,is_editor,date,catalogue_year,is_net
"A. L.-School temperature register, No. 3. 8d, net .E. J. ARNOLD, Jan. 13",,,A. L.-School temperature register,E. J. ARNOLD,8d.,,"A. L.-School temperature register, No. 3. 8d, net .E. J. ARNOLD, Jan. 13",,,,Jan. 13,1913,net
"Abelard et Héloise, Lettres amoureuses d'. s. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,"Abelard et Héloise, Lettres amoureuses d'",FROWDE,,,"Abelard et Héloise, Lettres amoureuses d'. IS. net Abel's Laboratory handbook of bacteriology. 2nd English edit. Iamo. 64 x 4, pp. 264, 5. net (Oxford medical publications) FROWDE, Apr. 13",,,,Apr. 13,1913,
"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 2s. id. WYMAN, July 13",,,"Accounts of executors, &c",WYMAN,,,"Accounts of executors, &c., Phillips (W. B.) 3s. 6d. net.. .Jan13 Accounts (Public)-Second report from Com- mittee of, 1 d.; First and Second reports from Committee of, with proceedings, minutes of evidence and appendices, 25. id. WYMAN, July 13",,,,July 13,1913,
"Ackermann (Jessie) - Australia from a woman's point of view. Cr. 73 X5, pp. 332, 6s. CASSELL, Oct. 13",Ackermann,Jessie,Australia from a woman's point of view,CASSELL,6s.,,"Ackermann (Jessie) - Australia from a woman's point of view. Cr. 73 X5, pp. 332, 6s. CASSELL, Oct. 13",Jessie Ackermann,['Ackermann (Jessie)'],,Oct. 13,1913,
"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id. (post free) WYMAN, Mar. 13",,,Acts-Agricultural holdings,WYMAN,,,"Acts-Agricultural holdings, 1912, id. ; Aerial navigation, 1912, id. ; Trade Union, 1913, 2d. ; Railway and canal traffic, 1913, id. (post free) WYMAN, Mar. 13",,,,Mar. 13,1913,
"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id. (post free)..........WYMAN, Mar. 13",,,Acts—Shops amendment,WYMAN,,,"Acts—Shops amendment, 1913, id.; Clerks of Session (Scotland) regulation, 1913, id. ; Tuberculosis prevention (Ireland), 1913, itd. . Appropriation (1912-13), 1913, ijd. ; Pensions (Governors of Dominions, &c.), amendment, 1913, id. (post free)..........WYMAN, Mar. 13",,,,Mar. 13,1913,
"Acts, 1913-Appropriation, id. ; Clerks of Session (Scot.) regulations, d.; Pensions (governors of Dominions, &c.), įd.; Pilotage, 4d. ; Railway and canal traffic, įd.; Sheriff Courts (Scot.), i}d.; Shops, įd. ; Trade Union, iļd. ; Tuberculosis prevention (Ireland), id. WYMAN, Mar. 13",,,Acts,WYMAN,,,"Acts, 1913-Appropriation, id. ; Clerks of Session (Scot.) regulations, d.; Pensions (governors of Dominions, &c.), įd.; Pilotage, 4d. ; Railway and canal traffic, įd.; Sheriff Courts (Scot.), i}d.; Shops, įd. ; Trade Union, iļd. ; Tuberculosis prevention (Ireland), id. WYMAN, Mar. 13",,,,Mar. 13,1913,
"Acts, 1913-Land drainage (Braithwaite Moss) provisional order confirmation, 3d. WYMAN, Mar. 13","Acts, 1913-Land drainage",Braithwaite Moss,3d,WYMAN,3d.,,"Acts, 1913-Land drainage (Braithwaite Moss) provisional order confirmation, 3d. WYMAN, Mar. 13","Braithwaite Moss Acts, 1913-Land drainage","['Acts, 1913-Land drainage (Braithwaite Moss)']",,Mar. 13,1913,
"Acts, 1913-Consolidated fund (No. 1), įd.; Beverley charities schemes confirmation, is. 9d.; Haberdashers' Co. loan fund, 3d.; Kirkcaldy District water, 4s. 60.; Robinson's Trust scheme, 6d. ; Sheffield Corporation, 5s. 9d. ; Whitby charities scheme, is. WYMAN, Apr. 13","Acts, 1913-Consolidated fund",No. 1,įd,WYMAN,,,"Acts, 1913-Consolidated fund (No. 1), įd.; Beverley charities schemes confirmation, is. 9d.; Haberdashers' Co. loan fund, 3d.; Kirkcaldy District water, 45. 60.; Robinson's Trust scheme, 6d. ; Sheffield Corporation, 5s. 9d. ; Whitby charities scheme, is. WYMAN, Apr. 13","No. 1 Acts, 1913-Consolidated fund","['Acts, 1913-Consolidated fund (No. 1)']",,Apr. 13,1913,
"Acts, 1913-Army (annual), id. ; Prisoners (temporary discharge for ill-health), $d.; Provisional collection of taxes, id.; Edinburgh and E. of Scot. College of Agriculture, 6d. WYMAN, May 13","Acts, 1913-Army",annual,"Prisoners (temporary discharge for ill-health), $d",WYMAN,6d.,,"Acts, 1913-Army (annual), id. ; Prisoners (temporary discharge for ill-health), $d.; Provisional collection of taxes, id.; Edinburgh and E. of Scot. College of Agriculture, 6d. WYMAN, May 13","annual Acts, 1913-Army","['Acts, 1913-Army (annual)']",,May 13,1913,
